"origin","dest","dist","time"
"37.2964495955604+-77.3211343104881","37.5486006004463+-77.4666861347823",40242,2091
"37.0445188023434+-76.4742474906456","37.5486006004463+-77.4666861347823",122217,4461
"37.1189539468792+-76.5381230133906","37.5486006004463+-77.4666861347823",113896,4113
"37.3311424171528+-76.6821407078881","37.5486006004463+-77.4666861347823",86156,3164
"37.1599218398446+-76.5140195801714","37.5486006004463+-77.4666861347823",106177,3897
"37.0785097443467+-76.5136228801685","37.5486006004463+-77.4666861347823",117996,4457
"36.9077466415955+-76.2386261035364","37.5486006004463+-77.4666861347823",180657,6360
"36.905283096474+-76.2818418528908","37.5486006004463+-77.4666861347823",165512,6240
"36.8823524726644+-76.3072898903272","37.5486006004463+-77.4666861347823",161475,5887
"36.8688791150709+-76.2966694897003","37.5486006004463+-77.4666861347823",160020,5769
"37.517555679144+-77.068397967941","37.5486006004463+-77.4666861347823",41416,1728
"37.0007727986285+-76.388862428427","37.5486006004463+-77.4666861347823",129018,4507
"37.0346348164366+-76.4407243647182","37.5486006004463+-77.4666861347823",125642,4503
"37.5301929508245+-79.6618103313976","37.5486006004463+-77.4666861347823",257745,9130
"38.794876919886+-77.5310739071038","37.5486006004463+-77.4666861347823",158633,6414
"38.6195316946798+-77.2773241495942","37.5486006004463+-77.4666861347823",131946,4863
"38.6852993955736+-77.2761732960603","37.5486006004463+-77.4666861347823",139240,5196
"36.8227935458816+-76.3093865399005","37.5486006004463+-77.4666861347823",161353,5674
"36.8684240909859+-76.4034365676029","37.5486006004463+-77.4666861347823",149380,5225
"37.4288470046678+-77.5703036708425","37.5486006004463+-77.4666861347823",23039,1363
"37.4511953398941+-77.4692222184785","37.5486006004463+-77.4666861347823",20285,987
"37.4305333828691+-77.4843694036287","37.5486006004463+-77.4666861347823",20591,1040
"37.4210053993523+-77.6168454973355","37.5486006004463+-77.4666861347823",26545,1339
"37.428713589647+-77.5422730594164","37.5486006004463+-77.4666861347823",21458,1284
"37.2592632104305+-76.7004470679689","37.5486006004463+-77.4666861347823",89098,3421
"37.2063068295598+-77.4907574980249","37.5486006004463+-77.4666861347823",51905,2106
"38.0351793798253+-78.4785575080965","37.5486006004463+-77.4666861347823",112466,4276
"36.6294121011419+-79.3910328381496","37.5486006004463+-77.4666861347823",232798,9510
"36.5498991385593+-79.398623089733","37.5486006004463+-77.4666861347823",232212,9529
"38.8401668688099+-77.2983596339418","37.5486006004463+-77.4666861347823",159542,6304
"36.914423592584+-81.7338343399518","37.5486006004463+-77.4666861347823",484620,16566
"37.3782646050046+-79.2321475164156","37.5486006004463+-77.4666861347823",188095,7838
"37.6646072164734+-77.5758267926536","37.5486006004463+-77.4666861347823",23598,1320
"37.6124949307602+-77.583348389919","37.5486006004463+-77.4666861347823",20456,1167
"36.87974003386+-76.1668598718293","37.5486006004463+-77.4666861347823",177821,6553
"36.765390911726+-75.9895798952051","37.5486006004463+-77.4666861347823",198298,7385
"36.9314850466612+-82.6261338666574","37.5486006004463+-77.4666861347823",577184,20279
"38.6240579046972+-77.3573157903319","37.5486006004463+-77.4666861347823",130964,5027
"39.0355678558907+-78.2717709424507","37.5486006004463+-77.4666861347823",216564,8207
"37.0845071167551+-80.6426697926833","37.5486006004463+-77.4666861347823",359958,12030
"37.0463634282874+-76.2922122078516","37.5486006004463+-77.4666861347823",135084,4850
"38.8954782475706+-77.5567794296042","37.5486006004463+-77.4666861347823",174747,7268
"37.3054452288611+-79.9136435098671","37.5486006004463+-77.4666861347823",293501,10285
"36.6452032542392+-79.4089642415085","37.5486006004463+-77.4666861347823",235464,9806
"37.3460796274567+-78.139312778527","37.5486006004463+-77.4666861347823",81408,4178
"38.375388194876+-78.594822323962","37.5486006004463+-77.4666861347823",155810,6459
"38.439096780164+-77.4264655545053","37.5486006004463+-77.4666861347823",105718,4031
"39.0785155514158+-77.5496436378228","37.5486006004463+-77.4666861347823",209530,7775
"39.0241191429734+-77.5193367026325","37.5486006004463+-77.4666861347823",201444,7308
"39.0816566691806+-77.4727352721513","37.5486006004463+-77.4666861347823",195565,7684
"37.3805192295995+-78.8359385121382","37.5486006004463+-77.4666861347823",151027,6295
"37.0437202467847+-78.0006959500794","37.5486006004463+-77.4666861347823",106415,4360
"36.6587099495851+-79.1055256310224","37.5486006004463+-77.4666861347823",204999,8505
"37.1913110776415+-76.5652077552164","37.5486006004463+-77.4666861347823",105126,3603
"37.0005462560291+-76.4442237928593","37.5486006004463+-77.4666861347823",127581,4946
"36.8746984402302+-76.281079449866","37.5486006004463+-77.4666861347823",162600,5955
"38.8117678402695+-77.1360306812481","37.5486006004463+-77.4666861347823",157611,5808
"37.0172067830747+-80.7892138063718","37.5486006004463+-77.4666861347823",381970,12799
"36.9047299856429+-76.1007113554713","37.5486006004463+-77.4666861347823",184601,6866
"36.8283503240402+-81.1959800325104","37.5486006004463+-77.4666861347823",426495,15035
"37.1662208089813+-76.8454480973388","37.5486006004463+-77.4666861347823",88019,4115
"37.1651257420348+-80.4280130252147","37.5486006004463+-77.4666861347823",341781,11649
"36.8046338090157+-76.3259623060158","37.5486006004463+-77.4666861347823",166720,5897
"36.5889454016551+-79.3663091821865","37.5486006004463+-77.4666861347823",227064,9261
"36.7109052000455+-76.2884344309853","37.5486006004463+-77.4666861347823",173116,6304
"36.9399707512291+-82.0579987436755","37.5486006004463+-77.4666861347823",537294,18775
"37.3263036140187+-79.2320635542584","37.5486006004463+-77.4666861347823",188286,7693
"38.9371985386036+-77.8782061671149","37.5486006004463+-77.4666861347823",178118,7316
"38.9589227751276+-77.3622167195753","37.5486006004463+-77.4666861347823",185069,6811
"38.8670934556398+-77.3080164467519","37.5486006004463+-77.4666861347823",172704,6263
"38.2833634817036+-77.5777024714167","37.5486006004463+-77.4666861347823",93689,3816
"37.6301676761904+-77.5902572259719","37.5486006004463+-77.4666861347823",20131,1212
"36.7509224846142+-76.8425488531178","37.5486006004463+-77.4666861347823",123146,5382
"37.2118717909578+-77.4562196762334","37.5486006004463+-77.4666861347823",50224,1921
"37.0406522458955+-79.949521566073","37.5486006004463+-77.4666861347823",279263,11747
"37.1814835007184+-79.8373904916982","37.5486006004463+-77.4666861347823",264706,11121
"38.8496357278142+-77.1084686595182","37.5486006004463+-77.4666861347823",162210,6063
"36.7064707130032+-83.1815648447914","37.5486006004463+-77.4666861347823",629916,22431
"37.8272921950517+-78.2003204684162","37.5486006004463+-77.4666861347823",90222,3771
"38.9767540688838+-78.0461319919231","37.5486006004463+-77.4666861347823",205387,8333
"38.079701059899+-78.6856720094309","37.5486006004463+-77.4666861347823",136054,5088
