"origin","dest","dist","time"
"36.8137318279007+-76.0309318216414","38.0361880075401+-78.4955236036005",305180,10844
"36.7383381158686+-76.0188429409663","38.0361880075401+-78.4955236036005",312433,11191
"38.894733996732+-77.1282303637285","38.0361880075401+-78.4955236036005",175959,7684
"38.8779298916741+-77.0979601597856","38.0361880075401+-78.4955236036005",179413,7898
"37.4026856329849+-79.1626262787483","38.0361880075401+-78.4955236036005",108205,4599
"37.452366302806+-79.195161779539","38.0361880075401+-78.4955236036005",112635,4993
"37.450188806256+-79.0481704406216","38.0361880075401+-78.4955236036005",97473,4173
"36.9339077853547+-77.2201641155401","38.0361880075401+-78.4955236036005",199229,7395
"37.1058077326538+-76.4996306826613","38.0361880075401+-78.4955236036005",221503,7625
"37.3932316974848+-76.5600139253511","38.0361880075401+-78.4955236036005",210463,7760
"36.8802162269064+-76.3862035206251","38.0361880075401+-78.4955236036005",261587,8945
"36.8349725283733+-81.3591129480109","38.0361880075401+-78.4955236036005",340050,12395
"38.6129392102821+-77.3254441046152","38.0361880075401+-78.4955236036005",146567,6984
"38.6529363921633+-77.3621037858911","38.0361880075401+-78.4955236036005",143336,7136
"38.6406952347329+-77.3215449097094","38.0361880075401+-78.4955236036005",150871,7064
"37.0824191583226+-76.9267535234063","38.0361880075401+-78.4955236036005",207496,8015
"37.7721421659787+-77.5220274496599","38.0361880075401+-78.4955236036005",106225,4396
"37.8077736504774+-77.6850527411228","38.0361880075401+-78.4955236036005",88234,3715
"37.6011174005658+-77.2517903612229","38.0361880075401+-78.4955236036005",131527,4783
"37.4217762672571+-79.1758125710136","38.0361880075401+-78.4955236036005",109301,4783
"37.3510938865259+-79.0561901969423","38.0361880075401+-78.4955236036005",108756,4458
"38.426965262895+-78.8939109217775","38.0361880075401+-78.4955236036005",96183,3855
"37.7244074135283+-77.9491649095985","38.0361880075401+-78.4955236036005",76131,3275
"36.8811012771717+-78.779767256563","38.0361880075401+-78.4955236036005",163437,7501
"37.4691299224664+-75.8167606651909","38.0361880075401+-78.4955236036005",367808,13473
"37.2964495955604+-77.3211343104881","38.0361880075401+-78.4955236036005",152561,6017
"37.0445188023434+-76.4742474906456","38.0361880075401+-78.4955236036005",231802,8108
"37.1189539468792+-76.5381230133906","38.0361880075401+-78.4955236036005",223482,7761
"37.3311424171528+-76.6821407078881","38.0361880075401+-78.4955236036005",195742,6812
"37.1599218398446+-76.5140195801714","38.0361880075401+-78.4955236036005",215763,7545
"37.0785097443467+-76.5136228801685","38.0361880075401+-78.4955236036005",227582,8105
"36.9077466415955+-76.2386261035364","38.0361880075401+-78.4955236036005",290243,10008
"36.905283096474+-76.2818418528908","38.0361880075401+-78.4955236036005",275097,9887
"36.8823524726644+-76.3072898903272","38.0361880075401+-78.4955236036005",271061,9535
"36.8688791150709+-76.2966694897003","38.0361880075401+-78.4955236036005",269606,9417
"37.517555679144+-77.068397967941","38.0361880075401+-78.4955236036005",151002,5376
"37.0007727986285+-76.388862428427","38.0361880075401+-78.4955236036005",238604,8155
"37.0346348164366+-76.4407243647182","38.0361880075401+-78.4955236036005",235227,8151
"37.5301929508245+-79.6618103313976","38.0361880075401+-78.4955236036005",147960,5759
"38.794876919886+-77.5310739071038","38.0361880075401+-78.4955236036005",139158,6440
"38.6195316946798+-77.2773241495942","38.0361880075401+-78.4955236036005",150040,6999
"38.6852993955736+-77.2761732960603","38.0361880075401+-78.4955236036005",157334,7332
"36.8227935458816+-76.3093865399005","38.0361880075401+-78.4955236036005",270938,9322
"36.8684240909859+-76.4034365676029","38.0361880075401+-78.4955236036005",258966,8873
"37.4288470046678+-77.5703036708425","38.0361880075401+-78.4955236036005",128936,4675
"37.4511953398941+-77.4692222184785","38.0361880075401+-78.4955236036005",129732,4778
"37.4305333828691+-77.4843694036287","38.0361880075401+-78.4955236036005",130006,4852
"37.4210053993523+-77.6168454973355","38.0361880075401+-78.4955236036005",122445,4447
"37.428713589647+-77.5422730594164","38.0361880075401+-78.4955236036005",131311,4848
"37.2592632104305+-76.7004470679689","38.0361880075401+-78.4955236036005",198684,7069
"37.2063068295598+-77.4907574980249","38.0361880075401+-78.4955236036005",164224,6033
"38.0351793798253+-78.4785575080965","38.0361880075401+-78.4955236036005",2054,367
"36.6294121011419+-79.3910328381496","38.0361880075401+-78.4955236036005",205139,8144
"36.5498991385593+-79.398623089733","38.0361880075401+-78.4955236036005",216454,8461
"38.8401668688099+-77.2983596339418","38.0361880075401+-78.4955236036005",162474,7399
"36.914423592584+-81.7338343399518","38.0361880075401+-78.4955236036005",374835,13194
"37.3782646050046+-79.2321475164156","38.0361880075401+-78.4955236036005",116652,4956
"37.6646072164734+-77.5758267926536","38.0361880075401+-78.4955236036005",97889,3577
"37.6124949307602+-77.583348389919","38.0361880075401+-78.4955236036005",100926,3776
"36.87974003386+-76.1668598718293","38.0361880075401+-78.4955236036005",287407,10200
"36.765390911726+-75.9895798952051","38.0361880075401+-78.4955236036005",307884,11033
"36.9314850466612+-82.6261338666574","38.0361880075401+-78.4955236036005",467399,16907
"38.6240579046972+-77.3573157903319","38.0361880075401+-78.4955236036005",149058,7164
