"origin","dest","dist","time"
"37.6232088799119+-76.9613669660374","36.6044736017595+-79.3911700118246",298424,12297
"39.0906302388919+-77.4863308438084","36.6044736017595+-79.3911700118246",388483,15416
"38.8753960260266+-77.1106115900903","36.6044736017595+-79.3911700118246",397896,15168
"36.8736021702439+-76.4258042833147","36.6044736017595+-79.3911700118246",306138,12286
"36.7489363051232+-76.5093428723295","36.6044736017595+-79.3911700118246",291181,12517
"36.811949644943+-76.3730394813745","36.6044736017595+-79.3911700118246",301332,12230
"37.3218097977326+-77.3232012604727","36.6044736017595+-79.3911700118246",238972,9204
"38.7342473884699+-77.1078616654825","36.6044736017595+-79.3911700118246",380175,14676
"38.8803461628372+-77.2094134793461","36.6044736017595+-79.3911700118246",394158,15044
"37.3243103258469+-76.7525871167211","36.6044736017595+-79.3911700118246",322694,11858
"37.4139074217458+-79.2179065295109","36.6044736017595+-79.3911700118246",109959,4643
"38.9442491553927+-77.4102597931057","36.6044736017595+-79.3911700118246",371590,14809
"37.6169066806279+-77.6434033249984","36.6044736017595+-79.3911700118246",228804,9419
"36.8665734637416+-76.1396388851385","36.6044736017595+-79.3911700118246",325702,13198
"36.7688534045336+-76.0709507220069","36.6044736017595+-79.3911700118246",332958,13621
"36.8106730867959+-76.1320571363355","36.6044736017595+-79.3911700118246",328265,13279
"37.4504185449157+-77.4407191084759","36.6044736017595+-79.3911700118246",246949,9358
"37.131425137495+-82.1117056504282","36.6044736017595+-79.3911700118246",359289,15206
"38.044932312246+-79.020207989186","36.6044736017595+-79.3911700118246",204508,8754
"36.8310557438633+-76.2317951281351","36.6044736017595+-79.3911700118246",316621,12946
"36.766200399492+-76.2852249532829","36.6044736017595+-79.3911700118246",314533,12587
"38.8577696094547+-77.1182451123303","36.6044736017595+-79.3911700118246",390617,15102
"37.7433705655517+-75.7842459881439","36.6044736017595+-79.3911700118246",439700,18088
"37.4479217348492+-77.6133784186675","36.6044736017595+-79.3911700118246",210983,8738
"36.8513656121384+-82.7837366708519","36.6044736017595+-79.3911700118246",387135,15979
"37.0282595130936+-76.4112921036079","36.6044736017595+-79.3911700118246",325059,12987
"37.0132798387282+-76.3554806091345","36.6044736017595+-79.3911700118246",327897,13185
"37.1330503025477+-76.505677791213","36.6044736017595+-79.3911700118246",353186,12765
"36.9273398458469+-76.1880095718599","36.6044736017595+-79.3911700118246",329134,13417
