"origin","dest","dist","time"
"38.5785271895383+-77.8269927480735","36.6044736017595+-79.3911700118246",308677,12323
"37.2656136279548+-79.2813592340219","36.6044736017595+-79.3911700118246",86896,3672
"36.7944133226118+-75.9892564545336","36.6044736017595+-79.3911700118246",341619,13794
"36.7681731366772+-76.0065054215497","36.6044736017595+-79.3911700118246",344169,13976
"37.3655943021562+-77.5696717425959","36.6044736017595+-79.3911700118246",212385,8769
"37.3187707027842+-77.3720149357941","36.6044736017595+-79.3911700118246",232583,8867
"37.3946646716492+-77.6553447260338","36.6044736017595+-79.3911700118246",203693,8275
"38.3847651261496+-78.0573087346478","36.6044736017595+-79.3911700118246",282676,11334
"38.6265784235729+-77.3373031531432","36.6044736017595+-79.3911700118246",359196,13827
"38.6282623079595+-77.3235449908105","36.6044736017595+-79.3911700118246",360876,13804
"38.7793990521471+-77.6380750866374","36.6044736017595+-79.3911700118246",339790,13633
"38.596000147585+-77.3255048733141","36.6044736017595+-79.3911700118246",354062,13475
"38.5591411889081+-77.287620295056","36.6044736017595+-79.3911700118246",357834,13810
"38.5969240139954+-77.2733003281193","36.6044736017595+-79.3911700118246",358330,13888
"38.646377762367+-77.4114956075586","36.6044736017595+-79.3911700118246",367436,14304
"38.6853492739339+-77.3427326757429","36.6044736017595+-79.3911700118246",370031,14346
"38.6773477885913+-77.3064585873225","36.6044736017595+-79.3911700118246",366695,14135
"38.7411769215514+-77.4157593507556","36.6044736017595+-79.3911700118246",350172,14414
"38.7266395289373+-77.4876181148254","36.6044736017595+-79.3911700118246",342692,14003
"38.7265070994493+-77.6129912794577","36.6044736017595+-79.3911700118246",332167,13568
"38.8631036184367+-77.6687276530841","36.6044736017595+-79.3911700118246",345429,13814
"38.7274916030345+-77.5531544600006","36.6044736017595+-79.3911700118246",334836,13540
"38.8305293244965+-77.6202964576117","36.6044736017595+-79.3911700118246",342052,13790
"36.5680573455712+-79.3482522667199","36.6044736017595+-79.3911700118246",8184,738
"36.5671723560725+-79.390133764773","36.6044736017595+-79.3911700118246",5537,615
"37.326100561135+-79.8925457206143","36.6044736017595+-79.3911700118246",123979,6086
"38.8665022139161+-77.1052683903335","36.6044736017595+-79.3911700118246",396748,15067
"38.8789292980442+-77.0886744553279","36.6044736017595+-79.3911700118246",395196,14903
"38.8510509153884+-77.0982924531918","36.6044736017595+-79.3911700118246",392613,14971
"38.8607675135486+-77.0534114148609","36.6044736017595+-79.3911700118246",394685,14969
"37.2228120146309+-77.4200577569006","36.6044736017595+-79.3911700118246",215928,8273
"36.8017019665193+-77.7746950427743","36.6044736017595+-79.3911700118246",165039,6832
"37.2611344633205+-76.5909274130718","36.6044736017595+-79.3911700118246",353524,12966
"37.8702851276965+-80.0622917351572","36.6044736017595+-79.3911700118246",228952,10230
"39.025246199716+-77.4931403753805","36.6044736017595+-79.3911700118246",380945,15245
"38.9157653181138+-77.4940998560871","36.6044736017595+-79.3911700118246",368388,14797
"39.0472565578127+-77.4635534642851","36.6044736017595+-79.3911700118246",382278,15291
"39.0536895652754+-77.3921617711947","36.6044736017595+-79.3911700118246",384191,15256
"39.0360672229474+-77.3947411656685","36.6044736017595+-79.3911700118246",383212,15207
"39.2635980293195+-77.609454492906","36.6044736017595+-79.3911700118246",433452,16454
"39.1237463788609+-77.73255784074","36.6044736017595+-79.3911700118246",376108,15252
"39.1504468135259+-77.7868250901623","36.6044736017595+-79.3911700118246",406218,15156
"39.0758919309831+-77.5799683083993","36.6044736017595+-79.3911700118246",372585,15379
"37.0393389848701+-79.4191959543563","36.6044736017595+-79.3911700118246",58553,2734
"36.6921444567908+-79.2517240340513","36.6044736017595+-79.3911700118246",18422,1172
"37.425752599647+-78.2505764509079","36.6044736017595+-79.3911700118246",168888,7649
"36.5837971889898+-79.3372340531701","36.6044736017595+-79.3911700118246",6936,626
"37.9879808096166+-78.393468937196","36.6044736017595+-79.3911700118246",223467,8635
"38.0030487115326+-78.4945157604542","36.6044736017595+-79.3911700118246",212175,8236
"38.9251589260373+-78.0962321641606","36.6044736017595+-79.3911700118246",369731,13528
"37.0119183306889+-76.4044564603298","36.6044736017595+-79.3911700118246",322617,12838
"37.022353961331+-76.3864784322804","36.6044736017595+-79.3911700118246",324236,12809
"37.0464621913989+-76.3900205842883","36.6044736017595+-79.3911700118246",329045,13102
"38.9242571101898+-77.5340615912073","36.6044736017595+-79.3911700118246",361902,14800
"38.9728580167893+-77.5374119257889","36.6044736017595+-79.3911700118246",364474,15075
"38.9759728082252+-77.4953244203837","36.6044736017595+-79.3911700118246",378884,15032
"37.224067882958+-80.4282471510323","36.6044736017595+-79.3911700118246",182113,7929
"36.6917087289299+-79.5047853369003","36.6044736017595+-79.3911700118246",18999,1170
"36.676647422449+-80.9185874569109","36.6044736017595+-79.3911700118246",169638,7666
"37.1167380672175+-82.5706160643419","36.6044736017595+-79.3911700118246",390728,16060
"37.6776262104867+-77.6226432968589","36.6044736017595+-79.3911700118246",232859,9554
"37.6983389938657+-77.6045471599226","36.6044736017595+-79.3911700118246",240202,9848
"37.4966147295664+-77.3712161723469","36.6044736017595+-79.3911700118246",255096,9613
"37.5440772218703+-77.347661783319","36.6044736017595+-79.3911700118246",245885,10228
"37.5605871910156+-77.3339503330786","36.6044736017595+-79.3911700118246",271098,10188
"37.6682633100994+-77.60041520405","36.6044736017595+-79.3911700118246",238465,9620
"38.8860206268441+-77.7608740555976","36.6044736017595+-79.3911700118246",344225,13649
"38.7325471853305+-77.8371672682847","36.6044736017595+-79.3911700118246",329913,13290
"37.3648041051338+-77.6366508325748","36.6044736017595+-79.3911700118246",208560,8588
"37.6430688038749+-76.361645957077","36.6044736017595+-79.3911700118246",355969,13583
"37.6675985688475+-76.4297100274288","36.6044736017595+-79.3911700118246",357876,13751
"37.166290886502+-80.5036833456665","36.6044736017595+-79.3911700118246",181621,8082
"37.1419921079125+-80.436126843733","36.6044736017595+-79.3911700118246",162065,7781
"37.2480513428288+-80.4563036424589","36.6044736017595+-79.3911700118246",186801,8198
"37.7085652043795+-75.620634835269","36.6044736017595+-79.3911700118246",440231,18013
"37.9785116301936+-75.445008205879","36.6044736017595+-79.3911700118246",475762,19441
"37.9139626223764+-75.3910355264801","36.6044736017595+-79.3911700118246",480893,19855
"36.9972021647018+-79.883818924219","36.6044736017595+-79.3911700118246",76457,3953
"37.0955728377556+-79.6652776580853","36.6044736017595+-79.3911700118246",96085,4322
"37.1476116236422+-79.7564928901172","36.6044736017595+-79.3911700118246",94741,4385
"38.8800487336327+-78.5733802751247","36.6044736017595+-79.3911700118246",320737,12066
"39.2326042726102+-78.3503295346827","36.6044736017595+-79.3911700118246",400140,15452
"39.115739669741+-78.4106169280004","36.6044736017595+-79.3911700118246",360424,13358
"39.1043832142649+-78.18607858689","36.6044736017595+-79.3911700118246",362322,13379
"39.1592084327523+-78.1220897843856","36.6044736017595+-79.3911700118246",373314,13762
"37.9287488479266+-78.3359756707389","36.6044736017595+-79.3911700118246",233900,9255
"36.8733700331824+-78.9850245847103","36.6044736017595+-79.3911700118246",55472,2775
"37.1591759888664+-77.9278753124884","36.6044736017595+-79.3911700118246",175864,7187
"36.6349846379546+-80.363854029071","36.6044736017595+-79.3911700118246",106704,4842
"37.187618764187+-81.5347364486566","36.6044736017595+-79.3911700118246",286680,11846
"36.8317101600617+-76.1493555625473","36.6044736017595+-79.3911700118246",324124,13011
"38.1108676721412+-78.9979924485671","36.6044736017595+-79.3911700118246",217379,8668
"38.2143413349109+-79.2097550594801","36.6044736017595+-79.3911700118246",243373,9626
"38.1860500414466+-78.9617657232861","36.6044736017595+-79.3911700118246",222311,9197
"36.615780080274+-76.1634363412223","36.6044736017595+-79.3911700118246",335768,13497
"36.8293214101389+-76.4285105927799","36.6044736017595+-79.3911700118246",303152,12236
"36.7512662685954+-76.2859966902313","36.6044736017595+-79.3911700118246",314887,12644
"36.7139088754638+-76.3399664094416","36.6044736017595+-79.3911700118246",310675,12691
"36.7429187929563+-76.2801152990899","36.6044736017595+-79.3911700118246",314636,12526
"36.7331721304987+-76.3164369890473","36.6044736017595+-79.3911700118246",309191,12471
"37.3052000318988+-78.4264136083864","36.6044736017595+-79.3911700118246",150702,6576
"37.2853233949988+-78.3781646922769","36.6044736017595+-79.3911700118246",146552,6334
"37.26853423551+-78.30722333054","36.6044736017595+-79.3911700118246",153073,6317
"37.1544939836786+-78.3649397623374","36.6044736017595+-79.3911700118246",129843,5424
"36.985982159147+-80.749109477533","36.6044736017595+-79.3911700118246",179688,8059
"38.0386516793081+-76.6461227754617","36.6044736017595+-79.3911700118246",335283,14061
"38.1140475933448+-76.6650382262997","36.6044736017595+-79.3911700118246",344034,14484
"38.2347664719123+-77.0074305545609","36.6044736017595+-79.3911700118246",333497,13299
"36.8283942475707+-75.996599559317","36.6044736017595+-79.3911700118246",339612,13559
"37.3228115129121+-78.8804026488399","36.6044736017595+-79.3911700118246",122872,5205
"37.136666794982+-78.6857918917712","36.6044736017595+-79.3911700118246",112223,5155
"36.6329560257301+-77.7860540300657","36.6044736017595+-79.3911700118246",167593,7328
"36.7315123431285+-78.982104116448","36.6044736017595+-79.3911700118246",51765,2575
"38.2231354521561+-77.5886034927286","36.6044736017595+-79.3911700118246",311093,12234
"37.672360687182+-77.6862540415968","36.6044736017595+-79.3911700118246",229753,9397
"37.594818988324+-77.8955405904102","36.6044736017595+-79.3911700118246",204625,8490
