"origin","dest","dist","time"
"38.6492609687254+-77.7701791141514","38.7922868811903+-77.0443605906466",87474,3481
"36.7258449552627+-75.957116727472","38.7922868811903+-77.0443605906466",354783,12687
"38.528689702544+-77.4497560743079","38.7922868811903+-77.0443605906466",56619,2430
"38.3967702477623+-77.5130645485925","38.7922868811903+-77.0443605906466",72540,2982
"38.4076723038254+-77.452524625543","38.7922868811903+-77.0443605906466",66707,2560
"38.3451543527755+-77.5389479832657","38.7922868811903+-77.0443605906466",77376,2942
"38.4459687805237+-77.5039780438036","38.7922868811903+-77.0443605906466",66392,2824
"38.4749064053107+-78.3347746013687","38.7922868811903+-77.0443605906466",152422,6265
"38.3499292736662+-78.3038478563186","38.7922868811903+-77.0443605906466",151839,5919
"38.4020008192132+-78.1623266485062","38.7922868811903+-77.0443605906466",140021,5500
"38.2425825700264+-78.3897950585533","38.7922868811903+-77.0443605906466",167748,6618
"36.6884243319252+-80.8188976517375","38.7922868811903+-77.0443605906466",513551,17323
"38.3334890241153+-78.8252781145864","38.7922868811903+-77.0443605906466",227705,7897
"37.3339930523895+-79.9596468990903","38.7922868811903+-77.0443605906466",379755,12698
"38.3522779801121+-77.7613316477579","38.7922868811903+-77.0443605906466",101670,4153
"37.6753407887169+-78.8038503936593","38.7922868811903+-77.0443605906466",243742,10353
"36.7170449876829+-82.1932180441978","38.7922868811903+-77.0443605906466",611305,21020
"38.3145762353348+-77.4734334712208","38.7922868811903+-77.0443605906466",74819,2784
"37.41385984619+-79.9618831380393","38.7922868811903+-77.0443605906466",384852,14497
"38.1916828088183+-77.4588284122384","38.7922868811903+-77.0443605906466",94989,3777
"38.0009510760871+-79.8684026828721","38.7922868811903+-77.0443605906466",355247,13220
"37.2464020265008+-76.6697886023603","38.7922868811903+-77.0443605906466",244700,8106
"37.2318176336796+-76.6652962346119","38.7922868811903+-77.0443605906466",244689,8230
"37.2851246560096+-76.7588100553725","38.7922868811903+-77.0443605906466",242063,8281
"37.2939785901684+-76.7683665507151","38.7922868811903+-77.0443605906466",238962,8266
"37.2998873380602+-76.7859875756122","38.7922868811903+-77.0443605906466",238987,8267
"37.4116427695982+-76.7472387970644","38.7922868811903+-77.0443605906466",224694,7430
"37.4078134391102+-76.8427711806792","38.7922868811903+-77.0443605906466",220822,7359
"37.7892471842307+-79.5063289998304","38.7922868811903+-77.0443605906466",325416,10980
"38.179167905198+-79.0504675528626","38.7922868811903+-77.0443605906466",254613,8568
"37.097054708704+-76.411190263736","38.7922868811903+-77.0443605906466",269515,9117
"37.5882402694739+-77.4704670979117","38.7922868811903+-77.0443605906466",161660,5407
"37.4707673164897+-77.4991549231707","38.7922868811903+-77.0443605906466",175854,6038
"37.5435741288087+-77.4439563358961","38.7922868811903+-77.0443605906466",165204,5712
"36.9356827136564+-76.527414705759","38.7922868811903+-77.0443605906466",288519,9987
"38.9239229159592+-77.4241015990188","38.7922868811903+-77.0443605906466",46525,2086
"38.9746057268521+-77.2742300346578","38.7922868811903+-77.0443605906466",40051,1807
"38.876195344387+-77.2525149438788","38.7922868811903+-77.0443605906466",27183,1255
"38.8734683557286+-77.2727481151366","38.7922868811903+-77.0443605906466",30002,1259
"38.8101053198754+-77.1267481732148","38.7922868811903+-77.0443605906466",11025,673
"38.8368201790504+-77.1072331588717","38.7922868811903+-77.0443605906466",10004,882
"38.8366943830737+-77.1029159938196","38.7922868811903+-77.0443605906466",20620,807
"37.5934623068852+-79.1091925135239","38.7922868811903+-77.0443605906466",263088,10809
"36.921207274393+-80.4967788673555","38.7922868811903+-77.0443605906466",459334,15924
"36.9656207974131+-80.3714598846396","38.7922868811903+-77.0443605906466",451210,15189
"37.0292073042183+-80.2437451831418","38.7922868811903+-77.0443605906466",439830,15416
"36.8716066018781+-76.4635975372203","38.7922868811903+-77.0443605906466",301138,10091
"36.850111703678+-76.5147851167839","38.7922868811903+-77.0443605906466",308340,10510
