"origin","dest","dist","time"
"37.4233943040102+-77.43318551734","38.8713914055387+-77.3537212391983",196751,6950
"37.3221804475584+-77.4141527350431","38.8713914055387+-77.3537212391983",211773,7500
"37.1191412112259+-82.4292405899199","38.8713914055387+-77.3537212391983",648486,23211
"37.1919182328691+-77.6246926731898","38.8713914055387+-77.3537212391983",242641,8590
"36.8098810327023+-79.0742404486351","38.8713914055387+-77.3537212391983",344555,14198
"36.7813678201634+-77.5642690632716","38.8713914055387+-77.3537212391983",287861,9974
"37.6246106234014+-75.8155359073654","38.8713914055387+-77.3537212391983",347843,13758
"37.3846405925602+-77.4997903032417","38.8713914055387+-77.3537212391983",203031,7400
"37.4200606410769+-77.4625335385555","38.8713914055387+-77.3537212391983",198836,7039
"37.4772011313656+-77.543838500499","38.8713914055387+-77.3537212391983",190731,6899
"37.4880074627253+-77.6140956079375","38.8713914055387+-77.3537212391983",197553,7073
"37.5094663422912+-77.6341608881296","38.8713914055387+-77.3537212391983",196187,7221
"37.3466154875509+-77.436646651379","38.8713914055387+-77.3537212391983",206820,7492
"37.4375683860654+-77.5097084192907","38.8713914055387+-77.3537212391983",195361,6983
"37.4862529078774+-77.5590572631532","38.8713914055387+-77.3537212391983",189818,6780
"37.3350657215125+-77.7390328577996","38.8713914055387+-77.3537212391983",218081,8190
"37.475012602292+-77.5833436614196","38.8713914055387+-77.3537212391983",195126,6921
"37.4190056176834+-77.7821326862081","38.8713914055387+-77.3537212391983",213921,7951
"37.4193319854997+-77.6711309806581","38.8713914055387+-77.3537212391983",208658,7578
"37.3655227329802+-77.340099133132","38.8713914055387+-77.3537212391983",209998,7298
"36.8801179763897+-82.2241796379228","38.8713914055387+-77.3537212391983",591880,20666
"36.559500985613+-79.4539334802362","38.8713914055387+-77.3537212391983",382694,15068
"38.8788755229646+-77.1619401276395","38.8713914055387+-77.3537212391983",21861,1176
"36.6644665327842+-76.9267360047588","38.8713914055387+-77.3537212391983",303698,11097
"36.6897028641319+-76.9428867601853","38.8713914055387+-77.3537212391983",302195,11042
"36.6093345733588+-79.3754422816033","38.8713914055387+-77.3537212391983",368522,14628
"36.6642880717261+-81.1061229732227","38.8713914055387+-77.3537212391983",502127,17806
"38.851109697011+-77.0830097849863","38.8713914055387+-77.3537212391983",38420,1718
"36.7321953088329+-81.0335343567183","38.8713914055387+-77.3537212391983",487774,17166
"38.3527224517458+-77.4288689315434","38.8713914055387+-77.3537212391983",88497,3498
"38.4244359576001+-77.3818164755043","38.8713914055387+-77.3537212391983",77628,3224
"38.4679881411372+-77.4882595859202","38.8713914055387+-77.3537212391983",80762,3578
"38.4832659958349+-77.3756541468561","38.8713914055387+-77.3537212391983",68855,2962
"38.3787990932798+-77.364863226165","38.8713914055387+-77.3537212391983",84368,3463
"39.1524561413768+-78.1805871641101","38.8713914055387+-77.3537212391983",100537,4170
"36.8423372463283+-80.695955092218","38.8713914055387+-77.3537212391983",462577,15964
"36.7599006965782+-80.7968543389428","38.8713914055387+-77.3537212391983",474147,15876
"38.9038491847595+-77.1421517628271","38.8713914055387+-77.3537212391983",23133,1232
"38.8462893261525+-77.3206866487849","38.8713914055387+-77.3537212391983",5237,626
"38.8867541403099+-77.1323094806257","38.8713914055387+-77.3537212391983",23065,1282
"38.8881893758638+-77.1411808822348","38.8713914055387+-77.3537212391983",21951,1182
"38.9017184898175+-77.1137299121218","38.8713914055387+-77.3537212391983",28370,1367
"38.8597996372088+-77.0833764471543","38.8713914055387+-77.3537212391983",28946,1783
