"origin","dest","dist","time"
"38.8296287541309+-77.215339134243","37.8056497278942+-78.9910118393966",246137,10362
"38.6398005061167+-77.3642493928865","37.8056497278942+-78.9910118393966",213913,9688
"39.0684680729688+-77.5010267128076","37.8056497278942+-78.9910118393966",251585,10460
"37.2826122002176+-79.8897856147248","37.8056497278942+-78.9910118393966",140257,5719
"36.9016004119408+-75.9914605655157","37.8056497278942+-78.9910118393966",370147,13391
"37.0509962052905+-76.3111089586141","37.8056497278942+-78.9910118393966",306516,10995
"36.8615473296017+-76.2171346234507","37.8056497278942+-78.9910118393966",345556,12395
"37.519381510023+-77.4072475042317","37.8056497278942+-78.9910118393966",182504,7209
"36.732598999501+-76.569070849142","37.8056497278942+-78.9910118393966",343831,12258
"38.8078821166537+-77.1009460825973","37.8056497278942+-78.9910118393966",244220,10704
"38.8744265047299+-77.2905011613304","37.8056497278942+-78.9910118393966",233457,9872
"37.5057045698764+-77.3222866779693","37.8056497278942+-78.9910118393966",192649,7413
"37.5702381073593+-77.4845814290881","37.8056497278942+-78.9910118393966",173722,6674
"36.8497611683914+-76.0380525476698","37.8056497278942+-78.9910118393966",359612,12814
"36.908002660925+-76.1242601640745","37.8056497278942+-78.9910118393966",355875,12929
"36.9125717663101+-76.3028263322274","37.8056497278942+-78.9910118393966",337338,12329
"37.5439532279149+-77.6236978746758","37.8056497278942+-78.9910118393966",174305,6666
"37.1063593643482+-76.4456694899775","37.8056497278942+-78.9910118393966",290351,10358
"37.0554950366892+-76.4573034665357","37.8056497278942+-78.9910118393966",293812,10587
"38.9463061054468+-77.5917402848817","37.8056497278942+-78.9910118393966",218973,9670
"36.7548570532878+-76.5584811045834","37.8056497278942+-78.9910118393966",343370,12119
"37.0165545379564+-76.3644839187037","37.8056497278942+-78.9910118393966",301007,10770
"37.1472542913504+-76.5214079901214","37.8056497278942+-78.9910118393966",279105,10030
"39.109915820401+-77.5510003454492","37.8056497278942+-78.9910118393966",263665,10282
"37.9553642310472+-76.7686859318184","37.8056497278942+-78.9910118393966",252051,10045
"38.8693962491826+-77.3759866683583","37.8056497278942+-78.9910118393966",225694,9618
"38.7664594968609+-77.2042330952547","37.8056497278942+-78.9910118393966",233661,10366
"38.8963096684003+-77.2091855288683","37.8056497278942+-78.9910118393966",242379,10092
"37.3812402840819+-79.1782663358621","37.8056497278942+-78.9910118393966",63820,2751
"37.0103771755864+-78.161455320272","37.8056497278942+-78.9910118393966",175406,6829
"38.3898627266855+-78.8340048697722","37.8056497278942+-78.9910118393966",92184,4375
"38.7623058513191+-77.4711786337797","37.8056497278942+-78.9910118393966",205325,9201
"38.2131024001445+-77.503119418061","37.8056497278942+-78.9910118393966",173927,7824
"37.3421125256456+-79.252114608858","37.8056497278942+-78.9910118393966",72677,3119
"36.8259368674954+-76.301001547392","37.8056497278942+-78.9910118393966",334068,11849
"38.8661627727137+-77.0800549926879","37.8056497278942+-78.9910118393966",246534,10731
"36.7808696507983+-76.3521616555463","37.8056497278942+-78.9910118393966",337310,12047
"36.8512761184077+-76.1158956201814","37.8056497278942+-78.9910118393966",353087,12757
"36.7828407635306+-76.1361471263655","37.8056497278942+-78.9910118393966",359561,13022
"39.0879177697281+-78.1961323340445","37.8056497278942+-78.9910118393966",193436,7577
"36.9219366716951+-81.5189818878425","37.8056497278942+-78.9910118393966",304239,12039
"37.0456414724453+-76.4192651174864","37.8056497278942+-78.9910118393966",296718,10585
"37.3200775302204+-79.269199815331","37.8056497278942+-78.9910118393966",75409,3007
"38.9848212305863+-77.3536876831525","37.8056497278942+-78.9910118393966",242079,10520
"37.5328519770551+-77.3979706591629","37.8056497278942+-78.9910118393966",184708,7158
"38.8482599620029+-77.3890406430323","37.8056497278942+-78.9910118393966",224950,9747
"36.8506985913162+-75.9796730097839","37.8056497278942+-78.9910118393966",364144,12937
"36.6935637329208+-76.1947516047451","37.8056497278942+-78.9910118393966",355954,12710
"38.9121381604259+-77.5280384736079","37.8056497278942+-78.9910118393966",223306,9830
"37.3505039083536+-82.0267450618411","37.8056497278942+-78.9910118393966",425374,17456
"38.3622633505911+-79.5685555378787","37.8056497278942+-78.9910118393966",135078,7473
"38.6684116956265+-77.3530500515172","37.8056497278942+-78.9910118393966",218983,9848
"39.1040060535883+-77.5609941008621","37.8056497278942+-78.9910118393966",261852,10221
"39.0385417991914+-77.4630311263987","37.8056497278942+-78.9910118393966",243905,10319
"38.8992964645545+-77.0809067830602","37.8056497278942+-78.9910118393966",253033,10424
"37.5304498191424+-77.5692240191544","37.8056497278942+-78.9910118393966",178422,6952
"37.5124040578764+-77.6023893332524","37.8056497278942+-78.9910118393966",175543,6924
"37.0040457588552+-76.4257054308935","37.8056497278942+-78.9910118393966",303031,10968
"37.1030760458405+-76.466176236886","37.8056497278942+-78.9910118393966",287972,10249
"36.8719143929192+-76.21725414009","37.8056497278942+-78.9910118393966",344099,12491
"36.9249493543767+-76.2994344409283","37.8056497278942+-78.9910118393966",339925,12596
"36.8827097501563+-75.990206233675","37.8056497278942+-78.9910118393966",368479,13353
"37.040404377745+-76.3122519748757","37.8056497278942+-78.9910118393966",305051,10885
"38.7639049262968+-77.2668092740409","37.8056497278942+-78.9910118393966",242150,10319
"38.8803650830783+-77.2240493581203","37.8056497278942+-78.9910118393966",239709,10338
"36.852372843601+-76.3817232933647","37.8056497278942+-78.9910118393966",324176,11620
"36.5700380345252+-78.3828956421819","37.8056497278942+-78.9910118393966",220147,9270
"36.6117558815659+-78.6526703470602","37.8056497278942+-78.9910118393966",178417,7847
