"origin","dest","dist","time"
"38.6914829211258+-77.2946902096962","37.5486006004463+-77.4666861347823",141352,5342
"38.8531452264117+-77.5774706256571","37.5486006004463+-77.4666861347823",169086,6897
"37.0571057078121+-76.3721187675709","37.5486006004463+-77.4666861347823",124447,4397
"37.0292627182039+-76.3192945998954","37.5486006004463+-77.4666861347823",130954,4551
"37.0189130384179+-76.3218734003424","37.5486006004463+-77.4666861347823",130951,4509
"37.005570443659+-82.57797491939","37.5486006004463+-77.4666861347823",578628,20599
"37.0277555553153+-76.3075820787805","37.5486006004463+-77.4666861347823",132961,4741
"37.2171864696694+-76.5232799292886","37.5486006004463+-77.4666861347823",107056,4108
"37.1926891009868+-76.425214995148","37.5486006004463+-77.4666861347823",116424,4357
"36.8508511422243+-76.3277989857112","37.5486006004463+-77.4666861347823",156842,5440
"36.837845572286+-76.3011904675026","37.5486006004463+-77.4666861347823",160090,5740
"36.8277289046274+-76.3432780093611","37.5486006004463+-77.4666861347823",160474,5685
"36.8270234275483+-76.3774584035851","37.5486006004463+-77.4666861347823",156880,5639
"36.7939908500736+-76.3552389185358","37.5486006004463+-77.4666861347823",162871,5699
"36.9841364203535+-76.4013386467966","37.5486006004463+-77.4666861347823",131291,4599
"36.9741088062648+-76.4225116674232","37.5486006004463+-77.4666861347823",135141,4664
"37.0576570100821+-76.5053733580148","37.5486006004463+-77.4666861347823",122051,4509
"37.0079068318701+-76.4378642295759","37.5486006004463+-77.4666861347823",126326,4721
"36.886142133729+-76.2276385436294","37.5486006004463+-77.4666861347823",177415,6175
"36.8739272087358+-76.2427895195581","37.5486006004463+-77.4666861347823",170046,6284
"36.9404374152131+-76.253499883899","37.5486006004463+-77.4666861347823",175106,6659
"36.9080723374356+-76.2673075282771","37.5486006004463+-77.4666861347823",166537,6301
"36.9374570710757+-76.2390133148771","37.5486006004463+-77.4666861347823",175841,6738
"36.8820394537953+-76.2569952546777","37.5486006004463+-77.4666861347823",168790,6203
"36.859859818287+-76.2917702769681","37.5486006004463+-77.4666861347823",160540,5818
"36.8559299859979+-76.2539242695579","37.5486006004463+-77.4666861347823",167501,5978
"36.8319050927841+-76.259568258775","37.5486006004463+-77.4666861347823",165627,5964
"36.8427122677647+-76.0711443442075","37.5486006004463+-77.4666861347823",184380,6490
"36.8720457579044+-75.9946514323129","37.5486006004463+-77.4666861347823",194159,7006
"36.8200876880811+-76.1048254488887","37.5486006004463+-77.4666861347823",181682,6577
"36.8185000179258+-76.1326767890954","37.5486006004463+-77.4666861347823",179820,6446
"36.7679817819612+-76.1662395227833","37.5486006004463+-77.4666861347823",182791,6725
"36.8085794617326+-76.1068112596375","37.5486006004463+-77.4666861347823",182466,6634
"36.786429487689+-76.1174605514111","37.5486006004463+-77.4666861347823",183379,6848
"36.8008908626523+-76.1471110861248","37.5486006004463+-77.4666861347823",180593,6629
"37.2616603435983+-79.9476566987685","37.5486006004463+-77.4666861347823",303841,10419
"37.2637540232777+-79.9214011796506","37.5486006004463+-77.4666861347823",304163,10385
"36.8121776155403+-76.2525249382489","37.5486006004463+-77.4666861347823",168415,6077
"36.6108981674995+-76.3031361337873","37.5486006004463+-77.4666861347823",184694,7006
"36.7613355379758+-76.3535730352575","37.5486006004463+-77.4666861347823",162642,5547
"36.6591501488681+-76.2166599583139","37.5486006004463+-77.4666861347823",186489,6626
"37.6446705197745+-77.8794934023749","37.5486006004463+-77.4666861347823",55236,2465
"39.3435533739388+-78.2708375441432","37.5486006004463+-77.4666861347823",260354,10225
"37.1096093256009+-80.6814424030488","37.5486006004463+-77.4666861347823",369019,12557
"37.1307623456764+-80.7637495657464","37.5486006004463+-77.4666861347823",376909,13075
"36.9787833961008+-80.6500685399637","37.5486006004463+-77.4666861347823",386362,13719
"37.4467325226301+-79.1059481758834","37.5486006004463+-77.4666861347823",208931,7579
"37.4744470448902+-79.107463945766","37.5486006004463+-77.4666861347823",207430,7409
"37.2318638477581+-76.7210154186626","37.5486006004463+-77.4666861347823",92838,3558
"37.3253202030741+-80.0121832525096","37.5486006004463+-77.4666861347823",298601,10131
"37.1822641703242+-79.958381736096","37.5486006004463+-77.4666861347823",317046,10968
"37.1295248333847+-78.9264934268741","37.5486006004463+-77.4666861347823",165165,7192
"37.3507173806531+-80.1278365738613","37.5486006004463+-77.4666861347823",308764,10675
"38.4725620511809+-78.7796967825009","37.5486006004463+-77.4666861347823",221257,7813
"38.3919503998624+-78.7615740663149","37.5486006004463+-77.4666861347823",177547,7909
"37.3506887382257+-79.2869838251788","37.5486006004463+-77.4666861347823",199047,8084
"37.3029963591198+-79.714787073448","37.5486006004463+-77.4666861347823",242116,9891
"37.2088069902081+-81.4080437038842","37.5486006004463+-77.4666861347823",478710,16571
"37.1559103573548+-81.7312899977372","37.5486006004463+-77.4666861347823",523089,18513
"38.2046792747131+-78.8404669257334","37.5486006004463+-77.4666861347823",169181,6214
"38.9237776908767+-78.2056796829901","37.5486006004463+-77.4666861347823",207008,8200
"38.9250158795307+-78.1900998392774","37.5486006004463+-77.4666861347823",200662,8047
"38.7128868113077+-78.486989988383","37.5486006004463+-77.4666861347823",203318,8743
"38.5493262914212+-77.6275492334413","37.5486006004463+-77.4666861347823",123120,5099
"38.8724478769299+-78.1691743532596","37.5486006004463+-77.4666861347823",194944,8201
"37.3994661775966+-79.1833240804878","37.5486006004463+-77.4666861347823",183689,7736
"38.518119701399+-78.1119765743458","37.5486006004463+-77.4666861347823",151202,6544
"38.4925568302997+-77.9668623169925","37.5486006004463+-77.4666861347823",138666,5909
"36.7386236222364+-76.5826464612477","37.5486006004463+-77.4666861347823",133924,5837
"37.425516366658+-79.8294407744561","37.5486006004463+-77.4666861347823",276112,9370
"37.0473606266813+-77.9306259681932","37.5486006004463+-77.4666861347823",110252,4426
"36.7659147541774+-76.2392552258765","37.5486006004463+-77.4666861347823",175372,6224
"37.1187143369828+-76.4862214468545","37.5486006004463+-77.4666861347823",112231,3924
"37.1654817503263+-76.564306177715","37.5486006004463+-77.4666861347823",104380,3690
"36.7219623728877+-76.5710503037481","37.5486006004463+-77.4666861347823",137271,6169
"36.8759222216493+-76.3178567262429","37.5486006004463+-77.4666861347823",164052,6099
"37.539099892521+-77.451264315303","37.5486006004463+-77.4666861347823",2135,326
"36.6042124733555+-76.8308122853861","37.5486006004463+-77.4666861347823",139038,5529
"36.8657003926439+-76.2874121599006","37.5486006004463+-77.4666861347823",160890,5884
"36.7549165910854+-76.6324128929113","37.5486006004463+-77.4666861347823",130410,5590
"37.2331260526427+-79.9560815262687","37.5486006004463+-77.4666861347823",308359,10606
"37.2896697998076+-79.9020935537794","37.5486006004463+-77.4666861347823",294818,10200
"37.0900624132311+-76.3616337579234","37.5486006004463+-77.4666861347823",128907,4718
"37.0770667836603+-76.391924052161","37.5486006004463+-77.4666861347823",125513,4525
"37.194560588348+-80.5473115664095","37.5486006004463+-77.4666861347823",363523,12867
"39.2691851138417+-77.6983396639818","37.5486006004463+-77.4666861347823",238897,8944
"39.0946234418034+-77.6477688079649","37.5486006004463+-77.4666861347823",217899,8038
"39.0535172868452+-77.5251025767673","37.5486006004463+-77.4666861347823",204607,7523
"39.057237918181+-77.4281558867451","37.5486006004463+-77.4666861347823",191588,7418
"39.0509629374927+-77.3739496466984","37.5486006004463+-77.4666861347823",192398,7357
"39.0537754451535+-77.3529066253111","37.5486006004463+-77.4666861347823",192404,7450
"39.0254166189446+-77.3787926452527","37.5486006004463+-77.4666861347823",189438,7226
"39.0365878076115+-77.372665055815","37.5486006004463+-77.4666861347823",191267,7420
"39.0088845482669+-77.5149501910324","37.5486006004463+-77.4666861347823",199412,7285
"38.8959905566861+-77.4967938117142","37.5486006004463+-77.4666861347823",175485,7037
"39.0011886820046+-77.4625368209229","37.5486006004463+-77.4666861347823",196610,7190
"38.3655070789147+-78.8926911364884","37.5486006004463+-77.4666861347823",200785,6923
"38.8817331989335+-77.1181046254351","37.5486006004463+-77.4666861347823",175172,6344
"38.8720919292931+-77.1065244076944","37.5486006004463+-77.4666861347823",166418,6335
"38.8626085723216+-77.0656716968061","37.5486006004463+-77.4666861347823",166742,6113
"37.2715073506961+-80.3214649950637","37.5486006004463+-77.4666861347823",331318,11845
"37.1107297094238+-80.4223030190214","37.5486006004463+-77.4666861347823",340461,11486
"37.6616019180949+-77.5523966803145","37.5486006004463+-77.4666861347823",23009,1457
"37.2735684794654+-77.3573985562468","37.5486006004463+-77.4666861347823",43131,1895
"38.6196652541806+-77.3038134379127","37.5486006004463+-77.4666861347823",132378,4901
"38.6377684000818+-77.3390717371031","37.5486006004463+-77.4666861347823",135780,5176
"38.6442541860137+-77.3007915768544","37.5486006004463+-77.4666861347823",132162,4898
"37.5185069668748+-77.5470200239917","37.5486006004463+-77.4666861347823",9615,704
"38.5930878428296+-77.4715155626655","37.5486006004463+-77.4666861347823",132163,5092
"38.664115977704+-77.3895503973072","37.5486006004463+-77.4666861347823",136798,5333
"38.6994920460278+-77.3416417563279","37.5486006004463+-77.4666861347823",143927,5688
"38.8353726069563+-77.6556617017245","37.5486006004463+-77.4666861347823",171027,6833
"37.3306469284364+-77.4926254290115","37.5486006004463+-77.4666861347823",36441,1744
"37.4891906864346+-77.679615109223","37.5486006004463+-77.4666861347823",26075,1205
"37.3947268966599+-77.6181824619383","37.5486006004463+-77.4666861347823",27360,1677
"37.8996049407186+-75.4527101505962","37.5486006004463+-77.4666861347823",322747,12781
"37.0780827443672+-79.5646957939583","37.5486006004463+-77.4666861347823",238777,10111
"38.6908449556638+-77.2177119339533","37.5486006004463+-77.4666861347823",140666,5175
"38.7106167936959+-77.2112742872449","37.5486006004463+-77.4666861347823",143517,5334
"38.7514650377325+-77.173103783512","37.5486006004463+-77.4666861347823",150094,5820
"38.8828735330186+-77.4295929960881","37.5486006004463+-77.4666861347823",169199,6704
"38.7378298767575+-77.200681215625","37.5486006004463+-77.4666861347823",148143,5418
"38.9174022411787+-77.2136307400418","37.5486006004463+-77.4666861347823",170876,6256
"38.7277107232211+-77.2311323311014","37.5486006004463+-77.4666861347823",146351,5500
"38.8396988213944+-77.331526656919","37.5486006004463+-77.4666861347823",160062,6416
"38.9525369336338+-77.3985892867133","37.5486006004463+-77.4666861347823",188554,6942
"38.9402035250843+-77.3100543409948","37.5486006004463+-77.4666861347823",179993,6541
"38.8427784434266+-77.1155748588302","37.5486006004463+-77.4666861347823",160823,6079
