"origin","dest","dist","time"
"37.4257805963933+-77.2593990236781","37.2736562428864+-77.4197793038304",31879,1837
"38.0596899098172+-78.5863729792858","37.2736562428864+-77.4197793038304",160653,5845
"36.7899153636296+-81.5156121324326","37.2736562428864+-77.4197793038304",492579,16882
"36.6996784633102+-78.0761729521866","37.2736562428864+-77.4197793038304",102694,3653
"37.5910850161076+-77.4236314944696","37.2736562428864+-77.4197793038304",40849,2045
"37.1537910601732+-78.0614986808057","37.2736562428864+-77.4197793038304",78282,3328
"36.6722740711053+-79.9247292200158","37.2736562428864+-77.4197793038304",288138,10788
"38.8081072088208+-77.348620615309","37.2736562428864+-77.4197793038304",189955,7006
"38.9478499486938+-77.3844532539275","37.2736562428864+-77.4197793038304",220897,7892
"39.0640156484717+-77.9378500483885","37.2736562428864+-77.4197793038304",232515,9015
"38.4948591210558+-77.5413335429096","37.2736562428864+-77.4197793038304",149495,5914
"36.7111474197947+-79.9215234134094","37.2736562428864+-77.4197793038304",283713,10989
"38.2569445271597+-77.5431714686729","37.2736562428864+-77.4197793038304",120937,4710
"36.6319785842344+-83.4499509437983","37.2736562428864+-77.4197793038304",684627,24096
"38.0272804953636+-78.0106587754028","37.2736562428864+-77.4197793038304",125346,4709
"38.8525837027675+-77.2571204806673","37.2736562428864+-77.4197793038304",198326,7143
"38.8743354540615+-77.3975485907489","37.2736562428864+-77.4197793038304",200790,7499
"38.8378445445898+-77.3710578035804","37.2736562428864+-77.4197793038304",196761,7380
"38.7862311068019+-77.2031573416314","37.2736562428864+-77.4197793038304",187498,6789
"38.8294049506681+-77.2756964622899","37.2736562428864+-77.4197793038304",197942,7275
"39.0166559539397+-77.3282853184781","37.2736562428864+-77.4197793038304",221429,8171
"38.9281320353518+-77.3430443974555","37.2736562428864+-77.4197793038304",218993,7908
"38.7564987569352+-77.1106745031437","37.2736562428864+-77.4197793038304",189107,7200
"38.8412262256698+-77.1942235147123","37.2736562428864+-77.4197793038304",197892,7196
"38.8065642021937+-77.1713147520339","37.2736562428864+-77.4197793038304",188709,6617
"38.73209448369+-77.214000735869","37.2736562428864+-77.4197793038304",180616,6519
"38.0799042446524+-78.5031697756647","37.2736562428864+-77.4197793038304",149922,5748
"38.0516017744919+-78.4214194531448","37.2736562428864+-77.4197793038304",147871,5462
"38.053327486209+-78.7063174357742","37.2736562428864+-77.4197793038304",169783,5962
"37.0899157247563+-77.3167387651133","37.2736562428864+-77.4197793038304",28603,1467
"36.9137944901911+-79.3768276773479","37.2736562428864+-77.4197793038304",214482,9142
"39.0252327452621+-77.5548680286195","37.2736562428864+-77.4197793038304",243912,9140
"38.9476149263145+-77.5353411159799","37.2736562428864+-77.4197793038304",217585,8423
"38.9925352502935+-77.4046949358377","37.2736562428864+-77.4197793038304",220152,8338
"38.7558786627789+-77.5368289626584","37.2736562428864+-77.4197793038304",189141,7121
"37.6587516793147+-77.3595483045148","37.2736562428864+-77.4197793038304",54180,2504
"38.8935801353145+-77.108677694139","37.2736562428864+-77.4197793038304",204546,7535
"37.1949442082228+-80.4229788929519","37.2736562428864+-77.4197793038304",380264,13036
