"origin","dest","dist","time"
"38.8087673751385+-77.076516865079","38.8181796453947+-77.197441029452",13860,1141
"36.7043514888116+-77.2722326328322","38.8181796453947+-77.197441029452",270686,9618
"37.4197644749488+-77.4455323498243","38.8181796453947+-77.197441029452",177020,6408
"38.4666521912963+-77.4275881555422","38.8181796453947+-77.197441029452",52729,2375
"37.2969288653073+-79.9890709247956","38.8181796453947+-77.197441029452",373866,12839
"37.1914979425806+-81.9828294146385","38.8181796453947+-77.197441029452",621695,22019
"36.9226812218854+-76.2298511287378","38.8181796453947+-77.197441029452",328115,11436
"38.9797170696282+-78.5324025987374","38.8181796453947+-77.197441029452",144958,5686
"37.0926423987936+-81.4096570926692","38.8181796453947+-77.197441029452",567102,20531
"36.8914767281837+-76.1209564201985","38.8181796453947+-77.197441029452",328520,11641
"37.6823089073984+-78.5530789207793","38.8181796453947+-77.197441029452",212401,9762
"38.7918481272321+-77.129224428818","38.8181796453947+-77.197441029452",12973,1062
"38.9044164331144+-77.2108368980091","38.8181796453947+-77.197441029452",14763,976
"38.8362732333269+-77.4136953507828","38.8181796453947+-77.197441029452",23492,1727
"36.8762095101064+-76.294971338676","38.8181796453947+-77.197441029452",306078,10617
"38.4587899463671+-77.3924603120678","38.8181796453947+-77.197441029452",51197,2190
"38.8906879559735+-77.1206173431066","38.8181796453947+-77.197441029452",21998,1291
"36.7985351523662+-76.3695628016315","38.8181796453947+-77.197441029452",306217,10398
"37.5193195643033+-77.5868680948095","38.8181796453947+-77.197441029452",172196,6312
"38.8079669383114+-77.2957541517425","38.8181796453947+-77.197441029452",11983,1003
"38.9723353762502+-77.3727014812809","38.8181796453947+-77.197441029452",33683,1891
"37.2365444302008+-80.4302749372718","38.8181796453947+-77.197441029452",426059,14506
"38.7353082764731+-77.6783183894495","38.8181796453947+-77.197441029452",57414,2708
"38.8613901785457+-77.0598033847773","38.8181796453947+-77.197441029452",17564,1112
"38.8727709966936+-77.3066867920946","38.8181796453947+-77.197441029452",19204,1200
"38.9764581313938+-77.343395514021","38.8181796453947+-77.197441029452",31574,1760
"37.6124838087759+-77.5710039127071","38.8181796453947+-77.197441029452",164515,5876
"38.7797961207682+-77.4991287001288","38.8181796453947+-77.197441029452",41511,2190
"37.6664922316132+-77.5185732185742","38.8181796453947+-77.197441029452",151800,5423
"37.5561949019302+-77.3666366078771","38.8181796453947+-77.197441029452",164143,5817
"37.6229001081114+-77.5651407547232","38.8181796453947+-77.197441029452",163812,5824
"37.6114525787211+-77.4784083551593","38.8181796453947+-77.197441029452",152148,5664
"37.5724570915348+-77.40366538127","38.8181796453947+-77.197441029452",160884,5764
"38.9920853013314+-77.4818888579815","38.8181796453947+-77.197441029452",41791,1872
"37.1106077621079+-80.5697584033479","38.8181796453947+-77.197441029452",428624,14558
"36.8027064700979+-76.0941452583686","38.8181796453947+-77.197441029452",328757,11550
