"origin","dest","dist","time"
"38.8144604249171+-77.1512390307939","37.6263977295115+-77.5182366310746",153046,5634
"38.8287373078551+-77.2407389343366","37.6263977295115+-77.5182366310746",157029,5669
"38.8082417780361+-77.2686633984416","37.6263977295115+-77.5182366310746",156266,5760
"38.9608899833509+-77.3829490651183","37.6263977295115+-77.5182366310746",182705,6717
"38.9720237434523+-77.400452283963","37.6263977295115+-77.5182366310746",185081,6940
"38.935292670767+-77.1570135081001","37.6263977295115+-77.5182366310746",173816,6632
"38.9208256256209+-77.1858438050331","37.6263977295115+-77.5182366310746",166529,6174
"38.9021019057115+-77.2746927800759","37.6263977295115+-77.5182366310746",167069,6219
"38.9017640474909+-77.3348103387744","37.6263977295115+-77.5182366310746",164497,6681
"38.9231346561268+-77.4075584177477","37.6263977295115+-77.5182366310746",166970,6600
"38.9593174549369+-77.3127820618062","37.6263977295115+-77.5182366310746",180039,6724
"38.723279202328+-77.0687279886028","37.6263977295115+-77.5182366310746",154223,6050
"38.748854650231+-77.0497180207913","37.6263977295115+-77.5182366310746",164768,6038
"38.7186748131811+-77.0877451085963","37.6263977295115+-77.5182366310746",149437,5776
"38.7061811467534+-77.1155986431885","37.6263977295115+-77.5182366310746",146467,5581
"38.8881961616143+-77.2344439066377","37.6263977295115+-77.5182366310746",161676,6080
"38.7814980688346+-77.3948842643749","37.6263977295115+-77.5182366310746",153224,6013
"38.7913212568819+-77.2989184886657","37.6263977295115+-77.5182366310746",148641,5742
"38.7827361598296+-77.2240496678194","37.6263977295115+-77.5182366310746",150614,5570
"38.8150136448705+-77.4711081054712","37.6263977295115+-77.5182366310746",154785,6643
"38.9342390130341+-77.3335276689647","37.6263977295115+-77.5182366310746",177877,6529
"37.0052602694798+-79.2248924800302","37.6263977295115+-77.5182366310746",212435,9104
"36.7511279576325+-79.4005686255019","37.6263977295115+-77.5182366310746",243507,10074
"36.8147889616566+-79.5768313452785","37.6263977295115+-77.5182366310746",256104,10541
"36.707210394998+-79.3376441789558","37.6263977295115+-77.5182366310746",228984,9617
"36.6568058051277+-80.1328228045076","37.6263977295115+-77.5182366310746",325935,13031
"37.8543349384278+-77.3651346668827","37.6263977295115+-77.5182366310746",41448,1889
"37.037375298097+-78.7661050971366","37.6263977295115+-77.5182366310746",160583,6934
"37.812789383414+-78.3738905786863","37.6263977295115+-77.5182366310746",87832,3856
"37.5911290065465+-77.2968003854876","37.6263977295115+-77.5182366310746",28723,1453
"37.4263578922875+-77.5963035428916","37.6263977295115+-77.5182366310746",31556,1639
"37.4233943040102+-77.43318551734","37.6263977295115+-77.5182366310746",30538,1450
"37.3221804475584+-77.4141527350431","37.6263977295115+-77.5182366310746",45560,2001
"37.1191412112259+-82.4292405899199","37.6263977295115+-77.5182366310746",579967,20967
"37.1919182328691+-77.6246926731898","37.6263977295115+-77.5182366310746",76428,3091
"36.8098810327023+-79.0742404486351","37.6263977295115+-77.5182366310746",205300,8574
"36.7813678201634+-77.5642690632716","37.6263977295115+-77.5182366310746",121648,4474
"37.6246106234014+-75.8155359073654","37.6263977295115+-77.5182366310746",280646,10658
"37.3846405925602+-77.4997903032417","37.6263977295115+-77.5182366310746",36318,1871
"37.4200606410769+-77.4625335385555","37.6263977295115+-77.5182366310746",32624,1539
"37.4772011313656+-77.543838500499","37.6263977295115+-77.5182366310746",24018,1370
"37.4880074627253+-77.6140956079375","37.6263977295115+-77.5182366310746",30840,1544
"37.5094663422912+-77.6341608881296","37.6263977295115+-77.5182366310746",29474,1692
