"origin","dest","dist","time"
"38.8326726645335+-77.0634354530475","38.0361880075401+-78.4955236036005",182717,8326
"38.8219279184791+-77.0616764117922","38.0361880075401+-78.4955236036005",182219,8377
"38.8170818357142+-77.0974934423032","38.0361880075401+-78.4955236036005",179335,8164
"36.6889406996925+-81.7284275978374","38.0361880075401+-78.4955236036005",378094,13192
"37.3258534422583+-76.562987801301","38.0361880075401+-78.4955236036005",220955,8323
"37.3655584692848+-77.4761933934063","38.0361880075401+-78.4955236036005",141855,5128
"37.2607069636561+-77.4660828847357","38.0361880075401+-78.4955236036005",152023,5908
"37.520689576414+-77.6422455727279","38.0361880075401+-78.4955236036005",110064,4094
"37.4547935781219+-77.5335533034294","38.0361880075401+-78.4955236036005",126995,4843
"37.4039145824224+-77.4951375977373","38.0361880075401+-78.4955236036005",134612,4888
"37.301205005287+-77.4149313137135","38.0361880075401+-78.4955236036005",144928,5330
"36.6090185732137+-77.5566272552284","38.0361880075401+-78.4955236036005",229894,7935
"36.8027200657116+-78.873004972692","38.0361880075401+-78.4955236036005",194145,8152
"37.2097513861398+-82.2879183506656","38.0361880075401+-78.4955236036005",474180,17832
"37.7235204760459+-77.5311722138376","38.0361880075401+-78.4955236036005",102511,4069
"37.5848881972744+-77.3434915992671","38.0361880075401+-78.4955236036005",125229,4499
"37.7441561690184+-77.4732029427326","38.0361880075401+-78.4955236036005",107858,4412
"37.7318167608327+-77.670605418252","38.0361880075401+-78.4955236036005",88816,3585
"37.5880939078591+-77.3233026337077","38.0361880075401+-78.4955236036005",124179,4373
"38.9852363519155+-77.6824842274345","38.0361880075401+-78.4955236036005",152867,7095
"38.0863362020811+-78.892671515067","38.0361880075401+-78.4955236036005",46942,2346
"37.1018678303457+-79.8860272283222","38.0361880075401+-78.4955236036005",223387,8310
"37.3493788607874+-79.8189857418459","38.0361880075401+-78.4955236036005",185362,6735
"38.7007391437907+-77.377317087936","38.0361880075401+-78.4955236036005",146466,7065
"38.6672467545801+-77.3700329698023","38.0361880075401+-78.4955236036005",146278,7064
"38.6914829211258+-77.2946902096962","38.0361880075401+-78.4955236036005",159446,7478
"38.8531452264117+-77.5774706256571","38.0361880075401+-78.4955236036005",139249,6470
"37.0571057078121+-76.3721187675709","38.0361880075401+-78.4955236036005",234033,8045
"37.0292627182039+-76.3192945998954","38.0361880075401+-78.4955236036005",240539,8199
"37.0189130384179+-76.3218734003424","38.0361880075401+-78.4955236036005",240537,8156
"37.005570443659+-82.57797491939","38.0361880075401+-78.4955236036005",468843,17228
"37.0277555553153+-76.3075820787805","38.0361880075401+-78.4955236036005",242547,8388
"37.2171864696694+-76.5232799292886","38.0361880075401+-78.4955236036005",216642,7755
"37.1926891009868+-76.425214995148","38.0361880075401+-78.4955236036005",226010,8004
"36.8508511422243+-76.3277989857112","38.0361880075401+-78.4955236036005",266428,9088
"36.837845572286+-76.3011904675026","38.0361880075401+-78.4955236036005",269676,9387
"36.8277289046274+-76.3432780093611","38.0361880075401+-78.4955236036005",270060,9333
"36.8270234275483+-76.3774584035851","38.0361880075401+-78.4955236036005",266465,9287
"36.7939908500736+-76.3552389185358","38.0361880075401+-78.4955236036005",272457,9347
"36.9841364203535+-76.4013386467966","38.0361880075401+-78.4955236036005",240877,8247
"36.9741088062648+-76.4225116674232","38.0361880075401+-78.4955236036005",244726,8312
"37.0576570100821+-76.5053733580148","38.0361880075401+-78.4955236036005",231637,8156
"37.0079068318701+-76.4378642295759","38.0361880075401+-78.4955236036005",235912,8368
"36.886142133729+-76.2276385436294","38.0361880075401+-78.4955236036005",287000,9823
"36.8739272087358+-76.2427895195581","38.0361880075401+-78.4955236036005",279632,9932
"36.9404374152131+-76.253499883899","38.0361880075401+-78.4955236036005",284691,10307
"36.9080723374356+-76.2673075282771","38.0361880075401+-78.4955236036005",276123,9949
"36.9374570710757+-76.2390133148771","38.0361880075401+-78.4955236036005",285426,10386
"36.8820394537953+-76.2569952546777","38.0361880075401+-78.4955236036005",278376,9851
"36.859859818287+-76.2917702769681","38.0361880075401+-78.4955236036005",270126,9466
"36.8559299859979+-76.2539242695579","38.0361880075401+-78.4955236036005",277087,9626
"36.8319050927841+-76.259568258775","38.0361880075401+-78.4955236036005",275213,9612
"36.8427122677647+-76.0711443442075","38.0361880075401+-78.4955236036005",293965,10138
"36.8720457579044+-75.9946514323129","38.0361880075401+-78.4955236036005",303745,10653
"36.8200876880811+-76.1048254488887","38.0361880075401+-78.4955236036005",291268,10225
"36.8185000179258+-76.1326767890954","38.0361880075401+-78.4955236036005",289406,10094
"36.7679817819612+-76.1662395227833","38.0361880075401+-78.4955236036005",292377,10373
"36.8085794617326+-76.1068112596375","38.0361880075401+-78.4955236036005",292051,10282
"36.786429487689+-76.1174605514111","38.0361880075401+-78.4955236036005",292965,10496
"36.8008908626523+-76.1471110861248","38.0361880075401+-78.4955236036005",290179,10277
"37.2616603435983+-79.9476566987685","38.0361880075401+-78.4955236036005",194055,7048
"37.2637540232777+-79.9214011796506","38.0361880075401+-78.4955236036005",194378,7014
"36.8121776155403+-76.2525249382489","38.0361880075401+-78.4955236036005",278001,9725
"36.6108981674995+-76.3031361337873","38.0361880075401+-78.4955236036005",294280,10654
"36.7613355379758+-76.3535730352575","38.0361880075401+-78.4955236036005",272228,9195
"36.6591501488681+-76.2166599583139","38.0361880075401+-78.4955236036005",296075,10274
"37.6446705197745+-77.8794934023749","38.0361880075401+-78.4955236036005",84274,3554
"39.3435533739388+-78.2708375441432","38.0361880075401+-78.4955236036005",231683,8637
"37.1096093256009+-80.6814424030488","38.0361880075401+-78.4955236036005",259234,9186
"37.1307623456764+-80.7637495657464","38.0361880075401+-78.4955236036005",267124,9703
"36.9787833961008+-80.6500685399637","38.0361880075401+-78.4955236036005",276577,10348
"37.4467325226301+-79.1059481758834","38.0361880075401+-78.4955236036005",96793,4182
"37.4744470448902+-79.107463945766","38.0361880075401+-78.4955236036005",95292,4012
"37.2318638477581+-76.7210154186626","38.0361880075401+-78.4955236036005",202424,7205
"37.3253202030741+-80.0121832525096","38.0361880075401+-78.4955236036005",188816,6760
"37.1822641703242+-79.958381736096","38.0361880075401+-78.4955236036005",207261,7597
"37.1295248333847+-78.9264934268741","38.0361880075401+-78.4955236036005",140359,6011
"37.3507173806531+-80.1278365738613","38.0361880075401+-78.4955236036005",198979,7304
"38.4725620511809+-78.7796967825009","38.0361880075401+-78.4955236036005",111472,4442
"38.3919503998624+-78.7615740663149","38.0361880075401+-78.4955236036005",76411,4535
"37.3506887382257+-79.2869838251788","38.0361880075401+-78.4955236036005",127604,5202
"37.3029963591198+-79.714787073448","38.0361880075401+-78.4955236036005",170672,7009
"37.2088069902081+-81.4080437038842","38.0361880075401+-78.4955236036005",368925,13200
"37.1559103573548+-81.7312899977372","38.0361880075401+-78.4955236036005",413304,15142
"38.2046792747131+-78.8404669257334","38.0361880075401+-78.4955236036005",59396,2843
"38.9237776908767+-78.2056796829901","38.0361880075401+-78.4955236036005",121062,6197
"38.9250158795307+-78.1900998392774","38.0361880075401+-78.4955236036005",118644,5920
"38.7128868113077+-78.486989988383","38.0361880075401+-78.4955236036005",102182,5369
"38.5493262914212+-77.6275492334413","38.0361880075401+-78.4955236036005",114597,5445
"38.8724478769299+-78.1691743532596","38.0361880075401+-78.4955236036005",117986,5849
"37.3994661775966+-79.1833240804878","38.0361880075401+-78.4955236036005",110484,4690
"38.518119701399+-78.1119765743458","38.0361880075401+-78.4955236036005",71680,3751
"38.4925568302997+-77.9668623169925","38.0361880075401+-78.4955236036005",79154,3834
"36.7386236222364+-76.5826464612477","38.0361880075401+-78.4955236036005",246243,9764
"37.425516366658+-79.8294407744561","38.0361880075401+-78.4955236036005",166327,5999
