"origin","dest","dist","time"
"37.0780827443672+-79.5646957939583","37.5204104795827+-77.3948140470741",246259,10574
"38.6908449556638+-77.2177119339533","37.5204104795827+-77.3948140470741",147662,5379
"38.7106167936959+-77.2112742872449","37.5204104795827+-77.3948140470741",150513,5537
"38.7514650377325+-77.173103783512","37.5204104795827+-77.3948140470741",157090,6024
"38.8828735330186+-77.4295929960881","37.5204104795827+-77.3948140470741",176195,6908
"38.7378298767575+-77.200681215625","37.5204104795827+-77.3948140470741",155139,5621
"38.9174022411787+-77.2136307400418","37.5204104795827+-77.3948140470741",177872,6460
"38.7277107232211+-77.2311323311014","37.5204104795827+-77.3948140470741",153347,5703
"38.8396988213944+-77.331526656919","37.5204104795827+-77.3948140470741",167058,6619
"38.9525369336338+-77.3985892867133","37.5204104795827+-77.3948140470741",195551,7146
"38.9402035250843+-77.3100543409948","37.5204104795827+-77.3948140470741",186989,6745
"38.8427784434266+-77.1155748588302","37.5204104795827+-77.3948140470741",167819,6282
"38.9995977187515+-77.3612137461968","37.5204104795827+-77.3948140470741",193719,7249
"38.9013451534153+-77.1865000770853","37.5204104795827+-77.3948140470741",181736,6576
"38.8213235223507+-77.4192107363388","37.5204104795827+-77.3948140470741",170986,6629
"38.857321305675+-77.3960036289724","37.5204104795827+-77.3948140470741",171440,6658
"36.6580516029825+-79.5977089615649","37.5204104795827+-77.3948140470741",289204,10883
"38.3156986846517+-77.5826156069068","37.5204104795827+-77.3948140470741",103261,4177
"38.2878564122562+-77.6539416453595","37.5204104795827+-77.3948140470741",107280,4334
"38.2589980807202+-77.5190420941724","37.5204104795827+-77.3948140470741",90920,3677
"38.2810427389503+-77.5219491621556","37.5204104795827+-77.3948140470741",97155,3731
"38.2631882493457+-77.571929839235","37.5204104795827+-77.3948140470741",94789,4051
"38.0692084625296+-77.707138933975","37.5204104795827+-77.3948140470741",85452,4156
"38.236465147772+-77.4576941428091","37.5204104795827+-77.3948140470741",93050,3751
"37.6821464143791+-77.4203724434314","37.5204104795827+-77.3948140470741",25786,1563
"38.6492609687254+-77.7701791141514","37.5204104795827+-77.3948140470741",146591,5777
"36.7258449552627+-75.957116727472","37.5204104795827+-77.3948140470741",195349,7787
"38.528689702544+-77.4497560743079","37.5204104795827+-77.3948140470741",131870,5083
"38.3967702477623+-77.5130645485925","37.5204104795827+-77.3948140470741",110109,4398
"38.4076723038254+-77.452524625543","37.5204104795827+-77.3948140470741",111951,4205
"38.3451543527755+-77.5389479832657","37.5204104795827+-77.3948140470741",104887,4036
"38.4459687805237+-77.5039780438036","37.5204104795827+-77.3948140470741",114990,4419
"38.4749064053107+-78.3347746013687","37.5204104795827+-77.3948140470741",157176,6793
"38.3499292736662+-78.3038478563186","37.5204104795827+-77.3948140470741",140573,5856
"38.4020008192132+-78.1623266485062","37.5204104795827+-77.3948140470741",145984,6078
"38.2425825700264+-78.3897950585533","37.5204104795827+-77.3948140470741",135413,5518
"36.6884243319252+-80.8188976517375","37.5204104795827+-77.3948140470741",430284,14861
"38.3334890241153+-78.8252781145864","37.5204104795827+-77.3948140470741",191055,7257
"37.3339930523895+-79.9596468990903","37.5204104795827+-77.3948140470741",296488,10236
"38.3522779801121+-77.7613316477579","37.5204104795827+-77.3948140470741",118929,4863
"37.6753407887169+-78.8038503936593","37.5204104795827+-77.3948140470741",182629,7022
"36.7170449876829+-82.1932180441978","37.5204104795827+-77.3948140470741",528038,18558
"38.3145762353348+-77.4734334712208","37.5204104795827+-77.3948140470741",99194,3890
"37.41385984619+-79.9618831380393","37.5204104795827+-77.3948140470741",301585,12035
"38.1916828088183+-77.4588284122384","37.5204104795827+-77.3948140470741",89487,3747
"38.0009510760871+-79.8684026828721","37.5204104795827+-77.3948140470741",275969,10796
"37.2464020265008+-76.6697886023603","37.5204104795827+-77.3948140470741",85267,3206
"37.2318176336796+-76.6652962346119","37.5204104795827+-77.3948140470741",85256,3330
"37.2851246560096+-76.7588100553725","37.5204104795827+-77.3948140470741",82630,3381
"37.2939785901684+-76.7683665507151","37.5204104795827+-77.3948140470741",79529,3365
"37.2998873380602+-76.7859875756122","37.5204104795827+-77.3948140470741",79553,3366
"37.4116427695982+-76.7472387970644","37.5204104795827+-77.3948140470741",65261,2529
"37.4078134391102+-76.8427711806792","37.5204104795827+-77.3948140470741",61389,2458
"37.7892471842307+-79.5063289998304","37.5204104795827+-77.3948140470741",242149,8518
"38.179167905198+-79.0504675528626","37.5204104795827+-77.3948140470741",183748,6510
"37.097054708704+-76.411190263736","37.5204104795827+-77.3948140470741",110081,4217
"37.5882402694739+-77.4704670979117","37.5204104795827+-77.3948140470741",12132,791
"37.4707673164897+-77.4991549231707","37.5204104795827+-77.3948140470741",23568,1288
"37.5435741288087+-77.4439563358961","37.5204104795827+-77.3948140470741",6735,801
"36.9356827136564+-76.527414705759","37.5204104795827+-77.3948140470741",129085,5087
"38.9239229159592+-77.4241015990188","37.5204104795827+-77.3948140470741",178963,6995
"38.9746057268521+-77.2742300346578","37.5204104795827+-77.3948140470741",186846,6990
"38.876195344387+-77.2525149438788","37.5204104795827+-77.3948140470741",173979,6438
"38.8734683557286+-77.2727481151366","37.5204104795827+-77.3948140470741",176797,6442
"38.8101053198754+-77.1267481732148","37.5204104795827+-77.3948140470741",165301,6048
"38.8368201790504+-77.1072331588717","37.5204104795827+-77.3948140470741",168920,6191
"38.8366943830737+-77.1029159938196","37.5204104795827+-77.3948140470741",167457,5969
"37.5934623068852+-79.1091925135239","37.5204104795827+-77.3948140470741",201976,7477
"36.921207274393+-80.4967788673555","37.5204104795827+-77.3948140470741",376067,13462
"36.9656207974131+-80.3714598846396","37.5204104795827+-77.3948140470741",367943,12727
"37.0292073042183+-80.2437451831418","37.5204104795827+-77.3948140470741",356563,12954
"36.8716066018781+-76.4635975372203","37.5204104795827+-77.3948140470741",141704,5190
"36.850111703678+-76.5147851167839","37.5204104795827+-77.3948140470741",148906,5610
"37.9851561198707+-77.5687584857273","37.5204104795827+-77.3948140470741",64692,2709
"37.3788776099655+-77.664533086993","37.5204104795827+-77.3948140470741",41667,2316
"36.8061276695872+-76.1257008808934","37.5204104795827+-77.3948140470741",172542,6485
"36.7984226868718+-76.0784137910562","37.5204104795827+-77.3948140470741",175482,6673
"38.210811334912+-79.1372084724051","37.5204104795827+-77.3948140470741",192803,6855
"37.329807221595+-79.5250153152507","37.5204104795827+-77.3948140470741",224036,9290
"37.3459337427306+-79.5175056156398","37.5204104795827+-77.3948140470741",225339,9447
"37.3399994763463+-79.322960983184","37.5204104795827+-77.3948140470741",210635,8789
