"origin","dest","dist","time"
"38.7664594968609+-77.2042330952547","38.8957345929927+-77.1580797341692",25349,1452
"38.8963096684003+-77.2091855288683","38.8957345929927+-77.1580797341692",5942,530
"37.3812402840819+-79.1782663358621","38.8957345929927+-77.1580797341692",282408,11372
"37.0103771755864+-78.161455320272","38.8957345929927+-77.1580797341692",276467,10345
"38.3898627266855+-78.8340048697722","38.8957345929927+-77.1580797341692",202426,7048
"38.7623058513191+-77.4711786337797","38.8957345929927+-77.1580797341692",36798,2012
"38.2131024001445+-77.503119418061","38.8957345929927+-77.1580797341692",94545,3715
"37.3421125256456+-79.252114608858","38.8957345929927+-77.1580797341692",291265,11740
"36.8259368674954+-76.301001547392","38.8957345929927+-77.1580797341692",319497,10835
"38.8661627727137+-77.0800549926879","38.8957345929927+-77.1580797341692",9177,1084
"36.7808696507983+-76.3521616555463","38.8957345929927+-77.1580797341692",322739,11033
"36.8512761184077+-76.1158956201814","38.8957345929927+-77.1580797341692",338516,11743
"36.7828407635306+-76.1361471263655","38.8957345929927+-77.1580797341692",344990,12008
"39.0879177697281+-78.1961323340445","38.8957345929927+-77.1580797341692",124666,4419
"36.9219366716951+-81.5189818878425","38.8957345929927+-77.1580797341692",534313,18320
"37.0456414724453+-76.4192651174864","38.8957345929927+-77.1580797341692",282147,9570
"37.3200775302204+-79.269199815331","38.8957345929927+-77.1580797341692",293997,11628
"38.9848212305863+-77.3536876831525","38.8957345929927+-77.1580797341692",24281,1413
"37.5328519770551+-77.3979706591629","38.8957345929927+-77.1580797341692",180332,6419
"38.8482599620029+-77.3890406430323","38.8957345929927+-77.1580797341692",27455,1403
"36.8506985913162+-75.9796730097839","38.8957345929927+-77.1580797341692",349573,11923
"36.6935637329208+-76.1947516047451","38.8957345929927+-77.1580797341692",341383,11696
"38.9121381604259+-77.5280384736079","38.8957345929927+-77.1580797341692",39161,1985
"37.3505039083536+-82.0267450618411","38.8957345929927+-77.1580797341692",655447,23737
"38.3622633505911+-79.5685555378787","38.8957345929927+-77.1580797341692",292370,12002
"38.6684116956265+-77.3530500515172","38.8957345929927+-77.1580797341692",49078,2410
"39.1040060535883+-77.5609941008621","38.8957345929927+-77.1580797341692",51609,2142
"39.0385417991914+-77.4630311263987","38.8957345929927+-77.1580797341692",38999,1821
"38.8992964645545+-77.0809067830602","38.8957345929927+-77.1580797341692",9109,625
"37.5304498191424+-77.5692240191544","38.8957345929927+-77.1580797341692",181446,6472
"37.5124040578764+-77.6023893332524","38.8957345929927+-77.1580797341692",186223,6768
"37.0040457588552+-76.4257054308935","38.8957345929927+-77.1580797341692",288460,9954
"37.1030760458405+-76.466176236886","38.8957345929927+-77.1580797341692",273402,9234
"36.8719143929192+-76.21725414009","38.8957345929927+-77.1580797341692",329528,11477
"36.9249493543767+-76.2994344409283","38.8957345929927+-77.1580797341692",325354,11581
"36.8827097501563+-75.990206233675","38.8957345929927+-77.1580797341692",353908,12339
"37.040404377745+-76.3122519748757","38.8957345929927+-77.1580797341692",290480,9870
"38.7639049262968+-77.2668092740409","38.8957345929927+-77.1580797341692",26067,1573
"38.8803650830783+-77.2240493581203","38.8957345929927+-77.1580797341692",11736,808
"36.852372843601+-76.3817232933647","38.8957345929927+-77.1580797341692",309605,10606
"36.5700380345252+-78.3828956421819","38.8957345929927+-77.1580797341692",376281,13220
"36.6117558815659+-78.6526703470602","38.8957345929927+-77.1580797341692",358047,12470
"36.7145949139597+-78.563537214132","38.8957345929927+-77.1580797341692",332735,12532
"38.7517211966619+-77.0693281766368","38.8957345929927+-77.1580797341692",37404,1880
"38.7238702063629+-77.1038887337751","38.8957345929927+-77.1580797341692",36574,1937
"38.7206837723921+-77.2642560059842","38.8957345929927+-77.1580797341692",35816,1749
"38.8447513887317+-77.4588111582295","38.8957345929927+-77.1580797341692",29652,1461
"38.8321346120812+-77.4251395959797","38.8957345929927+-77.1580797341692",28022,1388
"36.7466226557861+-79.9669781579516","38.8957345929927+-77.1580797341692",448941,15627
"36.6034702080325+-79.7659960270459","38.8957345929927+-77.1580797341692",406120,16500
"37.7270998007325+-76.4125500051865","38.8957345929927+-77.1580797341692",223362,9268
"36.9358121608786+-76.717548053488","38.8957345929927+-77.1580797341692",290772,10422
"36.8197281880891+-82.9808970627432","38.8957345929927+-77.1580797341692",695244,24400
"38.0209052319416+-77.3460419682516","38.8957345929927+-77.1580797341692",133750,4988
"36.8702579208009+-78.6025145987667","38.8957345929927+-77.1580797341692",313811,11554
"38.0371872159911+-77.9026807159719","38.8957345929927+-77.1580797341692",149058,5998
"37.4486988225583+-78.8716963646924","38.8957345929927+-77.1580797341692",273239,11472
"38.9360079415871+-77.1945322630057","38.8957345929927+-77.1580797341692",6594,753
"38.9120953759263+-77.1987971521126","38.8957345929927+-77.1580797341692",6387,552
"38.2104745500663+-77.1038814224064","38.8957345929927+-77.1580797341692",122898,5208
"38.843645875811+-77.2289237556369","38.8957345929927+-77.1580797341692",12097,745
"38.8370366344498+-77.2033627980052","38.8957345929927+-77.1580797341692",13227,856
"38.8028881544733+-77.2321153214439","38.8957345929927+-77.1580797341692",18683,1050
"38.8114544206437+-77.3161532575446","38.8957345929927+-77.1580797341692",21411,1403
"38.8449802057825+-77.4470271487151","38.8957345929927+-77.1580797341692",28402,1334
"38.7223149424483+-77.3039405955138","38.8957345929927+-77.1580797341692",38762,1875
"38.8739463296243+-77.1743402040145","38.8957345929927+-77.1580797341692",3432,527
"38.8817458543809+-77.2814567358741","38.8957345929927+-77.1580797341692",13597,825
"38.7968424569117+-77.2074112381988","38.8957345929927+-77.1580797341692",18001,999
"38.9588213826092+-77.3945871809175","38.8957345929927+-77.1580797341692",26042,1349
"38.9275548667292+-77.1383256809813","38.8957345929927+-77.1580797341692",5362,600
"38.9219886681392+-77.1708235263257","38.8957345929927+-77.1580797341692",4095,500
"38.8953674391357+-77.3638734440154","38.8957345929927+-77.1580797341692",24302,1320
"38.9366139965466+-77.3545228894837","38.8957345929927+-77.1580797341692",23503,1176
"38.9202036586906+-77.2724113935588","38.8957345929927+-77.1580797341692",15641,927
"38.7774964400273+-77.0992990969263","38.8957345929927+-77.1580797341692",32024,1525
"38.8670248359261+-77.2270168974607","38.8957345929927+-77.1580797341692",10311,755
"38.8525351677479+-77.147173529633","38.8957345929927+-77.1580797341692",5675,759
"38.8517893689976+-77.1846758464498","38.8957345929927+-77.1580797341692",6285,848
"38.8509196223958+-77.1623525178696","38.8957345929927+-77.1580797341692",7008,845
"38.7895577818686+-77.0749586523018","38.8957345929927+-77.1580797341692",30328,1430
"38.0030809493284+-78.7323076229031","38.8957345929927+-77.1580797341692",199652,8382
"38.1717352630989+-78.4235310979332","38.8957345929927+-77.1580797341692",156864,6391
"38.0850789352236+-78.3294183131403","38.8957345929927+-77.1580797341692",163031,7145
"38.0284252174396+-78.5108553502192","38.8957345929927+-77.1580797341692",177266,7523
"37.560405493445+-77.393595729871","38.8957345929927+-77.1580797341692",177239,6266
"37.593583856792+-77.4851937796443","38.8957345929927+-77.1580797341692",170070,5958
"37.5787800440517+-77.5667622216828","38.8957345929927+-77.1580797341692",179663,6559
"37.4282832477915+-77.3690411694527","38.8957345929927+-77.1580797341692",197578,6858
"37.5956365815145+-77.5022741281012","38.8957345929927+-77.1580797341692",170289,5949
"37.5269937763191+-77.3801517062821","38.8957345929927+-77.1580797341692",180617,6433
"36.8097299665626+-82.2863500677483","38.8957345929927+-77.1580797341692",608006,20782
"36.8555465049713+-81.5360421051981","38.8957345929927+-77.1580797341692",523014,17589
"37.551464710745+-76.3713672489747","38.8957345929927+-77.1580797341692",233985,9489
"38.3194782386504+-77.4276734508677","38.8957345929927+-77.1580797341692",83228,3426
"38.287749503245+-77.4212830013168","38.8957345929927+-77.1580797341692",88670,3690
"38.4438592991311+-77.5824850154222","38.8957345929927+-77.1580797341692",82996,3815
"36.6479066465331+-82.8296491002811","38.8957345929927+-77.1580797341692",656214,22533
"37.2178118342953+-77.1379675623716","38.8957345929927+-77.1580797341692",227577,8185
"37.2763099847804+-77.2382970970527","38.8957345929927+-77.1580797341692",214737,7561
"36.5825790376669+-80.1746734860143","38.8957345929927+-77.1580797341692",486735,17041
"37.891634092688+-76.4361046393094","38.8957345929927+-77.1580797341692",207733,8704
"37.7012634142057+-76.6712552515111","38.8957345929927+-77.1580797341692",198041,7962
"37.6077265680137+-76.5832599240622","38.8957345929927+-77.1580797341692",210677,8465
"36.6415221361533+-79.3451907659986","38.8957345929927+-77.1580797341692",376346,14879
"36.5820271869954+-79.6271283058694","38.8957345929927+-77.1580797341692",399747,16185
"36.5848851688025+-79.4952652265702","38.8957345929927+-77.1580797341692",388205,15645
"38.8706438133133+-77.0890424508477","38.8957345929927+-77.1580797341692",8248,922
"38.1451568240947+-79.0952430412709","38.8957345929927+-77.1580797341692",247283,8408
"36.7684511981616+-80.925560867632","38.8957345929927+-77.1580797341692",500927,17143
"38.7398391165204+-77.4657248241844","38.8957345929927+-77.1580797341692",39449,2328
"38.7808807513069+-77.4649152379327","38.8957345929927+-77.1580797341692",34749,1796
"36.6903204185757+-79.8867699082895","38.8957345929927+-77.1580797341692",453215,16046
"36.6613862639866+-79.8473129201004","38.8957345929927+-77.1580797341692",402712,16149
"36.6046319785802+-80.9773754270329","38.8957345929927+-77.1580797341692",512725,17728
"37.2012387508148+-77.3562430351906","38.8957345929927+-77.1580797341692",219141,7822
"37.5105439516261+-77.4653536978621","38.8957345929927+-77.1580797341692",179492,6478
"37.5061324337366+-77.4357620134241","38.8957345929927+-77.1580797341692",179141,6338
"37.4915316722305+-77.508764276077","38.8957345929927+-77.1580797341692",181220,6442
"37.578662627621+-77.4520853750728","38.8957345929927+-77.1580797341692",169240,5971
"37.5634635444234+-77.480558321426","38.8957345929927+-77.1580797341692",169728,5883
"37.5617463244308+-77.4740221688153","38.8957345929927+-77.1580797341692",170153,6057
"39.1787946093204+-78.1840318146597","38.8957345929927+-77.1580797341692",110580,4807
"37.6743040746951+-77.7954096567191","38.8957345929927+-77.1580797341692",195312,6767
"38.8466314154941+-77.1031286425962","38.8957345929927+-77.1580797341692",9118,1202
"36.632084540584+-82.1325773415481","38.8957345929927+-77.1580797341692",583201,19386
"36.5838609758761+-79.4012484473408","38.8957345929927+-77.1580797341692",399173,15162
"36.5892376926791+-79.4358830391094","38.8957345929927+-77.1580797341692",402605,15377
"38.8604607349515+-77.295232290553","38.8957345929927+-77.1580797341692",15176,1065
"38.2854088940074+-77.4763021783367","38.8957345929927+-77.1580797341692",87852,3476
"38.0459196687361+-78.4602872603962","38.8957345929927+-77.1580797341692",171541,7234
"38.4225029040666+-78.8528393651405","38.8957345929927+-77.1580797341692",198481,6876
"37.0454396643094+-77.0844223698773","38.8957345929927+-77.1580797341692",251471,8910
"36.908829409929+-81.2076801639649","38.8957345929927+-77.1580797341692",490468,16725
"38.8326726645335+-77.0634354530475","38.8957345929927+-77.1580797341692",19487,1302
"38.8219279184791+-77.0616764117922","38.8957345929927+-77.1580797341692",19629,1530
"38.8170818357142+-77.0974934423032","38.8957345929927+-77.1580797341692",11755,1498
"36.6889406996925+-81.7284275978374","38.8957345929927+-77.1580797341692",558893,18797
"37.3258534422583+-76.562987801301","38.8957345929927+-77.1580797341692",269430,9853
"37.3655584692848+-77.4761933934063","38.8957345929927+-77.1580797341692",201219,7090
"37.2607069636561+-77.4660828847357","38.8957345929927+-77.1580797341692",215074,7942
"37.520689576414+-77.6422455727279","38.8957345929927+-77.1580797341692",198316,6942
"37.4547935781219+-77.5335533034294","38.8957345929927+-77.1580797341692",185639,6681
"37.4039145824224+-77.4951375977373","38.8957345929927+-77.1580797341692",191908,6895
"37.301205005287+-77.4149313137135","38.8957345929927+-77.1580797341692",203071,7138
"36.6090185732137+-77.5566272552284","38.8957345929927+-77.1580797341692",288037,9744
"36.8027200657116+-78.873004972692","38.8957345929927+-77.1580797341692",342868,12653
"37.2097513861398+-82.2879183506656","38.8957345929927+-77.1580797341692",654979,23437
"37.7235204760459+-77.5311722138376","38.8957345929927+-77.1580797341692",159412,5880
"37.5848881972744+-77.3434915992671","38.8957345929927+-77.1580797341692",173705,6030
"37.7441561690184+-77.4732029427326","38.8957345929927+-77.1580797341692",149543,5408
"37.7318167608327+-77.670605418252","38.8957345929927+-77.1580797341692",169652,6559
"37.5880939078591+-77.3233026337077","38.8957345929927+-77.1580797341692",172655,5904
"38.9852363519155+-77.6824842274345","38.8957345929927+-77.1580797341692",55540,2945
"38.0863362020811+-78.892671515067","38.8957345929927+-77.1580797341692",248441,8502
"37.1018678303457+-79.8860272283222","38.8957345929927+-77.1580797341692",404186,13915
"37.3493788607874+-79.8189857418459","38.8957345929927+-77.1580797341692",366161,12340
"38.7007391437907+-77.377317087936","38.8957345929927+-77.1580797341692",47595,2463
"38.6672467545801+-77.3700329698023","38.8957345929927+-77.1580797341692",50464,2543
"38.6914829211258+-77.2946902096962","38.8957345929927+-77.1580797341692",41681,1984
"38.8531452264117+-77.5774706256571","38.8957345929927+-77.1580797341692",44584,2123
"37.0571057078121+-76.3721187675709","38.8957345929927+-77.1580797341692",282508,9575
"37.0292627182039+-76.3192945998954","38.8957345929927+-77.1580797341692",289015,9729
"37.0189130384179+-76.3218734003424","38.8957345929927+-77.1580797341692",289013,9687
"37.005570443659+-82.57797491939","38.8957345929927+-77.1580797341692",649643,22833
"37.0277555553153+-76.3075820787805","38.8957345929927+-77.1580797341692",291022,9919
"37.2171864696694+-76.5232799292886","38.8957345929927+-77.1580797341692",265118,9286
"37.1926891009868+-76.425214995148","38.8957345929927+-77.1580797341692",274486,9535
"36.8508511422243+-76.3277989857112","38.8957345929927+-77.1580797341692",314904,10618
"36.837845572286+-76.3011904675026","38.8957345929927+-77.1580797341692",318151,10918
"36.8277289046274+-76.3432780093611","38.8957345929927+-77.1580797341692",318536,10863
"36.8270234275483+-76.3774584035851","38.8957345929927+-77.1580797341692",314941,10817
"36.7939908500736+-76.3552389185358","38.8957345929927+-77.1580797341692",320933,10877
"36.9841364203535+-76.4013386467966","38.8957345929927+-77.1580797341692",289352,9777
"36.9741088062648+-76.4225116674232","38.8957345929927+-77.1580797341692",293202,9842
"37.0576570100821+-76.5053733580148","38.8957345929927+-77.1580797341692",280113,9687
"37.0079068318701+-76.4378642295759","38.8957345929927+-77.1580797341692",284388,9899
"36.886142133729+-76.2276385436294","38.8957345929927+-77.1580797341692",335476,11353
"36.8739272087358+-76.2427895195581","38.8957345929927+-77.1580797341692",328107,11462
"36.9404374152131+-76.253499883899","38.8957345929927+-77.1580797341692",333167,11837
"36.9080723374356+-76.2673075282771","38.8957345929927+-77.1580797341692",324598,11479
"36.9374570710757+-76.2390133148771","38.8957345929927+-77.1580797341692",333902,11916
"36.8820394537953+-76.2569952546777","38.8957345929927+-77.1580797341692",326851,11381
"36.859859818287+-76.2917702769681","38.8957345929927+-77.1580797341692",318601,10996
"36.8559299859979+-76.2539242695579","38.8957345929927+-77.1580797341692",325563,11156
"36.8319050927841+-76.259568258775","38.8957345929927+-77.1580797341692",323688,11143
"36.8427122677647+-76.0711443442075","38.8957345929927+-77.1580797341692",342441,11668
"36.8720457579044+-75.9946514323129","38.8957345929927+-77.1580797341692",352221,12184
"36.8200876880811+-76.1048254488887","38.8957345929927+-77.1580797341692",339743,11755
"36.8185000179258+-76.1326767890954","38.8957345929927+-77.1580797341692",337882,11624
"36.7679817819612+-76.1662395227833","38.8957345929927+-77.1580797341692",340852,11903
"36.8085794617326+-76.1068112596375","38.8957345929927+-77.1580797341692",340527,11812
"36.786429487689+-76.1174605514111","38.8957345929927+-77.1580797341692",341440,12026
"36.8008908626523+-76.1471110861248","38.8957345929927+-77.1580797341692",338655,11807
"37.2616603435983+-79.9476566987685","38.8957345929927+-77.1580797341692",374855,12653
"37.2637540232777+-79.9214011796506","38.8957345929927+-77.1580797341692",375177,12619
"36.8121776155403+-76.2525249382489","38.8957345929927+-77.1580797341692",326477,11255
"36.6108981674995+-76.3031361337873","38.8957345929927+-77.1580797341692",342755,12184
"36.7613355379758+-76.3535730352575","38.8957345929927+-77.1580797341692",320704,10725
"36.6591501488681+-76.2166599583139","38.8957345929927+-77.1580797341692",344551,11804
"37.6446705197745+-77.8794934023749","38.8957345929927+-77.1580797341692",207318,7353
"39.3435533739388+-78.2708375441432","38.8957345929927+-77.1580797341692",133169,5855
"37.1096093256009+-80.6814424030488","38.8957345929927+-77.1580797341692",440033,14791
"37.1307623456764+-80.7637495657464","38.8957345929927+-77.1580797341692",447923,15309
"36.9787833961008+-80.6500685399637","38.8957345929927+-77.1580797341692",457377,15953
"37.4467325226301+-79.1059481758834","38.8957345929927+-77.1580797341692",268638,10909
"37.4744470448902+-79.107463945766","38.8957345929927+-77.1580797341692",267136,10739
"37.2318638477581+-76.7210154186626","38.8957345929927+-77.1580797341692",250900,8736
"37.3253202030741+-80.0121832525096","38.8957345929927+-77.1580797341692",369615,12365
"37.1822641703242+-79.958381736096","38.8957345929927+-77.1580797341692",388060,13202
"37.1295248333847+-78.9264934268741","38.8957345929927+-77.1580797341692",312203,12738
"37.3507173806531+-80.1278365738613","38.8957345929927+-77.1580797341692",379779,12909
"38.4725620511809+-78.7796967825009","38.8957345929927+-77.1580797341692",192285,6783
"38.3919503998624+-78.7615740663149","38.8957345929927+-77.1580797341692",187217,8382
"37.3506887382257+-79.2869838251788","38.8957345929927+-77.1580797341692",299448,11929
"37.3029963591198+-79.714787073448","38.8957345929927+-77.1580797341692",361980,13172
"37.2088069902081+-81.4080437038842","38.8957345929927+-77.1580797341692",549725,18805
"37.1559103573548+-81.7312899977372","38.8957345929927+-77.1580797341692",594104,20747
"38.2046792747131+-78.8404669257334","38.8957345929927+-77.1580797341692",233204,8125
"38.9237776908767+-78.2056796829901","38.8957345929927+-77.1580797341692",105479,3975
"38.9250158795307+-78.1900998392774","38.8957345929927+-77.1580797341692",99133,3822
"38.7128868113077+-78.486989988383","38.8957345929927+-77.1580797341692",141922,5766
"38.5493262914212+-77.6275492334413","38.8957345929927+-77.1580797341692",76453,3576
"38.8724478769299+-78.1691743532596","38.8957345929927+-77.1580797341692",104252,4074
"37.3994661775966+-79.1833240804878","38.8957345929927+-77.1580797341692",282328,11417
"38.518119701399+-78.1119765743458","38.8957345929927+-77.1580797341692",107700,4859
"38.4925568302997+-77.9668623169925","38.8957345929927+-77.1580797341692",97964,4134
"36.7386236222364+-76.5826464612477","38.8957345929927+-77.1580797341692",307045,11385
"37.425516366658+-79.8294407744561","38.8957345929927+-77.1580797341692",347126,11604
"37.0473606266813+-77.9306259681932","38.8957345929927+-77.1580797341692",265538,10070
"36.7659147541774+-76.2392552258765","38.8957345929927+-77.1580797341692",333433,11402
"37.1187143369828+-76.4862214468545","38.8957345929927+-77.1580797341692",270292,9102
"37.1654817503263+-76.564306177715","38.8957345929927+-77.1580797341692",262442,8868
