"origin","dest","dist","time"
"38.9017640474909+-77.3348103387744","38.8165868607333+-77.080817218093",39858,2085
"38.9231346561268+-77.4075584177477","38.8165868607333+-77.080817218093",46628,2281
"38.9593174549369+-77.3127820618062","38.8165868607333+-77.080817218093",44728,2153
"38.723279202328+-77.0687279886028","38.8165868607333+-77.080817218093",14530,1189
"38.748854650231+-77.0497180207913","38.8165868607333+-77.080817218093",11379,828
"38.7186748131811+-77.0877451085963","38.8165868607333+-77.080817218093",12718,1291
"38.7061811467534+-77.1155986431885","38.8165868607333+-77.080817218093",17546,1434
"38.8881961616143+-77.2344439066377","38.8165868607333+-77.080817218093",26366,1510
"38.7814980688346+-77.3948842643749","38.8165868607333+-77.080817218093",35610,2338
"38.7913212568819+-77.2989184886657","38.8165868607333+-77.080817218093",25662,1532
"38.7827361598296+-77.2240496678194","38.8165868607333+-77.080817218093",18401,1131
"38.8150136448705+-77.4711081054712","38.8165868607333+-77.080817218093",49080,2368
"38.9342390130341+-77.3335276689647","38.8165868607333+-77.080817218093",42567,1959
"37.0052602694798+-79.2248924800302","38.8165868607333+-77.080817218093",333139,13667
"36.7511279576325+-79.4005686255019","38.8165868607333+-77.080817218093",368941,14732
"36.8147889616566+-79.5768313452785","38.8165868607333+-77.080817218093",374477,15051
"36.707210394998+-79.3376441789558","38.8165868607333+-77.080817218093",380105,14602
"36.6568058051277+-80.1328228045076","38.8165868607333+-77.080817218093",486175,17716
"37.8543349384278+-77.3651346668827","38.8165868607333+-77.080817218093",138395,4947
"37.037375298097+-78.7661050971366","38.8165868607333+-77.080817218093",311704,11918
"37.812789383414+-78.3738905786863","38.8165868607333+-77.080817218093",200692,8490
"37.5911290065465+-77.2968003854876","38.8165868607333+-77.080817218093",167244,5851
"37.4263578922875+-77.5963035428916","38.8165868607333+-77.080817218093",182676,6623
"37.4233943040102+-77.43318551734","38.8165868607333+-77.080817218093",181158,6405
"37.3221804475584+-77.4141527350431","38.8165868607333+-77.080817218093",196180,6956
"37.1191412112259+-82.4292405899199","38.8165868607333+-77.080817218093",679984,24321
"37.1919182328691+-77.6246926731898","38.8165868607333+-77.080817218093",227048,8046
"36.8098810327023+-79.0742404486351","38.8165868607333+-77.080817218093",356420,13559
"36.7813678201634+-77.5642690632716","38.8165868607333+-77.080817218093",272268,9429
"37.6246106234014+-75.8155359073654","38.8165868607333+-77.080817218093",321473,12817
"37.3846405925602+-77.4997903032417","38.8165868607333+-77.080817218093",187438,6856
"37.4200606410769+-77.4625335385555","38.8165868607333+-77.080817218093",183244,6494
"37.4772011313656+-77.543838500499","38.8165868607333+-77.080817218093",175138,6354
"37.4880074627253+-77.6140956079375","38.8165868607333+-77.080817218093",181960,6528
"37.5094663422912+-77.6341608881296","38.8165868607333+-77.080817218093",180594,6677
"37.3466154875509+-77.436646651379","38.8165868607333+-77.080817218093",191227,6948
"37.4375683860654+-77.5097084192907","38.8165868607333+-77.080817218093",179769,6439
"37.4862529078774+-77.5590572631532","38.8165868607333+-77.080817218093",174225,6235
"37.3350657215125+-77.7390328577996","38.8165868607333+-77.080817218093",202489,7645
"37.475012602292+-77.5833436614196","38.8165868607333+-77.080817218093",179534,6377
