"origin","dest","dist","time"
"37.1537910601732+-78.0614986808057","37.8056497278942+-78.9910118393966",164989,6469
"36.6722740711053+-79.9247292200158","37.8056497278942+-78.9910118393966",191570,8033
"38.8081072088208+-77.348620615309","37.8056497278942+-78.9910118393966",231538,9811
"38.9478499486938+-77.3844532539275","37.8056497278942+-78.9910118393966",236792,10122
"39.0640156484717+-77.9378500483885","37.8056497278942+-78.9910118393966",220632,8903
"38.4948591210558+-77.5413335429096","37.8056497278942+-78.9910118393966",198884,8812
"36.7111474197947+-79.9215234134094","37.8056497278942+-78.9910118393966",188252,7881
"38.2569445271597+-77.5431714686729","37.8056497278942+-78.9910118393966",171991,7715
"36.6319785842344+-83.4499509437983","37.8056497278942+-78.9910118393966",492707,18920
"38.0272804953636+-78.0106587754028","37.8056497278942+-78.9910118393966",116296,4956
"38.8525837027675+-77.2571204806673","37.8056497278942+-78.9910118393966",238855,10179
"38.8743354540615+-77.3975485907489","37.8056497278942+-78.9910118393966",227660,9632
"38.8378445445898+-77.3710578035804","37.8056497278942+-78.9910118393966",227580,9674
"38.7862311068019+-77.2031573416314","37.8056497278942+-78.9910118393966",233589,10380
"38.8294049506681+-77.2756964622899","37.8056497278942+-78.9910118393966",239651,10425
"39.0166559539397+-77.3282853184781","37.8056497278942+-78.9910118393966",249335,10882
"38.9281320353518+-77.3430443974555","37.8056497278942+-78.9910118393966",235703,10212
"38.7564987569352+-77.1106745031437","37.8056497278942+-78.9910118393966",235197,10791
"38.8412262256698+-77.1942235147123","37.8056497278942+-78.9910118393966",245729,10416
"38.8065642021937+-77.1713147520339","37.8056497278942+-78.9910118393966",234799,10208
"38.73209448369+-77.214000735869","37.8056497278942+-78.9910118393966",226707,10109
"38.0799042446524+-78.5031697756647","37.8056497278942+-78.9910118393966",77363,3397
"38.0516017744919+-78.4214194531448","37.8056497278942+-78.9910118393966",85086,3840
"38.053327486209+-78.7063174357742","37.8056497278942+-78.9910118393966",45824,2521
"37.0899157247563+-77.3167387651133","37.8056497278942+-78.9910118393966",235988,8906
"36.9137944901911+-79.3768276773479","37.8056497278942+-78.9910118393966",126455,4947
"39.0252327452621+-77.5548680286195","37.8056497278942+-78.9910118393966",230030,10347
"38.9476149263145+-77.5353411159799","37.8056497278942+-78.9910118393966",223976,9927
"38.9925352502935+-77.4046949358377","37.8056497278942+-78.9910118393966",239306,10152
"38.7558786627789+-77.5368289626584","37.8056497278942+-78.9910118393966",201102,8900
"37.6587516793147+-77.3595483045148","37.8056497278942+-78.9910118393966",181318,6974
"38.8935801353145+-77.108677694139","37.8056497278942+-78.9910118393966",252275,10455
"37.1949442082228+-80.4229788929519","37.8056497278942+-78.9910118393966",188344,7860
"36.8445220323069+-76.4961017899148","37.8056497278942+-78.9910118393966",327670,11759
"37.2623512424319+-79.0112057948435","37.8056497278942+-78.9910118393966",81343,3554
"38.8137186193285+-77.4386957975342","37.8056497278942+-78.9910118393966",226549,9753
"38.8447286013631+-77.4172986339251","37.8056497278942+-78.9910118393966",221748,9548
"37.0170294307471+-79.6857985344042","37.8056497278942+-78.9910118393966",150752,6081
"38.4492615518391+-77.3443445469395","37.8056497278942+-78.9910118393966",204223,9500
"37.4583840406598+-79.288930321341","37.8056497278942+-78.9910118393966",74780,3721
"38.7910813142282+-77.0693517235508","37.8056497278942+-78.9910118393966",243214,10615
