"origin","dest","dist","time"
"37.3301963798709+-80.517704772511","38.8050750383152+-77.1981151345764",445297,15078
"36.855341728241+-79.2201522960122","38.8050750383152+-77.1981151345764",367617,13845
"37.1605916269553+-77.4679151384804","38.8050750383152+-77.1981151345764",210115,7436
"37.2887368576071+-79.7848969934828","38.8050750383152+-77.1981151345764",382703,13378
"36.8475062174877+-76.0547536904929","38.8050750383152+-77.1981151345764",331844,11363
"36.8859209193613+-76.3994713695922","38.8050750383152+-77.1981151345764",296055,9970
"37.7210119778356+-77.4351586909065","38.8050750383152+-77.1981151345764",138844,4786
"37.6240052635014+-77.1792571857994","38.8050750383152+-77.1981151345764",171940,6231
"38.211091591626+-78.3833746070837","38.8050750383152+-77.1981151345764",154634,6166
"38.7353656703643+-77.5026586472694","38.8050750383152+-77.1981151345764",53069,2441
"38.3283727304945+-77.3659592522924","38.8050750383152+-77.1981151345764",79453,3345
"36.7388588786902+-80.5648555506752","38.8050750383152+-77.1981151345764",503868,17476
"36.7842454719596+-76.317364264204","38.8050750383152+-77.1981151345764",313705,11190
"37.4688448440747+-77.5152350380275","38.8050750383152+-77.1981151345764",171098,5985
"37.0614032032415+-79.6941605179986","38.8050750383152+-77.1981151345764",362864,14761
"36.7136969133467+-81.9530488970603","38.8050750383152+-77.1981151345764",570751,19148
"38.8182223128164+-77.3000366305726","38.8050750383152+-77.1981151345764",10540,865
"38.8516427547521+-77.3662164312803","38.8050750383152+-77.1981151345764",26415,1382
"37.3935699042788+-75.9207499056539","38.8050750383152+-77.1981151345764",391734,13929
"38.136701589855+-78.9722466921931","38.8050750383152+-77.1981151345764",242675,8365
"38.9535184916461+-77.1501862614454","38.8050750383152+-77.1981151345764",25032,1344
"37.5388376789996+-77.3314049053007","38.8050750383152+-77.1981151345764",170155,5963
"36.8158679659331+-76.4152715623421","38.8050750383152+-77.1981151345764",299271,10102
"38.230521259938+-77.541465534011","38.8050750383152+-77.1981151345764",86881,3560
