"origin","dest","dist","time"
"38.810139315655+-77.4265009584172","38.8272398005157+-77.0986758384405",35399,2230
"36.7692318261085+-76.6847950185456","38.8272398005157+-77.0986758384405",289021,10515
"37.0580309118337+-76.4396051044534","38.8272398005157+-77.0986758384405",270717,9138
"36.7514401256447+-76.1244593816537","38.8272398005157+-77.0986758384405",336536,11739
"37.6558487111582+-77.8621063264762","38.8272398005157+-77.0986758384405",195946,6908
"36.8982297199071+-77.8646593065563","38.8272398005157+-77.0986758384405",261472,9081
"38.8526667481857+-77.0413506891922","38.8272398005157+-77.0986758384405",12884,813
"37.7820983287031+-78.053705212224","38.8272398005157+-77.0986758384405",174676,7379
"38.2492363328908+-77.4230912115159","38.8272398005157+-77.0986758384405",83813,3489
"38.7922868811903+-77.0443605906466","38.8165868607333+-77.080817218093",12426,742
"38.0361880075401+-78.4955236036005","38.8165868607333+-77.080817218093",190718,8216
"37.2736562428864+-77.4197793038304","38.8165868607333+-77.080817218093",198700,7113
"36.6044736017595+-79.3911700118246","38.8165868607333+-77.080817218093",391323,14912
"38.8904699997509+-77.1774812521177","38.8165868607333+-77.080817218093",13370,1741
"37.5525164700843+-77.4351624878091","38.8165868607333+-77.080817218093",165611,5820
"37.5798044221228+-77.4382645761054","38.8165868607333+-77.080817218093",159330,5773
"37.5486006004463+-77.4666861347823","38.8165868607333+-77.080817218093",165526,5933
"38.8957345929927+-77.1580797341692","38.8165868607333+-77.080817218093",21733,1499
"38.8635435720661+-77.124751797695","38.8165868607333+-77.080817218093",8744,1158
"38.8853103056381+-77.1525746073013","38.8165868607333+-77.080817218093",20843,1323
"38.8729130616645+-77.1382811873135","38.8165868607333+-77.080817218093",10511,1357
"37.4355350684719+-77.6528738314902","38.8165868607333+-77.080817218093",185986,6621
"37.4385119304349+-77.4467530810389","38.8165868607333+-77.080817218093",179914,6337
"37.359536724595+-77.453659426656","38.8165868607333+-77.080817218093",191579,6991
"37.0576829391904+-82.2966396120851","38.8165868607333+-77.080817218093",664872,23843
"37.664684764681+-77.4251257472574","38.8165868607333+-77.080817218093",151200,5508
"39.0128793130427+-77.3839772339255","38.8165868607333+-77.080817218093",50466,2513
"39.0009984298418+-77.4144339482797","38.8165868607333+-77.080817218093",57143,2565
"38.7875532395369+-77.4939664414447","38.8165868607333+-77.080817218093",56202,2495
"38.6624203372319+-77.2666061259422","38.8165868607333+-77.080817218093",30329,1546
"36.8195523277337+-76.114902339901","38.8165868607333+-77.080817218093",330652,11455
"36.8487287209568+-76.1462451510583","38.8165868607333+-77.080817218093",327166,11267
"36.8689186115531+-76.1214179779","38.8165868607333+-77.080817218093",331967,11557
"36.8418510505996+-76.0211513706864","38.8165868607333+-77.080817218093",337885,11542
"36.8081198763282+-76.1805754451487","38.8165868607333+-77.080817218093",332655,11386
"36.7793163502608+-76.1523418142616","38.8165868607333+-77.080817218093",335176,11616
"36.7889343002477+-76.1724537287983","38.8165868607333+-77.080817218093",333532,11462
"36.7866666978068+-76.2646708198858","38.8165868607333+-77.080817218093",325065,11073
"36.6962856184149+-76.2570128217772","38.8165868607333+-77.080817218093",333288,11501
"37.2670502304387+-79.9849011776731","38.8165868607333+-77.080817218093",394863,13550
"37.2810694650901+-76.6917119308578","38.8165868607333+-77.080817218093",236297,8034
