"origin","dest","dist","time"
"37.6124949307602+-77.583348389919","38.9126945103994+-77.2586326337918",182866,6605
"36.87974003386+-76.1668598718293","38.9126945103994+-77.2586326337918",338416,11986
"36.765390911726+-75.9895798952051","38.9126945103994+-77.2586326337918",358893,12818
"36.9314850466612+-82.6261338666574","38.9126945103994+-77.2586326337918",642127,22607
"38.6240579046972+-77.3573157903319","38.9126945103994+-77.2586326337918",53797,2661
"39.0355678558907+-78.2717709424507","38.9126945103994+-77.2586326337918",108963,4076
"37.0845071167551+-80.6426697926833","38.9126945103994+-77.2586326337918",424902,14359
"37.0463634282874+-76.2922122078516","38.9126945103994+-77.2586326337918",295678,10283
"38.8954782475706+-77.5567794296042","38.9126945103994+-77.2586326337918",35429,2312
"37.3054452288611+-79.9136435098671","38.9126945103994+-77.2586326337918",358445,12614
"36.6452032542392+-79.4089642415085","38.9126945103994+-77.2586326337918",371442,15122
"37.3460796274567+-78.139312778527","38.9126945103994+-77.2586326337918",258160,9879
"38.375388194876+-78.594822323962","38.9126945103994+-77.2586326337918",163742,7236
"38.439096780164+-77.4264655545053","38.9126945103994+-77.2586326337918",73368,3153
"39.0785155514158+-77.5496436378228","38.9126945103994+-77.2586326337918",39829,2138
"39.0241191429734+-77.5193367026325","38.9126945103994+-77.2586326337918",31743,1671
"39.0816566691806+-77.4727352721513","38.9126945103994+-77.2586326337918",30918,2096
"37.3805192295995+-78.8359385121382","38.9126945103994+-77.2586326337918",275203,11908
"37.0437202467847+-78.0006959500794","38.9126945103994+-77.2586326337918",264235,10258
"36.6587099495851+-79.1055256310224","38.9126945103994+-77.2586326337918",376334,14319
"37.1913110776415+-76.5652077552164","38.9126945103994+-77.2586326337918",265721,9036
"37.0005462560291+-76.4442237928593","38.9126945103994+-77.2586326337918",288176,10379
"36.8746984402302+-76.281079449866","38.9126945103994+-77.2586326337918",323195,11388
"38.8117678402695+-77.1360306812481","38.9126945103994+-77.2586326337918",27676,1514
"37.0172067830747+-80.7892138063718","38.9126945103994+-77.2586326337918",446913,15127
"36.9047299856429+-76.1007113554713","38.9126945103994+-77.2586326337918",345196,12299
"36.8283503240402+-81.1959800325104","38.9126945103994+-77.2586326337918",491438,17363
"37.1662208089813+-76.8454480973388","38.9126945103994+-77.2586326337918",261869,9742
"37.1651257420348+-80.4280130252147","38.9126945103994+-77.2586326337918",406724,13977
"36.8046338090157+-76.3259623060158","38.9126945103994+-77.2586326337918",327314,11330
"36.5889454016551+-79.3663091821865","38.9126945103994+-77.2586326337918",377288,15039
"36.7109052000455+-76.2884344309853","38.9126945103994+-77.2586326337918",333711,11737
"36.9399707512291+-82.0579987436755","38.9126945103994+-77.2586326337918",602237,21103
"37.3263036140187+-79.2320635542584","38.9126945103994+-77.2586326337918",282615,11632
"38.9371985386036+-77.8782061671149","38.9126945103994+-77.2586326337918",70544,3209
"38.9589227751276+-77.3622167195753","38.9126945103994+-77.2586326337918",15368,1174
"38.8670934556398+-77.3080164467519","38.9126945103994+-77.2586326337918",7350,825
"38.2833634817036+-77.5777024714167","38.9126945103994+-77.2586326337918",93891,4014
"37.6301676761904+-77.5902572259719","38.9126945103994+-77.2586326337918",178903,6660
"36.7509224846142+-76.8425488531178","38.9126945103994+-77.2586326337918",298801,11184
"37.2118717909578+-77.4562196762334","38.9126945103994+-77.2586326337918",223220,7910
"37.0406522458955+-79.949521566073","38.9126945103994+-77.2586326337918",401632,14081
"37.1814835007184+-79.8373904916982","38.9126945103994+-77.2586326337918",379969,13846
"38.8496357278142+-77.1084686595182","38.9126945103994+-77.2586326337918",32275,1769
"36.7064707130032+-83.1815648447914","38.9126945103994+-77.2586326337918",694859,24759
"37.8272921950517+-78.2003204684162","38.9126945103994+-77.2586326337918",192340,8384
"38.9767540688838+-78.0461319919231","38.9126945103994+-77.2586326337918",97786,4202
"38.079701059899+-78.6856720094309","38.9126945103994+-77.2586326337918",183513,8279
"38.0594342078227+-78.6805052389456","38.9126945103994+-77.2586326337918",184578,8378
"38.5794655771695+-77.2809732093011","38.9126945103994+-77.2586326337918",55181,2611
"38.7405816192102+-77.2670441248753","38.9126945103994+-77.2586326337918",34989,2124
"38.7224703425372+-77.1937626572921","38.9126945103994+-77.2586326337918",30280,1618
"38.8143790903631+-77.2531951355912","38.9126945103994+-77.2586326337918",21669,1299
"38.9450856517307+-77.1827596341512","38.9126945103994+-77.2586326337918",8717,874
"38.8987985637052+-77.2928919207821","38.9126945103994+-77.2586326337918",4287,549
"37.1614192869771+-80.377637804089","38.9126945103994+-77.2586326337918",400903,14132
"37.1357223614626+-80.4028618435124","38.9126945103994+-77.2586326337918",403262,13863
"36.834495025741+-79.4094674077438","38.9126945103994+-77.2586326337918",346510,14082
