"origin","dest","dist","time"
"37.0456414724453+-76.4192651174864","38.7698054876636+-77.1227656598998",269259,9242
"37.3200775302204+-79.269199815331","38.7698054876636+-77.1227656598998",295735,12029
"38.9848212305863+-77.3536876831525","38.7698054876636+-77.1227656598998",41444,2206
"37.5328519770551+-77.3979706591629","38.7698054876636+-77.1227656598998",166916,6093
"38.8482599620029+-77.3890406430323","38.7698054876636+-77.1227656598998",34647,2045
"36.8506985913162+-75.9796730097839","38.7698054876636+-77.1227656598998",336685,11594
"36.6935637329208+-76.1947516047451","38.7698054876636+-77.1227656598998",328495,11367
"38.9121381604259+-77.5280384736079","38.7698054876636+-77.1227656598998",51745,2613
"37.3505039083536+-82.0267450618411","38.7698054876636+-77.1227656598998",668031,24364
"38.3622633505911+-79.5685555378787","38.7698054876636+-77.1227656598998",304954,12629
"38.6684116956265+-77.3530500515172","38.7698054876636+-77.1227656598998",36190,2082
"39.1040060535883+-77.5609941008621","38.7698054876636+-77.1227656598998",68772,2936
"39.0385417991914+-77.4630311263987","38.7698054876636+-77.1227656598998",56162,2614
"38.8992964645545+-77.0809067830602","38.7698054876636+-77.1227656598998",25449,1599
"37.5304498191424+-77.5692240191544","38.7698054876636+-77.1227656598998",168558,6143
"37.5124040578764+-77.6023893332524","38.7698054876636+-77.1227656598998",173335,6439
"37.0040457588552+-76.4257054308935","38.7698054876636+-77.1227656598998",275572,9626
"37.1030760458405+-76.466176236886","38.7698054876636+-77.1227656598998",260513,8906
"36.8719143929192+-76.21725414009","38.7698054876636+-77.1227656598998",316640,11148
"36.9249493543767+-76.2994344409283","38.7698054876636+-77.1227656598998",312466,11253
"36.8827097501563+-75.990206233675","38.7698054876636+-77.1227656598998",341020,12011
"37.040404377745+-76.3122519748757","38.7698054876636+-77.1227656598998",277592,9542
"38.7639049262968+-77.2668092740409","38.7698054876636+-77.1227656598998",16605,1142
"38.8803650830783+-77.2240493581203","38.7698054876636+-77.1227656598998",20180,1248
"36.852372843601+-76.3817232933647","38.7698054876636+-77.1227656598998",296716,10277
"36.5700380345252+-78.3828956421819","38.7698054876636+-77.1227656598998",363392,12892
"36.6117558815659+-78.6526703470602","38.7698054876636+-77.1227656598998",345159,12141
"36.7145949139597+-78.563537214132","38.7698054876636+-77.1227656598998",319847,12203
"38.7517211966619+-77.0693281766368","38.7698054876636+-77.1227656598998",8181,896
"38.7238702063629+-77.1038887337751","38.7698054876636+-77.1227656598998",11171,911
"38.7206837723921+-77.2642560059842","38.7698054876636+-77.1227656598998",21301,1348
"38.8447513887317+-77.4588111582295","38.7698054876636+-77.1227656598998",42236,2088
"38.8321346120812+-77.4251395959797","38.7698054876636+-77.1227656598998",40606,2015
"36.7466226557861+-79.9669781579516","38.7698054876636+-77.1227656598998",461525,16255
"36.6034702080325+-79.7659960270459","38.7698054876636+-77.1227656598998",430666,16430
"37.7270998007325+-76.4125500051865","38.7698054876636+-77.1227656598998",210474,8940
"36.9358121608786+-76.717548053488","38.7698054876636+-77.1227656598998",277884,10094
