"origin","dest","dist","time"
"37.0052602694798+-79.2248924800302","37.5525164700843+-77.4351624878091",209207,8945
"36.7511279576325+-79.4005686255019","37.5525164700843+-77.4351624878091",240278,9915
"36.8147889616566+-79.5768313452785","37.5525164700843+-77.4351624878091",252876,10383
"36.707210394998+-79.3376441789558","37.5525164700843+-77.4351624878091",225756,9459
"36.6568058051277+-80.1328228045076","37.5525164700843+-77.4351624878091",344768,12775
"37.8543349384278+-77.3651346668827","37.5525164700843+-77.4351624878091",47551,1938
"37.037375298097+-78.7661050971366","37.5525164700843+-77.4351624878091",157355,6775
"37.812789383414+-78.3738905786863","37.5525164700843+-77.4351624878091",99200,4184
"37.5911290065465+-77.2968003854876","37.5525164700843+-77.4351624878091",16941,1161
"37.4263578922875+-77.5963035428916","37.5525164700843+-77.4351624878091",28327,1480
"37.4233943040102+-77.43318551734","37.5525164700843+-77.4351624878091",18161,890
"37.3221804475584+-77.4141527350431","37.5525164700843+-77.4351624878091",33183,1441
"37.1191412112259+-82.4292405899199","37.5525164700843+-77.4351624878091",591335,21296
"37.1919182328691+-77.6246926731898","37.5525164700843+-77.4351624878091",64051,2531
"36.8098810327023+-79.0742404486351","37.5525164700843+-77.4351624878091",202071,8416
"36.7813678201634+-77.5642690632716","37.5525164700843+-77.4351624878091",109272,3914
"37.6246106234014+-75.8155359073654","37.5525164700843+-77.4351624878091",268269,10098
"37.3846405925602+-77.4997903032417","37.5525164700843+-77.4351624878091",34577,1480
"37.4200606410769+-77.4625335385555","37.5525164700843+-77.4351624878091",20247,979
"37.4772011313656+-77.543838500499","37.5525164700843+-77.4351624878091",20789,1211
"37.4880074627253+-77.6140956079375","37.5525164700843+-77.4351624878091",27611,1385
"37.5094663422912+-77.6341608881296","37.5525164700843+-77.4351624878091",26246,1534
"37.3466154875509+-77.436646651379","37.5525164700843+-77.4351624878091",28231,1433
"37.4375683860654+-77.5097084192907","37.5525164700843+-77.4351624878091",23593,1149
"37.4862529078774+-77.5590572631532","37.5525164700843+-77.4351624878091",19876,1092
"37.3350657215125+-77.7390328577996","37.5525164700843+-77.4351624878091",48140,2502
"37.475012602292+-77.5833436614196","37.5525164700843+-77.4351624878091",25185,1234
"37.4190056176834+-77.7821326862081","37.5525164700843+-77.4351624878091",43979,2264
"37.4193319854997+-77.6711309806581","37.5525164700843+-77.4351624878091",38716,1891
