"origin","dest","dist","time"
"38.9728971215289+-77.3572766439104","38.738551019319+-77.2402036872546",36438,1986
"38.841604116433+-77.4372574964768","38.738551019319+-77.2402036872546",26557,1421
"38.2417744196483+-77.5110006702418","38.738551019319+-77.2402036872546",69879,3048
"38.7832567981031+-77.9080677939931","38.738551019319+-77.2402036872546",76134,3175
"36.9074165737657+-76.0527975665417","38.738551019319+-77.2402036872546",328082,11663
"38.6229334637809+-77.3865419763211","38.738551019319+-77.2402036872546",32420,1841
"38.8147413874187+-77.6237303021349","38.738551019319+-77.2402036872546",46359,2095
"37.729448969232+-77.1925750646113","38.738551019319+-77.2402036872546",141759,5558
"36.7826012272912+-77.8215866157138","38.738551019319+-77.2402036872546",256339,9201
"37.129202954129+-76.4718282193752","38.738551019319+-77.2402036872546",248437,8508
"38.3088691152814+-77.4898515907878","38.738551019319+-77.2402036872546",59870,2775
"36.8176855295825+-81.9690563998926","38.738551019319+-77.2402036872546",568744,19694
"38.4555222123361+-77.4655432787598","38.738551019319+-77.2402036872546",46076,2420
"38.9264976991632+-77.1999804619315","38.738551019319+-77.2402036872546",32760,1771
"38.8311366187872+-77.2938682462838","38.738551019319+-77.2402036872546",14632,1191
"38.8450217154644+-77.3108805999043","38.738551019319+-77.2402036872546",18070,1388
"38.9533628498331+-77.3442458447604","38.738551019319+-77.2402036872546",33971,2048
"38.0605882267194+-78.1609204944601","38.738551019319+-77.2402036872546",146615,6328
"36.6592096284945+-76.960379473023","38.738551019319+-77.2402036872546",268107,9925
"38.8095886241844+-77.0522580467577","38.738551019319+-77.2402036872546",26035,1492
"36.8902472757226+-76.4410179506602","38.738551019319+-77.2402036872546",279867,9602
"36.8582051417917+-76.4438499950323","38.738551019319+-77.2402036872546",281370,9580
"36.7201976392583+-76.5831236332047","38.738551019319+-77.2402036872546",306209,10702
"37.3482183299891+-79.2129955512847","38.738551019319+-77.2402036872546",279059,11583
"37.411088482992+-79.2006831354334","38.738551019319+-77.2402036872546",273898,11555
"37.1362756810305+-76.5508829942497","38.738551019319+-77.2402036872546",241666,8418
"37.12158763077+-80.5814110808378","38.738551019319+-77.2402036872546",425581,14539
"37.7902886998408+-79.4396018084281","38.738551019319+-77.2402036872546",290137,10027
"38.7649687117074+-77.4317764137013","38.738551019319+-77.2402036872546",27240,1983
"36.7996854620469+-76.1178502123404","38.738551019319+-77.2402036872546",315877,11159
"36.9102072806389+-76.0834597466471","38.738551019319+-77.2402036872546",319383,11413
"36.7569967556656+-76.256427195501","38.738551019319+-77.2402036872546",308451,10686
"36.7453544108343+-76.2502389346549","38.738551019319+-77.2402036872546",309566,10641
"37.4543711270466+-77.6575259281984","38.738551019319+-77.2402036872546",166862,6030
"36.7770348159467+-76.213925395719","38.738551019319+-77.2402036872546",312291,10895
"38.9307360871824+-77.5609047233456","38.738551019319+-77.2402036872546",43113,2401
"37.6086483162814+-77.4279280039665","38.738551019319+-77.2402036872546",141770,5255
"37.6475768369513+-77.4594311144775","38.738551019319+-77.2402036872546",135235,4810
"37.6027036641668+-77.605081924731","38.738551019319+-77.2402036872546",156909,5787
"37.6482225179533+-77.5718439238195","38.738551019319+-77.2402036872546",149836,5510
"38.8965188850562+-77.0905149453194","38.738551019319+-77.2402036872546",34304,1881
"38.8907282527397+-77.0928623317492","38.738551019319+-77.2402036872546",30759,1767
"38.8927443274591+-77.0755836537172","38.738551019319+-77.2402036872546",30817,1685
"38.6448040268362+-77.280157013301","38.738551019319+-77.2402036872546",16019,1127
"36.7778693978321+-76.2209860238647","38.738551019319+-77.2402036872546",310284,10702
"36.959167071781+-78.3500585666226","38.738551019319+-77.2402036872546",279380,10600
"37.6161385037122+-77.6222343908815","38.738551019319+-77.2402036872546",157820,5879
"37.6429181649909+-77.5457645415893","38.738551019319+-77.2402036872546",147355,5426
"37.6308420608741+-77.560365311497","38.738551019319+-77.2402036872546",152429,5475
"37.5777519341892+-77.5297038120477","38.738551019319+-77.2402036872546",151054,5613
"37.3178819739004+-78.7408810017791","38.738551019319+-77.2402036872546",283341,10634
"37.9762550099166+-77.2128165127803","38.738551019319+-77.2402036872546",121896,4797
"38.9121215236321+-77.4140542693907","38.738551019319+-77.2402036872546",28574,1594
"38.7800200714231+-77.2899634036665","38.738551019319+-77.2402036872546",8188,620
"38.7475241010542+-77.2193957055796","38.738551019319+-77.2402036872546",8333,719
"38.7947792665922+-77.3183786867287","38.738551019319+-77.2402036872546",10753,784
"38.7994707874674+-77.2580933332718","38.738551019319+-77.2402036872546",11077,957
"38.8689721228275+-77.2539891511122","38.738551019319+-77.2402036872546",26903,1500
"38.8715388525008+-77.2077614531398","38.738551019319+-77.2402036872546",26654,1503
"38.8844846709963+-77.2538587498865","38.738551019319+-77.2402036872546",29015,1743
"38.748870106255+-77.133108895156","38.738551019319+-77.2402036872546",14358,1061
"38.7240208271904+-77.1265633467038","38.738551019319+-77.2402036872546",14316,1087
"38.8322822488752+-77.1756860941717","38.738551019319+-77.2402036872546",19984,1409
"38.8570404903801+-77.2070520444808","38.738551019319+-77.2402036872546",27115,1534
"38.7875878489626+-77.1475833958446","38.738551019319+-77.2402036872546",13994,945
"38.7889768680187+-77.0704277664064","38.738551019319+-77.2402036872546",26653,1526
"38.9171430522615+-77.3468359542445","38.738551019319+-77.2402036872546",32359,1904
"38.790871930477+-77.2594321850178","38.738551019319+-77.2402036872546",11348,991
