"origin","dest","dist","time"
"36.8969968371891+-76.172472709408","38.738551019319+-77.2402036872546",312080,10939
"38.8503065251335+-77.0637983795846","38.738551019319+-77.2402036872546",26642,1562
"38.6687225209276+-77.322751222651","38.738551019319+-77.2402036872546",15891,1300
"36.6025935516404+-80.8115299745177","38.738551019319+-77.2402036872546",515954,17888
"37.2959124518566+-80.0800587266177","38.738551019319+-77.2402036872546",375089,12917
"37.284564579172+-79.9944040808816","38.738551019319+-77.2402036872546",369921,12713
"38.1630644218414+-79.095175483505","38.738551019319+-77.2402036872546",240792,8425
"36.8882342478916+-76.3653842808178","38.738551019319+-77.2402036872546",286360,9833
"37.2518546535909+-80.82070074373","38.738551019319+-77.2402036872546",471017,16459
"38.7766584091328+-77.0514420021769","38.738551019319+-77.2402036872546",27633,1505
"37.4816669377305+-80.2115613913907","38.738551019319+-77.2402036872546",388953,14450
"37.2914974200293+-80.1357468343134","38.738551019319+-77.2402036872546",377333,12941
"36.942446579755+-82.4291995209956","38.738551019319+-77.2402036872546",628980,21827
"37.0533291531658+-76.3542432254708","38.738551019319+-77.2402036872546",261938,9154
"38.9167180145617+-77.1277958613826","38.738551019319+-77.2402036872546",37589,2133
"37.1345459494271+-80.5292239945353","38.738551019319+-77.2402036872546",420669,14384
"37.127532702132+-76.5281174502133","38.738551019319+-77.2402036872546",246128,8521
"37.0902715094331+-76.4495022581386","38.738551019319+-77.2402036872546",249378,8549
"38.7625956602878+-77.1451212116467","38.738551019319+-77.2402036872546",13662,968
"36.8650777642161+-76.2668140865451","38.738551019319+-77.2402036872546",299816,10515
"36.9234327143468+-76.2614453426036","38.738551019319+-77.2402036872546",301131,10989
"37.1335844770879+-81.6395307811995","38.738551019319+-77.2402036872546",576668,20050
"37.316326351947+-79.6071172105799","38.738551019319+-77.2402036872546",318929,13287
"37.4693436759972+-77.4774323538084","38.738551019319+-77.2402036872546",161409,5898
"38.1634194693639+-79.0377038260845","38.738551019319+-77.2402036872546",232547,8048
"37.5220389874668+-77.4502509333125","38.738551019319+-77.2402036872546",152388,5567
"38.8025996784868+-77.0628387165636","38.738551019319+-77.2402036872546",23651,1412
"37.1303466508289+-80.5508744213827","38.738551019319+-77.2402036872546",423223,14418
"38.0260447901439+-78.4964053478447","38.738551019319+-77.2402036872546",166518,7633
"37.8859210124736+-77.5849152347061","38.738551019319+-77.2402036872546",115178,4853
"36.8279066130937+-75.9734885792229","38.738551019319+-77.2402036872546",327393,11503
"36.5821919094235+-79.3880192539277","38.738551019319+-77.2402036872546",373669,14377
"39.1492604176537+-77.9859608856163","38.738551019319+-77.2402036872546",102169,4249
"38.6925081985457+-77.3162918738935","38.738551019319+-77.2402036872546",14786,1224
"37.9944644222006+-79.0587975291448","38.738551019319+-77.2402036872546",254280,8945
"37.6823060473998+-77.5781838017637","38.738551019319+-77.2402036872546",148260,5317
"38.8901914250535+-77.1007499602029","38.738551019319+-77.2402036872546",34315,1789
"38.069529113873+-78.4925077980661","38.738551019319+-77.2402036872546",167739,7203
"39.1220439817866+-77.550204468087","38.738551019319+-77.2402036872546",61647,2883
"37.820489594936+-79.8173601006222","38.738551019319+-77.2402036872546",336310,11625
"38.0652369234334+-78.4563756261894","38.738551019319+-77.2402036872546",168331,7277
"38.8431973775234+-77.2132545869152","38.738551019319+-77.2402036872546",24928,1452
"38.2736375765428+-77.5027343756091","38.738551019319+-77.2402036872546",72735,3208
"39.0902602065769+-77.5269780689224","38.738551019319+-77.2402036872546",57358,2641
"36.7608041973296+-76.2162978143029","38.738551019319+-77.2402036872546",312181,10868
"36.6483297098312+-77.9538512666044","38.738551019319+-77.2402036872546",277885,9928
"38.8239190472571+-77.4317091994649","38.738551019319+-77.2402036872546",22821,1369
"38.7898696163941+-77.5437570424966","38.738551019319+-77.2402036872546",36523,1698
"37.5824798300392+-77.5025853622904","38.738551019319+-77.2402036872546",146447,5387
"38.8473430282786+-77.0731574804003","38.738551019319+-77.2402036872546",25348,1437
"38.2480723264161+-77.5545841888864","38.738551019319+-77.2402036872546",70022,3284
"36.8524382454674+-76.1344580176455","38.738551019319+-77.2402036872546",312165,10877
"36.6465005980803+-82.6157574534701","38.738551019319+-77.2402036872546",631753,21929
"38.7043172077167+-77.8071475118423","38.738551019319+-77.2402036872546",63145,3172
"37.475910424182+-77.7117399465814","38.738551019319+-77.2402036872546",173354,6466
"36.6845088438147+-79.8592429499189","38.738551019319+-77.2402036872546",389776,16016
"37.5625815918578+-77.4298013355814","38.738551019319+-77.2402036872546",149504,5404
"37.6970999694319+-77.6207862168842","38.738551019319+-77.2402036872546",151817,5591
"37.2395658756998+-77.4498313424138","38.738551019319+-77.2402036872546",190043,7129
"37.5743726407888+-77.4300198418627","38.738551019319+-77.2402036872546",143483,5447
"37.5348840631784+-77.4643059552064","38.738551019319+-77.2402036872546",151069,5596
"37.4339129588279+-78.3450034950549","38.738551019319+-77.2402036872546",235072,8834
"36.7301725167211+-77.2548458666268","38.738551019319+-77.2402036872546",252417,9206
"37.8499722668989+-79.9259573760775","38.738551019319+-77.2402036872546",366113,13762
"36.7831075623624+-76.3747116744145","38.738551019319+-77.2402036872546",297361,10223
"38.8363958859698+-77.0724187461561","38.738551019319+-77.2402036872546",24901,1433
"37.212513894903+-80.0029498337716","38.738551019319+-77.2402036872546",381422,13151
"38.556953508911+-78.7170256116111","38.738551019319+-77.2402036872546",179451,6302
"36.9675959662017+-77.619640417529","38.738551019319+-77.2402036872546",228821,8309
"37.2487659455951+-77.3361392205795","38.738551019319+-77.2402036872546",190414,6727
"37.7533782673294+-77.4054021362077","38.738551019319+-77.2402036872546",126126,4608
