"origin","dest","dist","time"
"38.6515612458988+-77.3817494810998","38.755389804606+-77.2527636186653",27860,2127
"38.7974327915064+-77.6450848760101","38.755389804606+-77.2527636186653",44388,2100
"38.6644637116911+-77.2507846875251","38.755389804606+-77.2527636186653",14678,971
"36.9570107346918+-76.5835339787483","38.755389804606+-77.2527636186653",283166,10415
"37.6190248767038+-77.513151527871","38.755389804606+-77.2527636186653",147894,5683
"38.717806102834+-77.7748596036464","38.755389804606+-77.2527636186653",60329,2970
"37.4574792956442+-77.504485636423","38.755389804606+-77.2527636186653",164738,6062
"37.6485435360316+-77.6025187928763","38.755389804606+-77.2527636186653",155311,5701
"37.6553356032487+-77.636795780012","38.755389804606+-77.2527636186653",157735,5946
"37.0533333021581+-76.3914151946157","38.755389804606+-77.2527636186653",260473,9001
"37.4198762083182+-77.9997764481929","38.755389804606+-77.2527636186653",214931,8035
"37.0697887292386+-80.0475819421842","38.755389804606+-77.2527636186653",404079,14152
"36.9768470181691+-82.1848141132641","38.755389804606+-77.2527636186653",614363,21674
"37.0667705867196+-80.5111203174664","38.755389804606+-77.2527636186653",418828,14176
"37.243249118739+-80.4213908216586","38.755389804606+-77.2527636186653",422341,14450
"36.696481719092+-76.2785984748489","38.755389804606+-77.2527636186653",313355,11176
"36.7496647042779+-76.2173493279842","38.755389804606+-77.2527636186653",316200,11073
"38.593773310383+-78.5215295356716","38.755389804606+-77.2527636186653",144717,6214
"36.6015593142751+-82.1820751083234","38.755389804606+-77.2527636186653",586029,19834
"38.2544176898793+-76.9704881023535","38.755389804606+-77.2527636186653",115109,5268
"36.8360732528681+-75.9792575874864","38.755389804606+-77.2527636186653",329936,11652
"36.8370981512655+-76.1112186714896","38.755389804606+-77.2527636186653",319442,11150
"39.1873356943195+-78.1584818458366","38.755389804606+-77.2527636186653",112781,4798
"36.8670017721777+-76.1755031526718","38.755389804606+-77.2527636186653",312752,11048
"37.0771561048064+-76.4814891987276","38.755389804606+-77.2527636186653",252787,8979
"38.3290892964095+-77.7555001997191","38.755389804606+-77.2527636186653",89780,4230
"36.7766076306131+-76.5941032386828","38.755389804606+-77.2527636186653",285973,10855
"36.7916324999928+-76.6098001848306","38.755389804606+-77.2527636186653",282470,10623
"37.3129715540823+-79.9866193989634","38.755389804606+-77.2527636186653",364361,12342
"38.929767570996+-77.2212284082124","38.755389804606+-77.2527636186653",25266,1666
"38.8624620710757+-77.3618200917646","38.755389804606+-77.2527636186653",19827,1309
"38.9552575940947+-77.4156626112881","38.755389804606+-77.2527636186653",32582,1952
"37.413026750069+-79.1209268609669","38.755389804606+-77.2527636186653",271945,11042
"37.4911982916182+-77.4596419615368","38.755389804606+-77.2527636186653",161313,6242
"37.5202470715657+-77.4638279442193","38.755389804606+-77.2527636186653",157963,5920
"38.8312005831088+-77.0481535793612","38.755389804606+-77.2527636186653",26514,1785
"38.815538998214+-77.0417140911694","38.755389804606+-77.2527636186653",25431,1798
"38.8399968972946+-77.0584562433123","38.755389804606+-77.2527636186653",25134,1805
"36.6646546980168+-82.4221113509943","38.755389804606+-77.2527636186653",624651,21529
"37.6331859191911+-77.5510029573114","38.755389804606+-77.2527636186653",156971,5761
"36.7273648311684+-78.2499998580607","38.755389804606+-77.2527636186653",299390,10636
"38.0497599311812+-78.5146430900565","38.755389804606+-77.2527636186653",171118,7494
"38.0004082675744+-77.0172446134646","38.755389804606+-77.2527636186653",128741,5534
"38.8966569065204+-77.4150632862262","38.755389804606+-77.2527636186653",25932,1433
"38.789393702935+-77.3083020820279","38.755389804606+-77.2527636186653",8241,737
"38.8927018042653+-77.2632422889888","38.755389804606+-77.2527636186653",32104,1690
