"origin","dest","dist","time"
"38.745229179862+-77.5729121587464","37.0681293494128+-81.9322825918212",576093,20563
"37.6232088799119+-76.9613669660374","37.0681293494128+-81.9322825918212",591006,21214
"39.0906302388919+-77.4863308438084","37.0681293494128+-81.9322825918212",587085,21185
"38.8753960260266+-77.1106115900903","37.0681293494128+-81.9322825918212",613046,21637
"36.8736021702439+-76.4258042833147","37.0681293494128+-81.9322825918212",677478,23516
"36.7489363051232+-76.5093428723295","37.0681293494128+-81.9322825918212",700614,25057
"36.811949644943+-76.3730394813745","37.0681293494128+-81.9322825918212",689378,24147
"37.3218097977326+-77.3232012604727","37.0681293494128+-81.9322825918212",568598,20310
"38.7342473884699+-77.1078616654825","37.0681293494128+-81.9322825918212",624505,22535
"38.8803461628372+-77.2094134793461","37.0681293494128+-81.9322825918212",607111,21480
"37.3243103258469+-76.7525871167211","37.0681293494128+-81.9322825918212",613225,21458
"37.4139074217458+-79.2179065295109","37.0681293494128+-81.9322825918212",328488,13596
"38.9442491553927+-77.4102597931057","37.0681293494128+-81.9322825918212",597373,21066
"37.6169066806279+-77.6434033249984","37.0681293494128+-81.9322825918212",520554,18643
"36.8665734637416+-76.1396388851385","37.0681293494128+-81.9322825918212",710701,24932
"36.7688534045336+-76.0709507220069","37.0681293494128+-81.9322825918212",719601,25534
"36.8106730867959+-76.1320571363355","37.0681293494128+-81.9322825918212",713264,25012
"37.4504185449157+-77.4407191084759","37.0681293494128+-81.9322825918212",552405,19688
"37.131425137495+-82.1117056504282","37.0681293494128+-81.9322825918212",38288,2389
"38.044932312246+-79.020207989186","37.0681293494128+-81.9322825918212",374569,13873
"36.8310557438633+-76.2317951281351","37.0681293494128+-81.9322825918212",701620,24679
"36.766200399492+-76.2852249532829","37.0681293494128+-81.9322825918212",706200,24523
"38.8577696094547+-77.1182451123303","37.0681293494128+-81.9322825918212",616642,21977
"37.7433705655517+-75.7842459881439","37.0681293494128+-81.9322825918212",824700,29821
"37.4479217348492+-77.6133784186675","37.0681293494128+-81.9322825918212",492088,19421
"36.8513656121384+-82.7837366708519","37.0681293494128+-81.9322825918212",117921,5673
"37.0282595130936+-76.4112921036079","37.0681293494128+-81.9322825918212",658085,22874
"37.0132798387282+-76.3554806091345","37.0681293494128+-81.9322825918212",661239,23080
