"origin","dest","dist","time"
"37.1707113277421+-80.1085576752641","37.5798044221228+-77.4382645761054",324503,11513
"38.7049694088941+-77.4809355071439","37.5798044221228+-77.4382645761054",141127,5430
"38.3845610528873+-77.5930339773081","37.5798044221228+-77.4382645761054",101442,3983
"36.7502486053873+-83.0483733026273","37.5798044221228+-77.4382645761054",610510,21528
"37.7813303250859+-78.8124149154212","37.5798044221228+-77.4382645761054",157791,6372
"37.3842297986543+-79.2874896800022","37.5798044221228+-77.4382645761054",202705,8483
"37.612413810147+-77.3826214693894","37.5798044221228+-77.4382645761054",8118,654
"39.0061575358536+-77.5931357673095","37.5798044221228+-77.4382645761054",185537,7535
"37.6366019650007+-77.3868264133855","37.5798044221228+-77.4382645761054",8903,710
"37.9111415153153+-76.6181883439385","37.5798044221228+-77.4382645761054",99372,4812
"37.2905402127955+-77.30880740108","37.5798044221228+-77.4382645761054",42425,2287
"38.7720126765537+-77.4712588458304","37.5798044221228+-77.4382645761054",148412,6134
"37.2147822801144+-77.4140282103431","37.5798044221228+-77.4382645761054",45254,2150
"38.3002076963472+-77.2240627070635","37.5798044221228+-77.4382645761054",100078,4219
"37.5554021511635+-77.507825030724","37.5798044221228+-77.4382645761054",8709,957
"38.7173078927795+-77.8964950213468","37.5798044221228+-77.4382645761054",153553,6370
"37.4286266308683+-79.1530449924943","37.5798044221228+-77.4382645761054",216085,7811
"37.502088185554+-79.0913317552052","37.5798044221228+-77.4382645761054",199182,7168
"37.6755673768022+-77.401789241296","37.5798044221228+-77.4382645761054",16990,1363
"38.7871663982677+-77.0822242310456","37.5798044221228+-77.4382645761054",158937,5839
"38.863097900225+-77.1959391529377","37.5798044221228+-77.4382645761054",161048,5900
"38.6556209618782+-77.1819043618742","37.5798044221228+-77.4382645761054",140765,5254
"38.3341181705876+-77.4505565691295","37.5798044221228+-77.4382645761054",94384,3708
"38.7683380916727+-77.2320760890641","37.5798044221228+-77.4382645761054",147520,5308
"36.8542768274777+-76.1988002886588","37.5798044221228+-77.4382645761054",168534,6236
"36.8953518412396+-76.3094314866103","37.5798044221228+-77.4382645761054",159302,6128
"38.8382353097783+-77.1137869006458","37.5798044221228+-77.4382645761054",155909,5741
"37.2296209645581+-80.3862957745574","37.5798044221228+-77.4382645761054",346806,12027
"37.4670519442184+-76.2959695347187","37.5798044221228+-77.4382645761054",115241,5049
"38.7464449882218+-77.4811578088538","37.5798044221228+-77.4382645761054",148564,5886
"37.2237536963027+-77.4276105546348","37.5798044221228+-77.4382645761054",45771,2185
"36.7180785400948+-81.5913261602263","37.5798044221228+-77.4382645761054",476571,16812
"37.138179028067+-79.0773341736485","37.5798044221228+-77.4382645761054",189215,8231
"38.7682127664771+-77.6078048698167","37.5798044221228+-77.4382645761054",153526,6235
"38.6692672082323+-77.5485067826157","37.5798044221228+-77.4382645761054",142609,5490
"38.8061287325812+-77.6241379330391","37.5798044221228+-77.4382645761054",160353,6279
"38.0832813780935+-77.4693642296039","37.5798044221228+-77.4382645761054",63073,2983
"37.1967154264607+-82.4672798918812","37.5798044221228+-77.4382645761054",595655,21621
"37.5940022220404+-77.4433014764461","37.5798044221228+-77.4382645761054",2042,305
"37.4597575880114+-77.5680968748731","37.5798044221228+-77.4382645761054",25009,1319
"38.281540026131+-78.7406811801116","37.5798044221228+-77.4382645761054",182235,6901
