"origin","dest","dist","time"
"36.9178028900448+-76.2803516932858","38.8904699997509+-77.1774812521177",325656,11512
"36.9130495275566+-76.283471247424","38.8904699997509+-77.1774812521177",325510,11533
"36.944067821562+-76.2375541110213","38.8904699997509+-77.1774812521177",330910,11953
"36.8958906655897+-76.2987594890926","38.8904699997509+-77.1774812521177",321056,11193
"36.8775666093271+-76.2684218577393","38.8904699997509+-77.1774812521177",322210,11248
"36.8666713727555+-76.2534294944107","38.8904699997509+-77.1774812521177",327185,11245
"37.4054482662131+-79.71139134013","38.8904699997509+-77.1774812521177",347820,12222
"37.2504113515136+-79.8077973525778","38.8904699997509+-77.1774812521177",376425,13073
"36.8615778481428+-76.2765495744665","38.8904699997509+-77.1774812521177",324177,11101
"36.855271237001+-76.265092425529","38.8904699997509+-77.1774812521177",324242,11073
"36.833126939973+-76.2834318831389","38.8904699997509+-77.1774812521177",321384,10856
"37.2057617809147+-76.6084543912703","38.8904699997509+-77.1774812521177",254941,8696
"36.8296736113344+-76.1161602906757","38.8904699997509+-77.1774812521177",338300,11560
"36.8347019406698+-76.1727539939654","38.8904699997509+-77.1774812521177",333836,11452
"36.8037152395097+-76.1654040937913","38.8904699997509+-77.1774812521177",341145,11651
"36.7908473137149+-76.1955899522469","38.8904699997509+-77.1774812521177",340303,11550
"36.7915762190266+-76.1581005365869","38.8904699997509+-77.1774812521177",341874,11706
"36.6215453045351+-76.0020913252061","38.8904699997509+-77.1774812521177",367555,12909
"36.8668682264946+-76.0556547324681","38.8904699997509+-77.1774812521177",347368,11965
"36.749429070633+-75.9928066988762","38.8904699997509+-77.1774812521177",358772,12710
"36.8347378361893+-76.1873174952534","38.8904699997509+-77.1774812521177",333336,11468
"36.8086083352688+-76.2130524844773","38.8904699997509+-77.1774812521177",333225,11470
"36.7923992456352+-76.1384974127322","38.8904699997509+-77.1774812521177",344082,11903
"36.7719677116297+-76.194692144364","38.8904699997509+-77.1774812521177",338569,11655
"38.8261503617671+-78.2591236621618","38.8904699997509+-77.1774812521177",111773,4617
"38.9370490295711+-78.1565469063534","38.8904699997509+-77.1774812521177",98227,3666
"38.2834408255261+-78.5284327842014","38.8904699997509+-77.1774812521177",160401,6769
"38.6261202265582+-78.4186608599104","38.8904699997509+-77.1774812521177",142887,5860
"38.5208395861482+-78.5756673595554","38.8904699997509+-77.1774812521177",163804,6764
"38.991085973324+-78.182650659438","38.8904699997509+-77.1774812521177",104550,3911
"36.8391351684312+-76.3533957438506","38.8904699997509+-77.1774812521177",314120,10673
"36.8434848396431+-76.3101671207337","38.8904699997509+-77.1774812521177",318176,10818
"36.829595031972+-76.3348678253256","38.8904699997509+-77.1774812521177",317727,10780
"36.8252764942229+-76.3553763031243","38.8904699997509+-77.1774812521177",315771,10871
"36.8031067578301+-76.3140556918122","38.8904699997509+-77.1774812521177",322622,11119
"36.7997268664235+-76.3402881265336","38.8904699997509+-77.1774812521177",322287,10984
"36.8091528474564+-76.3454878847369","38.8904699997509+-77.1774812521177",321385,10917
"36.8146391797861+-76.2321778167636","38.8904699997509+-77.1774812521177",327346,11346
"36.8113339382907+-76.2637791276267","38.8904699997509+-77.1774812521177",325713,11200
"36.7730170829463+-76.2650315476284","38.8904699997509+-77.1774812521177",330010,11262
"36.7065952341128+-76.2574757152694","38.8904699997509+-77.1774812521177",333532,11588
"36.7130952428851+-76.208254328157","38.8904699997509+-77.1774812521177",340018,11554
"36.6658672152305+-76.4219854812476","38.8904699997509+-77.1774812521177",336697,11543
"36.7220429137467+-76.2708248295104","38.8904699997509+-77.1774812521177",332058,11487
"36.6975193794462+-76.2200792916961","38.8904699997509+-77.1774812521177",340248,11597
"36.9351053644668+-82.8016789570406","38.8904699997509+-77.1774812521177",672817,24067
"36.8687443269431+-82.7024672408722","38.8904699997509+-77.1774812521177",662831,23301
"36.9880158090043+-82.6829184320429","38.8904699997509+-77.1774812521177",661666,23415
"36.9500062279719+-82.4980766731791","38.8904699997509+-77.1774812521177",639551,22393
"36.9578183312165+-82.558861821603","38.8904699997509+-77.1774812521177",643605,22405
"36.9335088597547+-82.355151747136","38.8904699997509+-77.1774812521177",621866,21543
"37.2793161550244+-76.6591511704432","38.8904699997509+-77.1774812521177",246979,8390
"37.1701449299695+-76.4931613267323","38.8904699997509+-77.1774812521177",270168,9295
"37.2059093813205+-76.4514968638462","38.8904699997509+-77.1774812521177",270685,9258
"39.0474425108584+-77.797473518354","38.8904699997509+-77.1774812521177",81356,3390
"39.2012917630255+-77.5557327387258","38.8904699997509+-77.1774812521177",64305,2779
"39.1343480879225+-77.5714754772333","38.8904699997509+-77.1774812521177",56262,2404
"37.2800454945758+-76.7276223220977","38.8904699997509+-77.1774812521177",245397,8415
"37.006500333845+-76.3636529196611","38.8904699997509+-77.1774812521177",287875,9734
"37.0768220328482+-76.3212838316685","38.8904699997509+-77.1774812521177",290692,10069
"37.050811462643+-76.4132885715362","38.8904699997509+-77.1774812521177",282826,9635
"37.008796926055+-76.3853263336284","38.8904699997509+-77.1774812521177",286034,9628
"37.0812050061014+-76.2916558928192","38.8904699997509+-77.1774812521177",293307,10192
"37.5514911111905+-77.1525820629034","38.8904699997509+-77.1774812521177",193584,6740
"36.8607792154817+-76.1554662523528","38.8904699997509+-77.1774812521177",335717,11542
"36.8897857645048+-76.1498837791969","38.8904699997509+-77.1774812521177",338180,11703
"36.8802367078228+-76.0895780847374","38.8904699997509+-77.1774812521177",344650,11950
"36.8330630196483+-76.076173518477","38.8904699997509+-77.1774812521177",343186,11678
"36.8911564363767+-76.0594221062677","38.8904699997509+-77.1774812521177",350197,12134
"36.8116336385766+-76.0889776688402","38.8904699997509+-77.1774812521177",341215,11851
"36.815069203361+-76.0626112541323","38.8904699997509+-77.1774812521177",344669,11806
"36.7851422078181+-76.0192593980503","38.8904699997509+-77.1774812521177",353956,12241
"37.5576157347587+-77.7619424857242","38.8904699997509+-77.1774812521177",203561,7213
"37.5503617019949+-78.0366092055632","38.8904699997509+-77.1774812521177",227398,8155
"37.4751432721621+-77.8263070608517","38.8904699997509+-77.1774812521177",214790,7600
"37.2949667969926+-79.9356322903209","38.8904699997509+-77.1774812521177",367021,12468
"37.2740252308973+-79.9694849232493","38.8904699997509+-77.1774812521177",373101,12651
"37.2526500430398+-79.990887916531","38.8904699997509+-77.1774812521177",380234,12877
"37.2617760780257+-79.9678106888358","38.8904699997509+-77.1774812521177",378212,12744
"37.3154742682975+-79.9657981092153","38.8904699997509+-77.1774812521177",368567,12224
"37.36913219662+-79.8444569330169","38.8904699997509+-77.1774812521177",361182,12198
"37.6555612214283+-79.8297118922512","38.8904699997509+-77.1774812521177",352774,12303
"37.7935293007202+-79.982500581181","38.8904699997509+-77.1774812521177",357617,12183
"37.7665683946935+-79.9901704555321","38.8904699997509+-77.1774812521177",355083,11863
"38.0764665219408+-78.9093748495798","38.8904699997509+-77.1774812521177",249218,8496
"37.5044798986843+-79.8548581549957","38.8904699997509+-77.1774812521177",344705,11628
"38.0579245428641+-78.8917655543486","38.8904699997509+-77.1774812521177",256731,8722
"39.096547666446+-77.5949743293388","38.8904699997509+-77.1774812521177",52145,2110
"38.7972367363319+-77.4990669363533","38.8904699997509+-77.1774812521177",37373,1711
"38.7903120302167+-77.4686274306943","38.8904699997509+-77.1774812521177",33476,1661
"37.0350200964994+-79.8013688711792","38.8904699997509+-77.1774812521177",418644,14635
"38.7875225286198+-77.4471128200027","38.8904699997509+-77.1774812521177",32717,1580
"38.6617547810287+-77.4688533698986","38.8904699997509+-77.1774812521177",59298,2648
