"origin","dest","dist","time"
"37.52696373874+-76.5932112661133","38.9836939589045+-77.3669377336575",241396,9720
"37.2125531424132+-80.4480430361545","38.9836939589045+-77.3669377336575",419245,14394
"37.1707113277421+-80.1085576752641","38.9836939589045+-77.3669377336575",394622,13969
"38.7049694088941+-77.4809355071439","38.9836939589045+-77.3669377336575",39666,2592
"38.3845610528873+-77.5930339773081","38.9836939589045+-77.3669377336575",104825,4729
"36.7502486053873+-83.0483733026273","38.9836939589045+-77.3669377336575",680629,23984
"37.7813303250859+-78.8124149154212","38.9836939589045+-77.3669377336575",216567,9926
"37.3842297986543+-79.2874896800022","38.9836939589045+-77.3669377336575",293793,12217
"37.612413810147+-77.3826214693894","38.9836939589045+-77.3669377336575",189698,6850
"39.0061575358536+-77.5931357673095","38.9836939589045+-77.3669377336575",25024,1816
"37.6366019650007+-77.3868264133855","38.9836939589045+-77.3669377336575",184918,6737
"37.9111415153153+-76.6181883439385","38.9836939589045+-77.3669377336575",211289,8730
"37.2905402127955+-77.30880740108","38.9836939589045+-77.3669377336575",231657,8330
"38.7720126765537+-77.4712588458304","38.9836939589045+-77.3669377336575",33353,2170
"37.2147822801144+-77.4140282103431","38.9836939589045+-77.3669377336575",233538,8506
"38.3002076963472+-77.2240627070635","38.9836939589045+-77.3669377336575",127045,5426
"37.5554021511635+-77.507825030724","38.9836939589045+-77.3669377336575",193288,7151
"38.7173078927795+-77.8964950213468","38.9836939589045+-77.3669377336575",79380,3510
"37.4286266308683+-79.1530449924943","38.9836939589045+-77.3669377336575",274861,11365
"37.502088185554+-79.0913317552052","38.9836939589045+-77.3669377336575",257958,10722
"37.6755673768022+-77.401789241296","38.9836939589045+-77.3669377336575",181709,6860
"38.7871663982677+-77.0822242310456","38.9836939589045+-77.3669377336575",51499,2445
"38.863097900225+-77.1959391529377","38.9836939589045+-77.3669377336575",31553,1674
"38.6556209618782+-77.1819043618742","38.9836939589045+-77.3669377336575",58235,2889
"38.3341181705876+-77.4505565691295","38.9836939589045+-77.3669377336575",100369,4088
"38.7683380916727+-77.2320760890641","38.9836939589045+-77.3669377336575",44523,2368
"36.8542768274777+-76.1988002886588","38.9836939589045+-77.3669377336575",350897,12239
"36.8953518412396+-76.3094314866103","38.9836939589045+-77.3669377336575",341666,12131
"38.8382353097783+-77.1137869006458","38.9836939589045+-77.3669377336575",48207,2346
"37.2296209645581+-80.3862957745574","38.9836939589045+-77.3669377336575",416925,14483
"37.4670519442184+-76.2959695347187","38.9836939589045+-77.3669377336575",268817,11062
"38.7464449882218+-77.4811578088538","38.9836939589045+-77.3669377336575",34594,2379
"37.2237536963027+-77.4276105546348","38.9836939589045+-77.3669377336575",234055,8540
"36.7180785400948+-81.5913261602263","38.9836939589045+-77.3669377336575",546690,19268
"37.138179028067+-79.0773341736485","38.9836939589045+-77.3669377336575",303841,12578
"38.7682127664771+-77.6078048698167","38.9836939589045+-77.3669377336575",42362,2142
"38.6692672082323+-77.5485067826157","38.9836939589045+-77.3669377336575",55067,2887
"38.8061287325812+-77.6241379330391","38.9836939589045+-77.3669377336575",40760,1984
"38.0832813780935+-77.4693642296039","38.9836939589045+-77.3669377336575",136198,5564
"37.1967154264607+-82.4672798918812","38.9836939589045+-77.3669377336575",665774,24077
"37.5940022220404+-77.4433014764461","38.9836939589045+-77.3669377336575",186311,6791
"37.4597575880114+-77.5680968748731","38.9836939589045+-77.3669377336575",208947,7560
"38.281540026131+-78.7406811801116","38.9836939589045+-77.3669377336575",214161,8132
"37.1070139313608+-81.8622109703369","38.9836939589045+-77.3669377336575",595054,20748
"38.0941352339164+-79.1112529266959","38.9836939589045+-77.3669377336575",243865,8475
"38.7257029344998+-77.1553088184158","38.9836939589045+-77.3669377336575",50736,2387
"36.8174047739092+-76.336428429745","38.9836939589045+-77.3669377336575",343183,11790
"36.6973859090825+-77.5486780614225","38.9836939589045+-77.3669377336575",298132,10455
"38.9470853154921+-77.2150390515057","38.9836939589045+-77.3669377336575",22417,1306
"38.9793768068737+-77.419083038361","38.9836939589045+-77.3669377336575",6425,741
"37.4337423433576+-77.4644914663264","38.9836939589045+-77.3669377336575",210113,7562
"37.257328703596+-80.016714050854","38.9836939589045+-77.3669377336575",370324,12907
"37.0981849449032+-76.5266075974139","38.9836939589045+-77.3669377336575",293853,10300
"37.3301963798709+-80.517704772511","38.9836939589045+-77.3669377336575",437030,15037
"36.855341728241+-79.2201522960122","38.9836939589045+-77.3669377336575",344372,14352
"37.1605916269553+-77.4679151384804","38.9836939589045+-77.3669377336575",243354,8851
"37.2887368576071+-79.7848969934828","38.9836939589045+-77.3669377336575",374436,13338
"36.8475062174877+-76.0547536904929","38.9836939589045+-77.3669377336575",365083,12777
"36.8859209193613+-76.3994713695922","38.9836939589045+-77.3669377336575",329294,11384
"37.7210119778356+-77.4351586909065","38.9836939589045+-77.3669377336575",172083,6201
"37.6240052635014+-77.1792571857994","38.9836939589045+-77.3669377336575",205179,7645
"38.211091591626+-78.3833746070837","38.9836939589045+-77.3669377336575",146333,6127
"38.7353656703643+-77.5026586472694","38.9836939589045+-77.3669377336575",44768,2402
"38.3283727304945+-77.3659592522924","38.9836939589045+-77.3669377336575",112692,4759
"36.7388588786902+-80.5648555506752","38.9836939589045+-77.3669377336575",495602,17435
"36.7842454719596+-76.317364264204","38.9836939589045+-77.3669377336575",346944,12605
"37.4688448440747+-77.5152350380275","38.9836939589045+-77.3669377336575",204337,7399
"37.0614032032415+-79.6941605179986","38.9836939589045+-77.3669377336575",354563,14721
"36.7136969133467+-81.9530488970603","38.9836939589045+-77.3669377336575",562485,19108
"38.8182223128164+-77.3000366305726","38.9836939589045+-77.3669377336575",30431,1932
"38.8516427547521+-77.3662164312803","38.9836939589045+-77.3669377336575",22808,1523
"37.3935699042788+-75.9207499056539","38.9836939589045+-77.3669377336575",375685,15017
"38.136701589855+-78.9722466921931","38.9836939589045+-77.3669377336575",234408,8325
"38.9535184916461+-77.1501862614454","38.9836939589045+-77.3669377336575",28460,1635
"37.5388376789996+-77.3314049053007","38.9836939589045+-77.3669377336575",203394,7377
"36.8158679659331+-76.4152715623421","38.9836939589045+-77.3669377336575",332510,11516
"38.230521259938+-77.541465534011","38.9836939589045+-77.3669377336575",120120,4974
"38.4654384907524+-77.7189113997458","38.9836939589045+-77.3669377336575",90900,4260
"36.91107578817+-76.0190786161894","38.9836939589045+-77.3669377336575",379018,13457
"38.2983680180008+-77.3012836864758","38.9836939589045+-77.3669377336575",117914,4917
"37.0960256147138+-77.6049209247758","38.9836939589045+-77.3669377336575",261950,9384
"37.7923640191959+-76.3426873306605","38.9836939589045+-77.3669377336575",244622,10293
"37.3751622013775+-79.1963989966223","38.9836939589045+-77.3669377336575",280468,11590
"38.7733092879502+-77.5140930595265","38.9836939589045+-77.3669377336575",35677,2138
"38.5614737110925+-77.3206461158055","38.9836939589045+-77.3669377336575",71255,3157
"36.76727575429+-80.1655810202261","38.9836939589045+-77.3669377336575",446818,16533
"39.1727727799968+-77.9791256633508","38.9836939589045+-77.3669377336575",68122,3070
"37.1624365322881+-80.5851579645516","38.9836939589045+-77.3669377336575",424623,14748
"36.8263724537934+-76.0879501216803","38.9836939589045+-77.3669377336575",361590,12643
"36.7690254925878+-76.1072900955206","38.9836939589045+-77.3669377336575",365091,13285
"36.8929011165746+-80.0966688215592","38.9836939589045+-77.3669377336575",427851,15516
"37.2550985458203+-80.419579999195","38.9836939589045+-77.3669377336575",422108,14468
"37.2986318729368+-79.4956174831268","38.9836939589045+-77.3669377336575",313432,12778
