"origin","dest","dist","time"
"36.6574537963124+-80.9168017224312","38.8272398005157+-77.0986758384405",519125,17863
"38.4442406658671+-78.8965284688474","38.8272398005157+-77.0986758384405",217620,7733
"36.858029675443+-77.4216748499956","38.8272398005157+-77.0986758384405",245410,8383
"37.3105179195776+-77.2799799859466","38.8272398005157+-77.0986758384405",198942,6890
"36.7495557179209+-82.5181093105694","38.8272398005157+-77.0986758384405",652816,23074
"36.7951504372392+-82.6347550373536","38.8272398005157+-77.0986758384405",665521,23655
"38.7605093587054+-77.4890888591881","38.8272398005157+-77.0986758384405",55869,2709
"37.1813957401472+-77.3943266794004","38.8272398005157+-77.0986758384405",207841,7514
"37.5333958954412+-77.4156964944742","38.8272398005157+-77.0986758384405",165046,5901
"37.4638804167733+-77.4381992067404","38.8272398005157+-77.0986758384405",175675,6335
"37.5406864165862+-77.5421648978224","38.8272398005157+-77.0986758384405",169009,5915
"37.58809879117+-77.4535376930007","38.8272398005157+-77.0986758384405",155508,5539
"37.5248285222242+-77.4901787978885","38.8272398005157+-77.0986758384405",165487,5836
"37.5573405988445+-77.4663750096736","38.8272398005157+-77.0986758384405",160470,5786
"38.8284331375898+-77.122514372496","38.8272398005157+-77.0986758384405",3903,514
"38.8154121906718+-77.1077891543519","38.8272398005157+-77.0986758384405",2320,271
"38.8235718332888+-77.0544291694106","38.8272398005157+-77.0986758384405",4621,616
"39.0985524390549+-78.2633589634248","38.8272398005157+-77.0986758384405",137884,5127
"37.2304703693496+-80.032164369061","38.8272398005157+-77.0986758384405",394985,13777
"38.4069102156775+-78.603233293338","38.8272398005157+-77.0986758384405",188172,7897
"37.1711595143761+-76.537108104227","38.8272398005157+-77.0986758384405",251026,8490
"37.4803604226359+-79.4541786157366","38.8272398005157+-77.0986758384405",354516,12859
"37.2552697201695+-76.7502670347348","38.8272398005157+-77.0986758384405",237808,8145
"36.9286719339589+-76.2372283940282","38.8272398005157+-77.0986758384405",331137,11476
"36.9195475263913+-76.2437323071926","38.8272398005157+-77.0986758384405",329545,11324
"36.8868970781324+-76.2430277122379","38.8272398005157+-77.0986758384405",318854,11112
"36.9216628189432+-76.2100689477023","38.8272398005157+-77.0986758384405",331425,11560
"36.9474568227623+-76.2632881230563","38.8272398005157+-77.0986758384405",324496,11433
"36.9159284996841+-76.2925984123542","38.8272398005157+-77.0986758384405",313764,11059
