"origin","dest","dist","time"
"37.6142200880665+-77.5092207592137","37.6263977295115+-77.5182366310746",3493,369
"37.4958232773829+-77.2439699911259","37.6263977295115+-77.5182366310746",35667,1608
"37.6335762816334+-77.5181587127528","37.6263977295115+-77.5182366310746",1047,135
"37.640840650602+-77.4336911480426","37.6263977295115+-77.5182366310746",9176,759
"36.6303275308435+-81.4672896410227","37.6263977295115+-77.5182366310746",473632,16690
"38.8515364720254+-77.2820216791678","37.6263977295115+-77.5182366310746",160784,6012
"37.6575831567131+-77.5343053087884","37.6263977295115+-77.5182366310746",5027,495
"37.9358789657517+-78.0516792839622","37.6263977295115+-77.5182366310746",64136,2604
"37.4655669984193+-77.3337712107104","37.6263977295115+-77.5182366310746",32252,1827
"38.7875586903613+-77.187258565101","37.6263977295115+-77.5182366310746",147393,5376
"38.8419950988021+-77.1611899204634","37.6263977295115+-77.5182366310746",156216,5929
"38.7604710729901+-77.3308601964505","37.6263977295115+-77.5182366310746",146280,5488
"36.7276076422226+-79.8185057107592","37.6263977295115+-77.5182366310746",286092,11832
"36.6938032966325+-77.5262742740604","37.6263977295115+-77.5182366310746",119843,4550
"36.7652496000484+-82.886550322818","37.6263977295115+-77.5182366310746",590177,20818
"37.2710674461347+-76.5135534814394","37.6263977295115+-77.5182366310746",119960,4641
"36.8704298335291+-78.1248536304007","37.6263977295115+-77.5182366310746",146773,5592
"36.9584225337385+-81.8904287073052","37.6263977295115+-77.5182366310746",520944,18167
"38.3053840700365+-78.2219828747012","37.6263977295115+-77.5182366310746",117193,4880
"37.9790524582802+-77.4743339573163","37.6263977295115+-77.5182366310746",55768,3017
"37.4171037980159+-76.3072363476364","37.6263977295115+-77.5182366310746",131279,5639
"36.9537637562346+-81.0914021663542","37.6263977295115+-77.5182366310746",398275,13339
"37.7847216424905+-75.6789763491946","37.6263977295115+-77.5182366310746",305308,11786
"37.2286195929761+-79.4195951921663","37.6263977295115+-77.5182366310746",242176,8852
"38.5934116189125+-77.9203669819542","37.6263977295115+-77.5182366310746",142039,5847
"38.1947096779923+-78.2525867380039","37.6263977295115+-77.5182366310746",108660,4339
"37.0688550343172+-76.4533396732175","37.6263977295115+-77.5182366310746",126518,4605
