"origin","dest","dist","time"
"37.4655669984193+-77.3337712107104","38.8165868607333+-77.080817218093",188684,6564
"38.7875586903613+-77.187258565101","38.8165868607333+-77.080817218093",15180,937
"38.8419950988021+-77.1611899204634","38.8165868607333+-77.080817218093",11319,1168
"38.7604710729901+-77.3308601964505","38.8165868607333+-77.080817218093",28638,1786
"36.7276076422226+-79.8185057107592","38.8165868607333+-77.080817218093",404465,16341
"36.6938032966325+-77.5262742740604","38.8165868607333+-77.080817218093",270463,9505
"36.7652496000484+-82.886550322818","38.8165868607333+-77.080817218093",690194,24172
"37.2710674461347+-76.5135534814394","38.8165868607333+-77.080817218093",262247,9220
"36.8704298335291+-78.1248536304007","38.8165868607333+-77.080817218093",297393,10547
"36.9584225337385+-81.8904287073052","38.8165868607333+-77.080817218093",620961,21521
"38.3053840700365+-78.2219828747012","38.8165868607333+-77.080817218093",150743,6189
"37.9790524582802+-77.4743339573163","38.8165868607333+-77.080817218093",116670,4894
"37.4171037980159+-76.3072363476364","38.8165868607333+-77.080817218093",244778,10228
"36.9537637562346+-81.0914021663542","38.8165868607333+-77.080817218093",498292,16693
"37.7847216424905+-75.6789763491946","38.8165868607333+-77.080817218093",300824,12035
"37.2286195929761+-79.4195951921663","38.8165868607333+-77.080817218093",320039,13075
"38.5934116189125+-77.9203669819542","38.8165868607333+-77.080817218093",103964,4556
"38.1947096779923+-78.2525867380039","38.8165868607333+-77.080817218093",148695,6473
"37.0688550343172+-76.4533396732175","38.8165868607333+-77.080817218093",268805,9183
"36.6371697008253+-82.2114101483801","38.8165868607333+-77.080817218093",609589,20509
"38.8005891881652+-77.2781261496444","38.8165868607333+-77.080817218093",22230,1286
"37.5703895544642+-76.4582282879584","38.8165868607333+-77.080817218093",217025,8912
"38.6546861192873+-77.2627473253303","38.8165868607333+-77.080817218093",32286,1567
"38.5456327527818+-77.3161304042259","38.8165868607333+-77.080817218093",47148,2091
"37.6515501110716+-77.316637102714","38.8165868607333+-77.080817218093",164290,5934
"38.1222926984186+-78.5118096274855","38.8165868607333+-77.080817218093",189567,7903
"38.8173416895174+-77.1385911328941","38.8165868607333+-77.080817218093",7672,931
"37.1298924789678+-76.4320470348544","38.8165868607333+-77.080817218093",267490,9143
"38.7486446636452+-77.6002018147819","38.8165868607333+-77.080817218093",68419,3011
"37.2830480850689+-79.8610365152679","38.8165868607333+-77.080817218093",387316,13500
"38.9475980424699+-77.2735080486559","38.8165868607333+-77.080817218093",37139,1714
"36.6534447788173+-80.0038031286507","38.8165868607333+-77.080817218093",480236,17034
"38.9786688272667+-77.3861465878838","38.8165868607333+-77.080817218093",48902,2344
"38.7392903776842+-77.0695556217902","38.8165868607333+-77.080817218093",12536,1061
"38.889000171587+-77.0857736213533","38.8165868607333+-77.080817218093",11265,1038
"38.8379814984066+-77.0815602797858","38.8165868607333+-77.080817218093",4065,610
"37.9718929773656+-76.5294221691517","38.8165868607333+-77.080817218093",156915,7600
"38.6670544957163+-77.2981651807398","38.8165868607333+-77.080817218093",34937,1841
"38.6664210131161+-77.2792540624419","38.8165868607333+-77.080817218093",32486,1639
"37.1598333398084+-76.4311293643949","38.8165868607333+-77.080817218093",266964,9389
"37.301524144385+-77.2911373973215","38.8165868607333+-77.080817218093",200922,6975
"37.0286216438226+-76.6789481523498","38.8165868607333+-77.080817218093",275084,10379
"36.7153431563974+-78.9000738878757","38.8165868607333+-77.080817218093",339990,12596
"36.9583328965258+-76.2852933536421","38.8165868607333+-77.080817218093",329443,11520
"37.3309952226553+-76.9767188957725","38.8165868607333+-77.080817218093",212508,7826
"36.6985454523504+-76.1277261838478","38.8165868607333+-77.080817218093",344764,11921
"37.7228209422451+-79.3638163533821","38.8165868607333+-77.080817218093",314980,10766
"37.1466279988834+-76.3964163780682","38.8165868607333+-77.080817218093",272233,9413
"36.6098860567499+-79.4062725829473","38.8165868607333+-77.080817218093",392927,15017
"36.5999442387378+-79.4785469194951","38.8165868607333+-77.080817218093",399284,15416
"37.5589733220377+-76.8062360655471","38.8165868607333+-77.080817218093",198587,7496
"38.9115512858618+-77.1061852255937","38.8165868607333+-77.080817218093",16850,1416
"37.0174430419753+-82.0298050706234","38.8165868607333+-77.080817218093",641626,22640
"38.0596713681818+-78.4816490704136","38.8165868607333+-77.080817218093",188768,7954
"38.9126664610549+-78.2881872665343","38.8165868607333+-77.080817218093",126511,5123
"37.3696862954853+-77.4296189949671","38.8165868607333+-77.080817218093",189615,6788
"37.601669826291+-77.5265933098967","38.8165868607333+-77.080817218093",164701,5787
"37.2670047539088+-77.5794695979437","38.8165868607333+-77.080817218093",203350,7710
"38.8191382288676+-78.7691877342233","38.8165868607333+-77.080817218093",191103,7086
"36.6507359741829+-78.3911562165259","38.8165868607333+-77.080817218093",324064,11282
"37.4200971419174+-76.6364916323863","38.8165868607333+-77.080817218093",245991,8854
"38.4253060895247+-78.8691809966588","38.8165868607333+-77.080817218093",216863,7473
"36.7934609717326+-76.5122783967155","38.8165868607333+-77.080817218093",316304,11523
"36.6241060734398+-76.7067142740256","38.8165868607333+-77.080817218093",315009,11845
"37.243187734658+-79.9278969940298","38.8165868607333+-77.080817218093",394391,13484
"38.171327052514+-77.7244300696529","38.8165868607333+-77.080817218093",116947,4712
"39.0318609755098+-77.4448345075486","38.8165868607333+-77.080817218093",59283,2588
"37.5578233283326+-75.7188007758362","38.8165868607333+-77.080817218093",324272,13013
"39.0023740272047+-77.4275579768117","38.8165868607333+-77.080817218093",56413,2372
"38.8412966580306+-77.0974706987035","38.8165868607333+-77.080817218093",5874,816
"38.6183939599224+-77.2619477997258","38.8165868607333+-77.080817218093",37438,1823
"38.7936440049239+-77.1400847802217","38.8165868607333+-77.080817218093",9156,668
"38.3509638301084+-78.4456471170969","38.8165868607333+-77.080817218093",168429,7103
"38.7236008268448+-78.3653575374095","38.8165868607333+-77.080817218093",146208,5993
"38.1147809302399+-76.8018012052835","38.8165868607333+-77.080817218093",123973,6163
"38.829741207329+-77.0419734724404","38.8165868607333+-77.080817218093",6491,868
"36.9124213962221+-76.2047146515951","38.8165868607333+-77.080817218093",332553,11572
"38.0418826082557+-78.4889664865667","38.8165868607333+-77.080817218093",190701,8093
"38.7530352455304+-77.4563292912527","38.8165868607333+-77.080817218093",54683,2804
"36.8539644556201+-76.0790626310312","38.8165868607333+-77.080817218093",333855,11586
"39.1721815330472+-78.1635185172097","38.8165868607333+-77.080817218093",131452,5337
"39.190469551949+-77.7061863482989","38.8165868607333+-77.080817218093",89898,3738
"36.8969968371891+-76.172472709408","38.8165868607333+-77.080817218093",329091,11405
"38.8503065251335+-77.0637983795846","38.8165868607333+-77.080817218093",7656,892
"38.6687225209276+-77.322751222651","38.8165868607333+-77.080817218093",37116,1904
"36.6025935516404+-80.8115299745177","38.8165868607333+-77.080817218093",535112,18469
"37.2959124518566+-80.0800587266177","38.8165868607333+-77.080817218093",394247,13498
"37.284564579172+-79.9944040808816","38.8165868607333+-77.080817218093",389079,13294
"38.1630644218414+-79.095175483505","38.8165868607333+-77.080817218093",259950,9006
"36.8882342478916+-76.3653842808178","38.8165868607333+-77.080817218093",303372,10299
"37.2518546535909+-80.82070074373","38.8165868607333+-77.080817218093",490175,17041
"38.7766584091328+-77.0514420021769","38.8165868607333+-77.080817218093",8141,668
"37.4816669377305+-80.2115613913907","38.8165868607333+-77.080817218093",408111,15032
"37.2914974200293+-80.1357468343134","38.8165868607333+-77.080817218093",396491,13522
"36.942446579755+-82.4291995209956","38.8165868607333+-77.080817218093",648138,22409
"37.0533291531658+-76.3542432254708","38.8165868607333+-77.080817218093",278949,9621
