"origin","dest","dist","time"
"38.779803386007+-77.5821738399978","38.1742629977386+-78.638269787565",144705,6899
"38.5890700880462+-77.3829962564605","38.1742629977386+-78.638269787565",156549,8280
"38.6434131159878+-77.2719875997923","38.1742629977386+-78.638269787565",164724,8165
"38.7761661707075+-77.4872923180628","38.1742629977386+-78.638269787565",141199,6970
"38.6374364869573+-77.2593641692524","38.1742629977386+-78.638269787565",163201,8179
"37.5752785421309+-77.4207047727872","38.1742629977386+-78.638269787565",137263,5816
"36.8819969322899+-76.1865315698151","38.1742629977386+-78.638269787565",309042,11337
"36.8476429923152+-76.1005811248849","38.1742629977386+-78.638269787565",314804,11609
"36.8133432072123+-76.0777593178576","38.1742629977386+-78.638269787565",317996,11774
"37.0159841980447+-76.4267037425591","38.1742629977386+-78.638269787565",261348,9651
"37.0701136158198+-76.4668055567585","38.1742629977386+-78.638269787565",251379,9305
"37.5067392256827+-77.5647594419446","38.1742629977386+-78.638269787565",145762,6031
"38.4563741084057+-77.4453096671331","38.1742629977386+-78.638269787565",146179,7202
"37.2763591690162+-81.3844826041988","38.1742629977386+-78.638269787565",349851,13773
"38.3574057539873+-79.1462981832056","38.1742629977386+-78.638269787565",95619,4672
"37.6429093816274+-78.3479085575858","38.1742629977386+-78.638269787565",92806,5069
"36.6304018025982+-81.9560283540711","38.1742629977386+-78.638269787565",394408,15060
"36.8456522836726+-76.217625793272","38.1742629977386+-78.638269787565",304478,11152
"36.9362378915935+-76.2230391761322","38.1742629977386+-78.638269787565",310163,11915
"36.8720960985567+-76.2609858918256","38.1742629977386+-78.638269787565",300674,11159
"36.8592619069512+-76.3009039303443","38.1742629977386+-78.638269787565",292684,10800
"36.8498096012121+-76.2914822353894","38.1742629977386+-78.638269787565",294647,10982
"38.0213425786222+-78.4885546789132","38.1742629977386+-78.638269787565",34654,2158
"36.594629168201+-78.9651846878618","38.1742629977386+-78.638269787565",226780,10500
"37.1290509717851+-76.3388561952044","38.1742629977386+-78.638269787565",258431,9827
"38.6918185179359+-77.1565932433684","38.1742629977386+-78.638269787565",180104,9016
"38.8439571253503+-77.1341092722215","38.1742629977386+-78.638269787565",188283,8683
