"origin","dest","dist","time"
"37.7820983287031+-78.053705212224","38.8904699997509+-77.1774812521177",185281,7692
"38.2492363328908+-77.4230912115159","38.8904699997509+-77.1774812521177",94418,3802
"37.5798044221228+-77.4382645761054","37.5525164700843+-77.4351624878091",3581,469
"37.5486006004463+-77.4666861347823","37.5525164700843+-77.4351624878091",4251,585
"38.8957345929927+-77.1580797341692","37.5525164700843+-77.4351624878091",173445,6137
"38.8635435720661+-77.124751797695","37.5525164700843+-77.4351624878091",165114,6204
"38.8853103056381+-77.1525746073013","37.5525164700843+-77.4351624878091",173560,6151
"38.8729130616645+-77.1382811873135","37.5525164700843+-77.4351624878091",166881,6403
"37.4355350684719+-77.6528738314902","37.5525164700843+-77.4351624878091",31638,1478
"37.4385119304349+-77.4467530810389","37.5525164700843+-77.4351624878091",16917,822
"37.359536724595+-77.453659426656","37.5525164700843+-77.4351624878091",28582,1476
"37.0576829391904+-82.2966396120851","37.5525164700843+-77.4351624878091",576223,20818
"37.664684764681+-77.4251257472574","37.5525164700843+-77.4351624878091",19549,1202
"39.0128793130427+-77.3839772339255","37.5525164700843+-77.4351624878091",191879,7133
"39.0009984298418+-77.4144339482797","37.5525164700843+-77.4351624878091",187821,7163
"38.7875532395369+-77.4939664414447","37.5525164700843+-77.4351624878091",159444,6259
"38.6624203372319+-77.2666061259422","37.5525164700843+-77.4351624878091",136976,4892
"36.8195523277337+-76.114902339901","37.5525164700843+-77.4351624878091",175989,6316
"36.8487287209568+-76.1462451510583","37.5525164700843+-77.4351624878091",172502,6128
"36.8689186115531+-76.1214179779","37.5525164700843+-77.4351624878091",177304,6418
"36.8418510505996+-76.0211513706864","37.5525164700843+-77.4351624878091",183221,6403
"36.8081198763282+-76.1805754451487","37.5525164700843+-77.4351624878091",177992,6248
"36.7793163502608+-76.1523418142616","37.5525164700843+-77.4351624878091",180513,6477
"36.7889343002477+-76.1724537287983","37.5525164700843+-77.4351624878091",178869,6324
"36.7866666978068+-76.2646708198858","37.5525164700843+-77.4351624878091",170402,5934
"36.6962856184149+-76.2570128217772","37.5525164700843+-77.4351624878091",178624,6362
"37.2670502304387+-79.9849011776731","37.5525164700843+-77.4351624878091",306214,10525
"37.2810694650901+-76.6917119308578","37.5525164700843+-77.4351624878091",81634,2895
"37.0284967465471+-76.3483471671906","37.5525164700843+-77.4351624878091",123426,4271
"37.0379993992266+-76.3548267141161","37.5525164700843+-77.4351624878091",123404,4310
"36.9879940341489+-76.4088574033866","37.5525164700843+-77.4351624878091",126557,4359
"37.1579035185171+-76.5321197708692","37.5525164700843+-77.4351624878091",100110,3500
"36.9923569507333+-76.412776232808","37.5525164700843+-77.4351624878091",126071,4304
"37.1086620904083+-76.5364280106665","37.5525164700843+-77.4351624878091",110059,3984
"36.9109564413151+-76.2553643516317","37.5525164700843+-77.4351624878091",167177,6188
"36.8966419062057+-76.2165858210145","37.5525164700843+-77.4351624878091",168939,6322
"36.9296379212677+-76.3123618659322","37.5525164700843+-77.4351624878091",162604,6183
"36.88924891699+-76.2680607866987","37.5525164700843+-77.4351624878091",160167,5981
"36.8539599632922+-76.2757678044725","37.5525164700843+-77.4351624878091",160475,5593
"36.8423637756601+-76.252296415425","37.5525164700843+-77.4351624878091",162319,5702
"36.8253914081183+-76.3208135415801","37.5525164700843+-77.4351624878091",155776,5478
"37.3900772467701+-79.1216114582164","37.5525164700843+-77.4351624878091",184596,7549
"37.1231147304702+-79.2861046093962","37.5525164700843+-77.4351624878091",212025,8794
"37.4052494703444+-82.0989349956725","37.5525164700843+-77.4351624878091",547935,21304
"37.3451239006973+-79.9367865627128","37.5525164700843+-77.4351624878091",290901,9809
"38.5475642498723+-79.033207978242","37.5525164700843+-77.4351624878091",229575,8468
"38.8379190037275+-78.453024654904","37.5525164700843+-77.4351624878091",237918,9539
"38.1988526276353+-79.3510329158088","37.5525164700843+-77.4351624878091",219285,8452
"37.3536893691451+-80.6184013679194","37.5525164700843+-77.4351624878091",382326,13167
"37.3655508231213+-76.7896075052069","37.5525164700843+-77.4351624878091",68978,2608
"37.506400912826+-78.6195437513457","37.5525164700843+-77.4351624878091",131274,5938
"38.8081237454669+-77.1193429945823","37.5525164700843+-77.4351624878091",160532,5813
"36.798666800961+-76.2293806784987","37.5525164700843+-77.4351624878091",172010,6006
"36.9841365618163+-76.4207618702934","37.5525164700843+-77.4351624878091",128439,4378
"37.5112781251147+-77.4002030848812","37.5525164700843+-77.4351624878091",8213,851
"36.8648070459278+-76.1935861100414","37.5525164700843+-77.4351624878091",172654,6075
"37.2707826076329+-79.9432971032716","37.5525164700843+-77.4351624878091",302520,10234
"39.1013386729163+-77.4999544400157","37.5525164700843+-77.4351624878091",203243,7752
"39.0813846116575+-77.4956913571332","37.5525164700843+-77.4351624878091",198148,7433
"39.0215307728523+-77.4604793458154","37.5525164700843+-77.4351624878091",189974,7231
"38.8558688480168+-77.1021170764565","37.5525164700843+-77.4351624878091",166309,6101
"38.8337766110479+-77.0894227204961","37.5525164700843+-77.4351624878091",163344,5764
