"origin","dest","dist","time"
"37.5204104795827+-77.3948140470741","37.6263977295115+-77.5182366310746",22879,1332
"38.1742629977386+-78.638269787565","37.6263977295115+-77.5182366310746",134628,5386
"38.8848944419032+-77.1976612389723","37.6263977295115+-77.5182366310746",162344,6045
"38.755389804606+-77.2527636186653","37.6263977295115+-77.5182366310746",145385,5618
"38.738551019319+-77.2402036872546","37.6263977295115+-77.5182366310746",141112,5422
"38.8050750383152+-77.1981151345764","37.6263977295115+-77.5182366310746",153087,5662
"38.9126945103994+-77.2586326337918","37.6263977295115+-77.5182366310746",168329,6318
"38.7698054876636+-77.1227656598998","37.6263977295115+-77.5182366310746",154404,5803
"38.8181796453947+-77.197441029452","37.6263977295115+-77.5182366310746",153142,5681
"38.7791641189648+-77.0703295936904","37.6263977295115+-77.5182366310746",161228,5870
"38.8713914055387+-77.3537212391983","37.6263977295115+-77.5182366310746",173993,6418
"38.9836939589045+-77.3669377336575","37.6263977295115+-77.5182366310746",187152,7013
"37.7942071041792+-76.9755882614983","37.6263977295115+-77.5182366310746",65919,3275
"37.8056497278942+-78.9910118393966","37.6263977295115+-77.5182366310746",166273,6449
"37.0681293494128+-81.9322825918212","37.6263977295115+-77.5182366310746",524604,18638
"38.8272398005157+-77.0986758384405","37.6263977295115+-77.5182366310746",157230,5706
"38.8165868607333+-77.080817218093","37.6263977295115+-77.5182366310746",158644,5893
"38.7922868811903+-77.0443605906466","37.6263977295115+-77.5182366310746",165773,5953
"38.0361880075401+-78.4955236036005","37.6263977295115+-77.5182366310746",104507,4000
"37.2736562428864+-77.4197793038304","37.6263977295115+-77.5182366310746",48080,2158
"36.6044736017595+-79.3911700118246","37.6263977295115+-77.5182366310746",240203,9927
"38.8904699997509+-77.1774812521177","37.6263977295115+-77.5182366310746",168291,6162
"37.5525164700843+-77.4351624878091","37.6263977295115+-77.5182366310746",14991,865
"37.5798044221228+-77.4382645761054","37.6263977295115+-77.5182366310746",11422,850
"37.5486006004463+-77.4666861347823","37.6263977295115+-77.5182366310746",14406,948
"38.8957345929927+-77.1580797341692","37.6263977295115+-77.5182366310746",167342,6087
"38.8635435720661+-77.124751797695","37.6263977295115+-77.5182366310746",159011,6155
"38.8853103056381+-77.1525746073013","37.6263977295115+-77.5182366310746",167457,6102
"38.8729130616645+-77.1382811873135","37.6263977295115+-77.5182366310746",160778,6354
"37.4355350684719+-77.6528738314902","37.6263977295115+-77.5182366310746",34866,1637
"37.4385119304349+-77.4467530810389","37.6263977295115+-77.5182366310746",29294,1382
"37.359536724595+-77.453659426656","37.6263977295115+-77.5182366310746",40959,2036
"37.0576829391904+-82.2966396120851","37.6263977295115+-77.5182366310746",564855,20489
"37.664684764681+-77.4251257472574","37.6263977295115+-77.5182366310746",15688,1214
"39.0128793130427+-77.3839772339255","37.6263977295115+-77.5182366310746",185776,7084
"39.0009984298418+-77.4144339482797","37.6263977295115+-77.5182366310746",181718,7114
"38.7875532395369+-77.4939664414447","37.6263977295115+-77.5182366310746",153341,6210
"38.6624203372319+-77.2666061259422","37.6263977295115+-77.5182366310746",130874,4843
"36.8195523277337+-76.114902339901","37.6263977295115+-77.5182366310746",188366,6876
"36.8487287209568+-76.1462451510583","37.6263977295115+-77.5182366310746",184879,6688
"36.8689186115531+-76.1214179779","37.6263977295115+-77.5182366310746",189681,6978
"36.8418510505996+-76.0211513706864","37.6263977295115+-77.5182366310746",195598,6963
"36.8081198763282+-76.1805754451487","37.6263977295115+-77.5182366310746",190368,6808
"36.7793163502608+-76.1523418142616","37.6263977295115+-77.5182366310746",192889,7037
"36.7889343002477+-76.1724537287983","37.6263977295115+-77.5182366310746",191245,6884
"36.7866666978068+-76.2646708198858","37.6263977295115+-77.5182366310746",182779,6494
"36.6962856184149+-76.2570128217772","37.6263977295115+-77.5182366310746",191001,6922
"37.2670502304387+-79.9849011776731","37.6263977295115+-77.5182366310746",294846,10196
"37.2810694650901+-76.6917119308578","37.6263977295115+-77.5182366310746",94010,3455
"37.0284967465471+-76.3483471671906","37.6263977295115+-77.5182366310746",135802,4831
"37.0379993992266+-76.3548267141161","37.6263977295115+-77.5182366310746",135781,4870
"36.9879940341489+-76.4088574033866","37.6263977295115+-77.5182366310746",138934,4919
"37.1579035185171+-76.5321197708692","37.6263977295115+-77.5182366310746",112486,4060
"36.9923569507333+-76.412776232808","37.6263977295115+-77.5182366310746",138447,4864
"37.1086620904083+-76.5364280106665","37.6263977295115+-77.5182366310746",122436,4544
"36.9109564413151+-76.2553643516317","37.6263977295115+-77.5182366310746",179554,6748
"36.8966419062057+-76.2165858210145","37.6263977295115+-77.5182366310746",181315,6882
"36.9296379212677+-76.3123618659322","37.6263977295115+-77.5182366310746",174980,6743
"36.88924891699+-76.2680607866987","37.6263977295115+-77.5182366310746",172543,6541
"36.8539599632922+-76.2757678044725","37.6263977295115+-77.5182366310746",172851,6153
"36.8423637756601+-76.252296415425","37.6263977295115+-77.5182366310746",174696,6262
"36.8253914081183+-76.3208135415801","37.6263977295115+-77.5182366310746",168152,6038
"37.3900772467701+-79.1216114582164","37.6263977295115+-77.5182366310746",207307,7483
"37.1231147304702+-79.2861046093962","37.6263977295115+-77.5182366310746",244439,8879
"37.4052494703444+-82.0989349956725","37.6263977295115+-77.5182366310746",536566,20975
"37.3451239006973+-79.9367865627128","37.6263977295115+-77.5182366310746",279532,9480
"38.5475642498723+-79.033207978242","37.6263977295115+-77.5182366310746",218207,8140
"38.8379190037275+-78.453024654904","37.6263977295115+-77.5182366310746",231815,9490
"38.1988526276353+-79.3510329158088","37.6263977295115+-77.5182366310746",207916,8123
"37.3536893691451+-80.6184013679194","37.6263977295115+-77.5182366310746",370958,12838
"37.3655508231213+-76.7896075052069","37.6263977295115+-77.5182366310746",81355,3168
"37.506400912826+-78.6195437513457","37.6263977295115+-77.5182366310746",126033,5841
"38.8081237454669+-77.1193429945823","37.6263977295115+-77.5182366310746",154429,5764
"36.798666800961+-76.2293806784987","37.6263977295115+-77.5182366310746",184386,6566
"36.9841365618163+-76.4207618702934","37.6263977295115+-77.5182366310746",140816,4938
"37.5112781251147+-77.4002030848812","37.6263977295115+-77.5182366310746",20590,1411
"36.8648070459278+-76.1935861100414","37.6263977295115+-77.5182366310746",185031,6635
"37.2707826076329+-79.9432971032716","37.6263977295115+-77.5182366310746",291151,9905
"39.1013386729163+-77.4999544400157","37.6263977295115+-77.5182366310746",197140,7703
"39.0813846116575+-77.4956913571332","37.6263977295115+-77.5182366310746",192045,7384
"39.0215307728523+-77.4604793458154","37.6263977295115+-77.5182366310746",183871,7182
"38.8558688480168+-77.1021170764565","37.6263977295115+-77.5182366310746",160206,6052
"38.8337766110479+-77.0894227204961","37.6263977295115+-77.5182366310746",157241,5715
"37.2307149297335+-77.378399440797","37.6263977295115+-77.5182366310746",53311,2315
"36.9481866378475+-80.2219692473951","37.6263977295115+-77.5182366310746",350487,12737
"37.9377893674968+-77.3722774157062","37.6263977295115+-77.5182366310746",48342,2387
"38.7771016748379+-77.2543067825818","37.6263977295115+-77.5182366310746",150281,5647
"38.7801431648297+-77.1283251439321","37.6263977295115+-77.5182366310746",153476,5668
"38.8547096063117+-77.2373636309851","37.6263977295115+-77.5182366310746",158151,5752
"38.8566684181169+-77.4671465985651","37.6263977295115+-77.5182366310746",166213,6483
"38.9728971215289+-77.3572766439104","37.6263977295115+-77.5182366310746",183558,6685
"38.841604116433+-77.4372574964768","37.6263977295115+-77.5182366310746",163670,6303
"38.2417744196483+-77.5110006702418","37.6263977295115+-77.5182366310746",79047,3203
"38.7832567981031+-77.9080677939931","37.6263977295115+-77.5182366310746",162112,6636
"36.9074165737657+-76.0527975665417","37.6263977295115+-77.5182366310746",202806,7551
"38.6229334637809+-77.3865419763211","37.6263977295115+-77.5182366310746",127846,4798
"38.8147413874187+-77.6237303021349","37.6263977295115+-77.5182366310746",162013,6474
"37.729448969232+-77.1925750646113","37.6263977295115+-77.5182366310746",48398,2552
"36.7826012272912+-77.8215866157138","37.6263977295115+-77.5182366310746",122730,4712
"37.129202954129+-76.4718282193752","37.6263977295115+-77.5182366310746",123161,4395
"38.3088691152814+-77.4898515907878","37.6263977295115+-77.5182366310746",86409,3423
"36.8176855295825+-81.9690563998926","37.6263977295115+-77.5182366310746",487885,16922
"38.4555222123361+-77.4655432787598","37.6263977295115+-77.5182366310746",105294,4036
"38.9264976991632+-77.1999804619315","37.6263977295115+-77.5182366310746",166656,6143
"38.8311366187872+-77.2938682462838","37.6263977295115+-77.5182366310746",154478,6070
"38.8450217154644+-77.3108805999043","37.6263977295115+-77.5182366310746",154673,6147
"38.9533628498331+-77.3442458447604","37.6263977295115+-77.5182366310746",178125,6479
"38.0605882267194+-78.1609204944601","37.6263977295115+-77.5182366310746",89369,3459
"36.6592096284945+-76.960379473023","37.6263977295115+-77.5182366310746",134498,5437
"38.8095886241844+-77.0522580467577","37.6263977295115+-77.5182366310746",159931,5863
"36.8902472757226+-76.4410179506602","37.6263977295115+-77.5182366310746",154592,5490
"36.8582051417917+-76.4438499950323","37.6263977295115+-77.5182366310746",156095,5468
"36.7201976392583+-76.5831236332047","37.6263977295115+-77.5182366310746",180934,6590
"37.3482183299891+-79.2129955512847","37.6263977295115+-77.5182366310746",218207,7826
"37.411088482992+-79.2006831354334","37.6263977295115+-77.5182366310746",213046,7797
"37.1362756810305+-76.5508829942497","37.6263977295115+-77.5182366310746",116390,4305
"37.12158763077+-80.5814110808378","37.6263977295115+-77.5182366310746",344722,11767
"37.7902886998408+-79.4396018084281","37.6263977295115+-77.5182366310746",209277,7255
"38.7649687117074+-77.4317764137013","37.6263977295115+-77.5182366310746",147672,6059
"36.7996854620469+-76.1178502123404","37.6263977295115+-77.5182366310746",190602,7046
"36.9102072806389+-76.0834597466471","37.6263977295115+-77.5182366310746",194108,7300
"36.7569967556656+-76.256427195501","37.6263977295115+-77.5182366310746",183176,6574
"36.7453544108343+-76.2502389346549","37.6263977295115+-77.5182366310746",184291,6528
"37.4543711270466+-77.6575259281984","37.6263977295115+-77.5182366310746",32753,1511
"36.7770348159467+-76.213925395719","37.6263977295115+-77.5182366310746",187015,6782
"38.9307360871824+-77.5609047233456","37.6263977295115+-77.5182366310746",174065,7227
"37.6086483162814+-77.4279280039665","37.6263977295115+-77.5182366310746",10557,1007
"37.6475768369513+-77.4594311144775","37.6263977295115+-77.5182366310746",7137,665
"37.6027036641668+-77.605081924731","37.6263977295115+-77.5182366310746",11447,1006
"37.6482225179533+-77.5718439238195","37.6263977295115+-77.5182366310746",6239,669
"38.8965188850562+-77.0905149453194","37.6263977295115+-77.5182366310746",168201,6253
"38.8907282527397+-77.0928623317492","37.6263977295115+-77.5182366310746",164655,6139
"38.8927443274591+-77.0755836537172","37.6263977295115+-77.5182366310746",164713,6057
"38.6448040268362+-77.280157013301","37.6263977295115+-77.5182366310746",131551,4885
"36.7778693978321+-76.2209860238647","37.6263977295115+-77.5182366310746",185008,6590
"36.959167071781+-78.3500585666226","37.6263977295115+-77.5182366310746",145271,6082
"37.6161385037122+-77.6222343908815","37.6263977295115+-77.5182366310746",13044,1073
"37.6429181649909+-77.5457645415893","37.6263977295115+-77.5182366310746",4388,436
"37.6308420608741+-77.560365311497","37.6263977295115+-77.5182366310746",5058,489
"37.5777519341892+-77.5297038120477","37.6263977295115+-77.5182366310746",7280,735
