"origin","dest","dist","time"
"36.7753762834301+-81.4113015240085","38.738551019319+-77.2402036872546",522087,17709
"36.8032828970704+-81.6498350223911","38.738551019319+-77.2402036872546",534780,18078
"36.7012444357043+-79.8594762862038","38.738551019319+-77.2402036872546",389615,15981
"36.6753104961068+-79.8756094324324","38.738551019319+-77.2402036872546",391761,16180
"37.2080329000441+-77.4278989564874","38.738551019319+-77.2402036872546",191942,6883
"37.1961498938149+-77.4144144156693","38.738551019319+-77.2402036872546",192518,6888
"37.5639624321517+-77.4177055911901","38.738551019319+-77.2402036872546",151272,5435
"37.5420333734758+-77.4080913115931","38.738551019319+-77.2402036872546",154276,5595
"37.5120630003949+-77.4400629935153","38.738551019319+-77.2402036872546",153657,5628
"37.4772665176092+-77.4315385788428","38.738551019319+-77.2402036872546",159872,5816
"37.5474177405195+-77.4032868676722","38.738551019319+-77.2402036872546",151681,5521
"37.5440314675693+-77.5228864011143","38.738551019319+-77.2402036872546",151650,5542
"37.546524428378+-77.5747684259488","38.738551019319+-77.2402036872546",157610,5725
"37.5731342664348+-77.5101603939469","38.738551019319+-77.2402036872546",148022,5490
"37.5133910882504+-77.5008261449997","38.738551019319+-77.2402036872546",151891,5580
"36.6569343164546+-81.8239605670732","38.738551019319+-77.2402036872546",561783,19081
"38.3035987657655+-77.5045974594438","38.738551019319+-77.2402036872546",61695,2742
"38.1380113670665+-79.0546080823919","38.738551019319+-77.2402036872546",243798,8721
"36.6123840127221+-82.5869760675538","38.738551019319+-77.2402036872546",645728,21670
"36.9754736477255+-77.0030729886703","38.738551019319+-77.2402036872546",235847,8479
"37.2741106846332+-77.3073946582922","38.738551019319+-77.2402036872546",188457,6590
"38.4428973901493+-78.8616896958559","38.738551019319+-77.2402036872546",196229,6922
"38.4598878162219+-78.8745720913558","38.738551019319+-77.2402036872546",195233,6990
"36.6666002965547+-82.0096174120594","38.738551019319+-77.2402036872546",573391,19344
"36.8221099575104+-81.7892199457495","38.738551019319+-77.2402036872546",551648,18692
"38.3664799612979+-78.9616455751445","38.738551019319+-77.2402036872546",212357,7591
"38.522583035755+-78.8586695743915","38.738551019319+-77.2402036872546",191469,6917
"38.6930656710105+-78.9661741665197","38.738551019319+-77.2402036872546",197466,7757
"37.7215040818303+-80.1725451044684","38.738551019319+-77.2402036872546",378220,13434
"37.3466652766967+-80.8290324738598","38.738551019319+-77.2402036872546",468650,16417
"38.5877485697165+-78.8712105471426","38.738551019319+-77.2402036872546",188343,7010
"38.4410689603758+-78.9299324474911","38.738551019319+-77.2402036872546",203617,7413
"38.757240465496+-78.6731305606294","38.738551019319+-77.2402036872546",156715,5567
"39.1345762428129+-78.1645402001241","38.738551019319+-77.2402036872546",110475,4513
"39.2692654684168+-78.1624615955984","38.738551019319+-77.2402036872546",126823,5300
"39.2047999657509+-78.138835329883","38.738551019319+-77.2402036872546",120364,4986
"39.2518951747037+-78.0874870695122","38.738551019319+-77.2402036872546",126021,5187
"38.8261649066739+-78.6064625301017","38.738551019319+-77.2402036872546",148617,5403
"38.9347646163393+-78.4587229978225","38.738551019319+-77.2402036872546",128383,4699
"37.251108547284+-81.3184125506423","38.738551019319+-77.2402036872546",527558,18932
"37.0278103120311+-81.6551604110636","38.738551019319+-77.2402036872546",561321,20536
"37.1377737672646+-81.8261899157121","38.738551019319+-77.2402036872546",596951,21078
"37.1112331821016+-81.2428736872615","38.738551019319+-77.2402036872546",513350,18530
"37.1557092042332+-81.0223185937225","38.738551019319+-77.2402036872546",482622,16973
"37.227107712851+-79.8892788387365","38.738551019319+-77.2402036872546",379911,13171
"38.2749421023455+-78.9591823739828","38.738551019319+-77.2402036872546",219635,7711
"38.113998035718+-78.8461128918195","38.738551019319+-77.2402036872546",242499,8709
"38.4769260187056+-79.0980370714055","38.738551019319+-77.2402036872546",217743,8502
"37.2439741604923+-81.8398233279499","38.738551019319+-77.2402036872546",617196,22625
"37.2594265691742+-82.1898366472807","38.738551019319+-77.2402036872546",650598,23803
"37.2752211730124+-82.0079960468744","38.738551019319+-77.2402036872546",633007,22528
"38.820036575522+-77.1167551345582","38.738551019319+-77.2402036872546",20951,1424
